id,stats.clean_sheets,gw,G,A,Sh90,KP90,Min,team_id,team
14,1,1,0.0,0.0,0.0,0.0,90.0,1,Arsenal
27,0,1,0.0,0.0,0.0,0.0,0.0,2,Aston Villa
47,1,1,0.0,0.0,0.0,0.0,90.0,4,Brighton
48,0,1,0.0,0.0,0.0,0.0,0.0,4,Brighton
72,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
73,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
74,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
93,1,1,0.0,0.0,0.0,1.0,90.0,5,Burnley
94,0,1,0.0,0.0,0.0,0.0,90.0,2,Aston Villa
95,0,1,0.0,0.0,0.0,0.0,0.0,5,Burnley
111,0,1,0.0,0.0,0.0,0.0,90.0,6,Chelsea
112,0,1,0.0,0.0,0.0,0.0,0.0,6,Chelsea
131,1,1,0.0,0.0,0.0,0.0,90.0,7,Crystal Palace
132,0,1,0.0,0.0,0.0,0.0,0.0,7,Crystal Palace
148,1,1,0.0,0.0,0.0,0.0,90.0,8,Everton
149,0,1,0.0,0.0,0.0,0.0,0.0,8,Everton
168,1,1,0.0,0.0,0.0,0.0,90.0,9,Leicester
169,0,1,0.0,0.0,0.0,0.0,0.0,9,Leicester
170,0,1,0.0,0.0,0.0,0.0,0.0,9,Leicester
189,0,1,0.0,0.0,0.0,0.0,38.0,10,Liverpool
190,0,1,0.0,0.0,0.0,0.0,0.0,10,Liverpool
212,1,1,0.0,0.0,0.0,0.0,90.0,11,Man City
213,0,1,0.0,0.0,0.0,0.0,0.0,11,Man City
235,1,1,0.0,0.0,0.0,0.0,90.0,12,Man Utd
236,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
237,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
262,0,1,0.0,0.0,0.0,0.0,90.0,13,Newcastle
263,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
264,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
280,0,1,0.0,0.0,0.0,0.0,90.0,14,Norwich
281,0,1,0.0,0.0,0.0,0.0,0.0,14,Norwich
299,0,1,0.0,0.0,0.0,0.0,0.0,15,Sheffield Utd
317,0,1,0.0,0.0,0.0,0.0,0.0,16,Southampton
318,0,1,0.0,0.0,0.0,0.0,0.0,16,Southampton
319,0,1,0.0,0.0,0.0,0.0,90.0,16,Southampton
340,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
341,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
366,0,1,0.0,0.0,0.0,0.0,90.0,18,Watford
367,0,1,0.0,0.0,0.0,0.0,0.0,18,Watford
388,0,1,0.0,0.0,0.0,0.0,90.0,19,West Ham
411,1,1,0.0,0.0,0.0,0.0,90.0,20,Wolves
412,0,1,0.0,0.0,0.0,0.0,0.0,20,Wolves
413,0,1,0.0,0.0,0.0,0.0,0.0,20,Wolves
427,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
429,0,1,0.0,0.0,0.0,0.0,0.0,2,Aston Villa
436,0,1,0.0,0.0,0.0,0.0,0.0,15,Sheffield Utd
449,0,1,0.0,0.0,0.0,0.0,0.0,14,Norwich
450,0,1,0.0,0.0,0.0,0.0,0.0,19,West Ham
471,0,1,0.0,0.0,0.0,0.0,90.0,15,Sheffield Utd
474,0,1,0.0,0.0,0.0,0.0,0.0,2,Aston Villa
479,0,1,0.0,0.0,0.0,0.0,0.0,8,Everton
494,0,1,0.0,0.0,0.0,0.0,90.0,3,Bournemouth
495,0,1,0.0,0.0,0.0,0.0,0.0,5,Burnley
513,0,1,0.0,0.0,0.0,0.0,0.0,18,Watford
521,0,1,0.0,0.0,0.0,0.0,0.0,15,Sheffield Utd
526,0,1,0.0,0.0,0.0,0.0,52.0,10,Liverpool
1,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
2,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
3,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
4,1,1,0.0,1.0,0.0,1.0,90.0,1,Arsenal
5,1,1,0.0,0.0,0.0,0.0,90.0,1,Arsenal
6,1,1,0.0,0.0,0.0,1.0,90.0,1,Arsenal
7,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
8,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
9,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
10,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
22,0,1,0.0,0.0,0.0,0.0,90.0,2,Aston Villa
23,0,1,0.0,0.0,0.0,0.0,0.0,2,Aston Villa
24,0,1,0.0,0.0,0.0,0.0,90.0,2,Aston Villa
25,0,1,0.0,0.0,0.0,0.0,0.0,2,Aston Villa
37,1,1,0.0,0.0,0.0,0.0,90.0,4,Brighton
38,1,1,0.0,0.0,0.0,1.0,90.0,4,Brighton
39,0,1,0.0,0.0,0.0,0.0,1.0,4,Brighton
40,0,1,0.0,0.0,0.0,0.0,0.0,4,Brighton
41,0,1,0.0,0.0,0.0,0.0,0.0,4,Brighton
42,1,1,0.0,1.0,0.0,1.0,90.0,4,Brighton
43,0,1,0.0,0.0,0.0,0.0,0.0,4,Brighton
58,0,1,0.0,0.0,1.0,0.0,90.0,3,Bournemouth
59,0,1,0.0,0.0,2.0,2.0,90.0,3,Bournemouth
60,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
61,0,1,1.0,0.0,2.0,0.0,90.0,3,Bournemouth
62,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
63,0,1,0.0,0.0,0.0,0.0,90.0,3,Bournemouth
64,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
65,0,1,0.0,0.0,1.0,1.0,90.0,3,Bournemouth
66,0,1,0.0,0.0,0.0,0.0,0.0,3,Bournemouth
83,1,1,0.0,0.0,0.0,0.0,90.0,5,Burnley
84,1,1,0.0,0.0,2.0,0.0,90.0,5,Burnley
85,1,1,0.0,0.0,0.0,1.0,90.0,5,Burnley
86,0,1,0.0,0.0,0.0,0.0,0.0,5,Burnley
87,0,1,0.0,0.0,0.0,0.0,0.0,5,Burnley
88,0,1,0.0,0.0,0.0,0.0,0.0,5,Burnley
89,0,1,0.0,0.0,0.0,0.0,0.0,5,Burnley
103,0,1,0.0,0.0,0.0,0.0,0.0,6,Chelsea
104,0,1,0.0,0.0,0.0,0.0,0.0,6,Chelsea
105,0,1,0.0,0.0,0.0,1.0,90.0,6,Chelsea
106,0,1,0.0,0.0,0.0,0.0,0.0,1,Arsenal
107,0,1,0.0,0.0,4.0,1.0,90.0,6,Chelsea
108,0,1,0.0,0.0,0.0,0.0,90.0,6,Chelsea
109,0,1,0.0,0.0,0.0,0.0,0.0,6,Chelsea
122,1,1,0.0,0.0,0.0,1.0,90.0,12,Man Utd
123,1,1,0.0,0.0,0.0,0.0,90.0,7,Crystal Palace
124,0,1,0.0,0.0,0.0,0.0,0.0,7,Crystal Palace
125,0,1,0.0,0.0,0.0,0.0,0.0,7,Crystal Palace
126,1,1,0.0,0.0,0.0,0.0,90.0,7,Crystal Palace
127,1,1,0.0,0.0,1.0,0.0,90.0,7,Crystal Palace
128,1,1,0.0,0.0,0.0,0.0,90.0,7,Crystal Palace
141,1,1,0.0,0.0,1.0,1.0,90.0,8,Everton
142,1,1,0.0,0.0,0.0,0.0,90.0,8,Everton
143,1,1,0.0,0.0,0.0,0.0,90.0,8,Everton
144,1,1,0.0,0.0,1.0,0.0,90.0,8,Everton
145,0,1,0.0,0.0,0.0,0.0,0.0,8,Everton
159,1,1,0.0,0.0,1.0,2.0,90.0,9,Leicester
160,1,1,0.0,0.0,0.0,1.0,90.0,12,Man Utd
161,1,1,0.0,0.0,1.0,1.0,90.0,9,Leicester
162,1,1,0.0,0.0,1.0,0.0,90.0,9,Leicester
163,0,1,0.0,0.0,0.0,0.0,0.0,9,Leicester
164,1,1,0.0,0.0,0.0,0.0,90.0,9,Leicester
165,0,1,0.0,0.0,0.0,0.0,0.0,9,Leicester
181,0,1,0.0,0.0,2.0,1.0,90.0,10,Liverpool
182,0,1,0.0,1.0,2.0,3.0,90.0,10,Liverpool
183,0,1,1.0,0.0,1.0,0.0,90.0,10,Liverpool
184,0,1,0.0,0.0,0.0,1.0,90.0,10,Liverpool
185,0,1,0.0,0.0,0.0,0.0,0.0,10,Liverpool
186,0,1,0.0,0.0,0.0,0.0,0.0,10,Liverpool
202,1,1,0.0,0.0,0.0,0.0,90.0,11,Man City
203,1,1,0.0,1.0,1.0,2.0,90.0,11,Man City
204,0,1,0.0,0.0,0.0,0.0,0.0,11,Man City
205,0,1,0.0,0.0,0.0,0.0,0.0,8,Everton
206,1,1,0.0,0.0,1.0,1.0,90.0,11,Man City
207,1,1,0.0,0.0,0.0,0.0,90.0,11,Man City
208,0,1,0.0,0.0,0.0,0.0,0.0,11,Man City
209,0,1,0.0,0.0,0.0,0.0,0.0,11,Man City
223,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
224,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
225,1,1,0.0,0.0,0.0,0.0,90.0,12,Man Utd
226,1,1,0.0,0.0,0.0,0.0,90.0,12,Man Utd
227,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
228,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
229,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
230,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
231,0,1,0.0,0.0,0.0,0.0,0.0,12,Man Utd
251,0,1,0.0,0.0,0.0,3.0,90.0,13,Newcastle
252,0,1,0.0,0.0,1.0,0.0,90.0,13,Newcastle
253,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
254,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
255,0,1,0.0,0.0,0.0,0.0,90.0,13,Newcastle
256,0,1,0.0,0.0,0.0,1.0,90.0,13,Newcastle
257,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
258,0,1,0.0,0.0,0.0,0.0,90.0,13,Newcastle
259,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
272,0,1,0.0,0.0,0.0,0.0,0.0,14,Norwich
273,0,1,0.0,0.0,1.0,0.0,90.0,14,Norwich
274,0,1,0.0,0.0,0.0,0.0,90.0,14,Norwich
275,0,1,0.0,0.0,0.0,0.0,0.0,14,Norwich
276,0,1,0.0,0.0,0.0,2.0,90.0,14,Norwich
277,0,1,0.0,0.0,0.0,0.0,90.0,14,Norwich
291,0,1,0.0,0.0,0.0,0.0,90.0,15,Sheffield Utd
292,0,1,0.0,0.0,0.0,0.0,0.0,15,Sheffield Utd
293,0,1,0.0,0.0,0.0,0.0,90.0,15,Sheffield Utd
294,0,1,0.0,0.0,1.0,0.0,90.0,15,Sheffield Utd
295,0,1,0.0,0.0,0.0,0.0,90.0,15,Sheffield Utd
296,0,1,0.0,0.0,0.0,0.0,0.0,15,Sheffield Utd
297,0,1,0.0,0.0,1.14,2.28,79.0,15,Sheffield Utd
304,0,1,0.0,0.0,1.0,0.0,90.0,16,Southampton
305,0,1,0.0,0.0,1.0,0.0,90.0,16,Southampton
306,0,1,0.0,0.0,0.0,1.0,90.0,16,Southampton
307,0,1,0.0,0.0,1.0,1.0,90.0,16,Southampton
308,0,1,0.0,0.0,0.0,0.0,76.0,16,Southampton
309,0,1,0.0,0.0,0.0,0.0,0.0,2,Aston Villa
310,0,1,0.0,0.0,0.0,0.0,0.0,16,Southampton
311,0,1,0.0,0.0,0.0,0.0,0.0,16,Southampton
329,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
330,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
331,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
332,0,1,0.0,0.0,0.0,0.0,0.0,13,Newcastle
333,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
334,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
335,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
336,0,1,0.0,0.0,0.0,0.0,0.0,17,Spurs
337,0,1,0.0,0.0,0.0,0.0,0.0,16,Southampton
353,0,1,0.0,0.0,0.0,0.0,90.0,18,Watford
354,0,1,0.0,0.0,0.0,0.0,0.0,18,Watford
355,0,1,0.0,0.0,0.0,0.0,0.0,18,Watford
356,0,1,0.0,0.0,0.0,0.0,0.0,18,Watford
357,0,1,0.0,0.0,1.0,2.0,90.0,18,Watford
