,code,element_type,event_points,first_name,form,id,now_cost,points_per_game,second_name,selected_by_percent,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
181,225796,2,2,Reece,1.3,506,50,2.9,James,0.9,a,6,8,43,111885,9957,63082,1335,0.3,8.6,James,945,0,2,3,12,0,0,0,1,0,0,5,235,208.6,221.2,117.0,54.8
182,194794,2,0,Fikayo,0.0,529,44,3.4,Tomori,1.9,a,6,8,47,813184,656,723807,4597,0.0,10.7,Tomori,1228,1,0,4,16,0,0,0,3,0,0,7,255,318.2,65.4,77.0,46.3
183,243568,3,0,Billy,0.0,533,45,1.0,Gilmour,0.0,a,6,8,2,2839,33,2467,34,0.0,0.4,Gilmour,9,0,0,0,1,0,0,0,0,0,0,0,5,2.8,12.6,0.0,1.5
184,209036,2,0,Addji Keaninkin Marc-Israel,0.0,545,40,0.0,Guehi,0.1,n,6,8,0,6672,15,6651,64,0.0,0.0,Guehi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
185,74230,2,15,Patrick,6.0,123,55,3.6,van Aanholt,4.8,a,7,31,73,816162,28996,998283,2575,1.1,13.3,van Aanholt,1712,3,0,5,24,1,0,0,0,0,0,6,350,347.2,341.3,184.0,87.3
186,49413,2,0,James,0.7,124,50,2.7,Tomkins,0.4,i,7,31,48,87380,6,68243,4498,0.1,9.6,Tomkins,1582,1,1,3,23,0,0,0,5,0,0,4,260,384.0,27.7,121.0,53.3
187,40784,2,0,Mamadou,0.0,125,50,0.9,Sakho,0.1,i,7,31,7,4653,4,8800,25,0.0,1.4,Sakho,465,0,0,0,8,0,0,0,0,1,0,0,69,86.0,13.2,6.0,10.6
188,55494,2,8,Joel,3.3,126,43,2.8,Ward,1.2,a,7,31,50,290678,5720,274045,749,0.8,11.6,Ward,1390,0,1,4,18,0,0,0,3,0,0,7,243,253.2,84.9,32.0,37.0
189,19188,2,7,Scott,2.7,127,43,3.3,Dann,0.2,a,7,31,23,10778,309,21053,55,0.6,5.3,Dann,454,0,1,2,3,0,0,0,0,0,0,1,103,111.2,21.2,90.0,22.2
190,58786,2,0,Martin,0.0,128,42,3.4,Kelly,21.4,a,7,31,64,1850167,7805,1899004,36393,0.0,15.2,Kelly,1547,0,1,6,16,0,0,0,0,0,0,4,288,305.4,96.5,15.0,41.7
191,54861,4,2,Christian,3.7,129,57,1.6,Benteke,0.5,a,7,31,28,36533,800,78341,722,0.6,4.9,Benteke,740,1,0,2,11,0,0,0,2,0,0,1,87,140.2,150.1,389.0,67.8
192,59125,4,0,Connor,0.0,130,44,2.5,Wickham,2.0,n,7,31,15,268938,223,484028,1381,0.0,3.4,Wickham,90,1,1,0,2,0,0,0,0,0,0,2,48,59.8,34.5,64.0,15.8
193,40836,1,6,Vicente,3.0,131,51,3.8,Guaita,2.0,a,7,31,95,333772,2330,245923,2599,0.6,18.6,Guaita,2250,0,0,7,28,1,0,0,1,0,77,10,454,587.8,0.0,0.0,58.7
194,20066,1,0,Wayne,0.0,132,42,3.0,Hennessey,0.6,a,7,31,6,18431,212,52608,351,0.0,1.4,Hennessey,180,0,0,0,4,0,0,0,0,0,13,0,42,87.4,0.0,0.0,8.7
195,82403,3,3,Wilfried,3.3,133,68,3.3,Zaha,9.8,a,7,31,90,1100379,13919,1670978,12986,0.5,13.2,Zaha,2365,3,5,6,32,0,0,0,3,0,0,4,272,448.0,441.0,750.0,164.1
196,66975,3,0,Luka,1.0,134,67,2.8,Milivojevic,1.9,d,7,31,61,61844,58,445746,1405,0.1,9.1,Milivojevic,1965,2,1,6,26,0,0,0,9,0,0,7,296,357.6,436.3,151.0,94.5
197,60252,3,0,Andros,0.3,135,56,2.3,Townsend,1.0,a,7,31,34,49108,242,220338,279,0.1,6.1,Townsend,791,1,1,3,12,0,0,0,0,0,0,0,141,167.8,132.8,70.0,37.1
198,141020,3,0,Max,0.7,136,52,1.4,Meyer,0.1,a,7,31,18,4380,26,11228,28,0.1,3.5,Meyer,541,0,0,1,7,0,0,0,1,0,0,0,43,49.8,27.4,94.0,16.9
199,86417,3,0,Jeffrey,0.0,137,54,2.9,Schlupp,0.1,i,7,31,40,19999,23,26131,40,0.0,7.4,Schlupp,856,2,1,4,12,0,0,0,2,0,0,3,121,198.0,95.3,233.0,52.7
200,50471,3,2,James,2.0,138,52,2.5,McArthur,0.6,a,7,31,66,41219,478,116932,568,0.4,12.7,McArthur,2267,0,3,8,25,0,0,0,5,0,0,2,311,437.2,308.1,339.0,108.6
201,55037,3,3,Cheikhou,1.7,139,49,2.7,Kouyate,0.2,d,7,31,67,28713,57,27691,1084,0.3,13.7,Kouyaté,1803,1,2,7,23,0,0,0,1,0,0,4,226,263.0,149.6,226.0,63.6
202,221275,3,0,Luke,0.0,140,43,0.0,Dreher,0.1,a,7,31,0,11645,296,10429,234,0.0,0.0,Dreher,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
203,66838,4,1,Cenk,0.3,146,57,2.6,Tosun,0.2,a,7,31,23,27327,164,32891,329,0.1,4.0,Tosun,459,2,0,2,6,0,0,0,0,0,0,1,80,84.6,52.9,227.0,36.0
204,50472,3,2,James,1.7,157,43,1.2,McCarthy,0.8,a,7,31,27,68242,4591,66700,1544,0.4,6.3,McCarthy,1035,0,0,1,16,0,0,0,6,0,0,0,129,170.0,128.7,61.0,36.1
205,80146,4,5,Jordan,3.0,468,50,3.7,Ayew,7.9,a,7,31,95,1439930,17515,1147217,14312,0.6,19.0,Ayew,2202,6,2,9,27,0,0,0,4,0,0,17,311,402.4,299.0,669.0,136.6
206,19419,2,6,Gary,3.0,503,44,2.6,Cahill,1.3,a,7,31,47,124458,3477,182282,794,0.7,10.7,Cahill,1620,0,1,4,26,0,0,0,1,0,0,3,287,345.8,37.7,222.0,60.9
207,175946,3,0,Victor,0.0,510,45,1.0,Camarasa,0.2,u,7,31,1,4754,46,49120,76,0.0,0.2,Camarasa,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0
208,173954,3,1,Jairo,0.3,539,45,1.6,Riedewald,0.0,a,7,31,14,2313,38,1611,66,0.1,3.1,Riedewald,563,0,0,0,7,0,0,0,0,0,0,0,87,91.8,38.2,24.0,15.4
209,42525,1,0,Stephen,0.0,556,40,0.0,Henderson,0.4,a,7,31,0,41117,531,17498,738,0.0,0.0,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
210,221272,2,0,Sam,0.0,578,40,0.0,Woods,0.0,n,7,31,0,4193,15,3360,118,0.0,0.0,Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
211,244723,2,0,Tyrick,0.0,579,40,0.0,Mitchell,0.0,a,7,31,0,1835,166,1135,123,0.0,0.0,Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
212,466955,3,0,Brandon,0.0,580,45,1.0,Pierrick,0.0,a,7,31,1,272,17,168,13,0.0,0.2,Pierrick,7,0,0,0,0,0,0,0,0,0,0,0,5,4.4,21.0,2.0,2.7
213,432705,4,0,James,0.0,581,45,0.0,Daly,0.0,u,7,31,0,990,24,898,22,0.0,0.0,Daly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
214,209043,3,0,Nya,0.0,588,45,0.0,Kirby,0.0,a,7,31,0,180,20,104,5,0.0,0.0,Kirby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
215,234720,3,0,Giovanni,0.0,608,45,0.0,McGregor,0.0,n,7,31,0,203,86,93,12,0.0,0.0,McGregor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
216,153133,3,1,Alex,1.0,17,56,2.1,Iwobi,0.9,a,8,11,38,133911,248,239632,250,0.2,6.8,Iwobi,1162,1,0,1,26,0,0,0,0,0,0,2,168,186.6,279.9,293.0,76.0
217,101188,2,0,Lucas,1.0,141,58,3.3,Digne,12.1,d,8,11,83,1242999,1146,2055011,35685,0.2,14.3,Digne,2151,0,5,6,36,1,0,0,2,0,0,12,459,517.2,881.5,229.0,162.9
218,164511,2,4,Yerry,7.0,142,53,2.9,Mina,2.3,a,8,11,73,412988,5298,422039,2551,1.3,13.8,Mina,2085,2,1,5,36,1,0,0,3,0,0,8,380,486.0,76.4,405.0,96.7
219,106611,2,0,Michael,1.0,143,52,2.6,Keane,1.9,a,8,11,53,148745,136,238646,982,0.2,10.2,Keane,1566,1,0,4,27,0,0,0,0,0,0,3,277,351.0,31.6,152.0,53.5
220,59949,2,0,Seamus,0.7,144,53,1.9,Coleman,1.1,a,8,11,33,114658,133,265465,339,0.1,6.2,Coleman,1162,0,1,3,20,0,0,0,3,1,0,2,203,206.8,122.2,132.0,46.2
221,12745,2,1,Leighton,0.3,145,49,2.2,Baines,0.2,a,8,11,9,13082,155,15756,105,0.1,1.8,Baines,242,0,1,0,5,0,0,0,0,0,0,0,59,53.4,49.2,3.0,10.6
222,177815,4,6,Dominic,6.3,147,62,4.1,Calvert-Lewin,13.6,a,8,11,102,1402899,88947,555059,19614,1.0,16.5,Calvert-Lewin,1739,12,1,5,30,0,0,0,6,0,0,13,354,486.4,206.1,941.0,162.8
223,111234,1,1,Jordan,1.3,148,53,2.9,Pickford,6.6,a,8,11,79,478416,667,704479,5487,0.2,14.9,Pickford,2430,0,0,6,41,0,0,0,1,0,64,3,436,523.8,3.0,0.0,52.5
224,10318,1,0,Maarten,0.0,149,40,0.0,Stekelenburg,7.2,a,8,11,0,196068,323,251996,3766,0.0,0.0,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
225,212319,3,6,Richarlison,7.0,150,83,5.2,de Andrade,12.2,a,8,11,129,1932964,97236,1737399,15157,0.9,15.7,Richarlison,2172,10,5,6,37,0,0,0,5,0,0,13,416,669.8,413.2,964.0,204.9
226,55422,3,1,Gylfi,3.3,151,73,2.7,Sigurdsson,2.4,a,8,11,65,139573,1075,820924,1065,0.5,8.9,Sigurdsson,1812,1,3,5,32,0,0,0,3,0,0,4,294,322.2,657.3,359.0,133.8
227,100649,3,1,Bernard,3.0,152,64,3.4,Anicio Caldeira Duarte,0.7,a,8,11,58,199239,808,214084,1015,0.5,9.1,Bernard,944,3,2,7,8,0,0,0,2,0,0,6,191,266.4,282.4,218.0,76.5
228,20467,3,0,Theo,4.0,153,62,2.4,Walcott,0.4,d,8,11,46,23140,43,59412,646,0.6,7.4,Walcott,951,1,3,3,11,0,0,0,1,0,0,1,127,148.4,209.0,449.0,80.8
229,173807,3,0,Tom,0.3,154,53,2.1,Davies,0.1,a,8,11,40,14464,53,17597,156,0.1,7.5,Davies,1218,1,1,3,21,0,0,0,6,0,0,3,145,174.2,82.2,201.0,45.9
230,219352,3,0,Ademola,0.0,155,50,0.0,Lookman,0.0,u,8,11,0,226,5,619,2,0.0,0.0,Lookman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
231,80801,3,0,Idrissa,0.0,156,50,0.0,Gueye,0.0,u,8,11,0,475,4,2157,5,0.0,0.0,Gueye,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
232,42774,3,0,Morgan,1.0,158,44,1.2,Schneiderlin,0.6,a,8,11,18,38784,316,83404,408,0.2,4.1,Schneiderlin,998,0,0,1,20,0,0,0,4,1,0,0,132,143.2,78.5,32.0,25.5
233,41823,2,1,Fabian,-0.3,205,53,1.5,Delph,0.2,a,8,11,24,13367,101,30591,104,-0.1,4.5,Delph,1187,0,0,2,24,0,0,0,3,1,0,2,202,183.0,146.7,24.0,35.4
234,120250,3,0,Andre Filipe,0.0,422,52,1.4,Tavares Gomes,0.3,a,8,11,13,13140,460,69756,63,0.0,2.5,André Gomes,615,0,0,2,8,0,0,0,4,0,0,0,71,56.2,94.7,17.0,16.8
235,232964,2,0,Lewis,0.0,477,43,0.0,Gibson,0.1,n,8,11,0,4622,4,11225,95,0.0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
236,194164,2,1,Mason,1.7,478,45,2.7,Holgate,2.3,a,8,11,54,260980,1441,111398,8703,0.4,12.0,Holgate,1552,0,4,3,27,0,0,0,3,0,0,5,320,364.0,51.6,148.0,56.5
237,57513,1,0,Jonas,0.0,479,43,0.0,Lossl,0.3,n,8,11,0,2318,3,29709,171,0.0,0.0,Lössl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
238,242058,4,1,Moise,1.7,496,64,1.9,Kean,1.4,a,8,11,38,86987,214,451049,1025,0.3,5.9,Kean,630,1,2,1,12,0,0,0,0,0,0,3,90,95.0,97.9,299.0,48.6
239,160987,3,0,Jean-Philippe,0.0,497,48,2.0,Gbamin,0.0,i,8,11,4,2771,3,7186,5,0.0,0.8,Gbamin,135,0,0,1,0,0,0,0,0,0,0,0,14,20.0,6.3,0.0,2.6
240,102747,2,1,Djibril,1.3,511,52,3.3,Sidibe,1.3,a,8,11,63,234809,588,174388,6153,0.2,12.1,Sidibé,1486,0,4,4,24,0,0,0,2,0,0,9,330,385.6,298.2,103.0,78.6
241,195855,3,0,Beni,0.0,557,45,0.0,Baningime,0.0,a,8,11,0,740,16,608,17,0.0,0.0,Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
242,232826,4,0,Anthony,0.0,561,45,1.0,Gordon,0.0,a,8,11,1,3369,145,2691,136,0.0,0.2,Gordon,45,0,0,0,0,0,0,0,0,0,0,0,2,0.0,7.4,14.0,2.0
243,113688,4,0,Oumar,0.0,570,45,1.0,Niasse,0.0,a,8,11,3,3467,120,2117,124,0.0,0.7,Niasse,19,0,0,0,2,0,0,0,0,0,0,0,1,7.0,1.8,0.0,0.9
244,56192,2,0,Rhu-endly,0.0,577,40,0.0,Martina,0.0,a,8,11,0,2407,114,1426,96,0.0,0.0,Cuco Martina,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
245,111931,2,2,Ricardo Domingos,3.0,159,63,4.4,Barbosa Pereira,13.8,a,9,13,115,1507496,43039,1019019,13005,0.5,18.3,Pereira,2340,3,2,9,26,0,0,0,1,0,0,11,533,707.0,395.5,229.0,133.1
246,172850,2,2,Benjamin,4.7,161,56,4.2,Chilwell,9.2,a,9,13,92,1200047,24934,961774,8499,0.8,16.4,Chilwell,1969,2,3,8,22,0,0,0,2,0,0,3,419,439.6,413.9,151.0,100.5
247,37642,2,2,Jonny,3.7,162,52,3.7,Evans,6.3,a,9,13,101,736060,23631,395610,5986,0.7,19.4,Evans,2394,1,2,9,27,0,0,0,4,0,0,10,540,592.6,69.1,250.0,91.3
248,37402,2,2,Christian,0.7,163,42,3.0,Fuchs,0.4,a,9,13,24,25492,561,36212,252,0.2,5.7,Fuchs,634,0,0,2,6,0,0,0,0,0,0,2,119,131.2,47.7,18.0,19.7
249,218031,2,2,Caglar,3.3,164,50,3.7,Soyuncu,16.1,a,9,13,95,2044673,41187,991874,12692,0.7,19.0,Söyüncü,2340,1,1,9,26,0,0,0,4,0,0,9,542,609.4,67.1,193.0,87.2
250,15033,2,0,Wes,0.3,165,41,1.1,Morgan,0.6,a,9,13,9,30907,277,90317,308,0.1,2.2,Morgan,160,0,0,0,1,0,0,0,0,0,0,0,35,45.8,0.7,36.0,8.2
