id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
117,1059818,12,2019-11-08T20:00:00Z,18,2,14,0,2,2
112,1059813,12,2019-11-09T12:30:00Z,7,0,6,2,3,4
111,1059812,12,2019-11-09T15:00:00Z,19,0,5,3,2,3
116,1059817,12,2019-11-09T15:00:00Z,3,1,13,2,2,3
118,1059819,12,2019-11-09T15:00:00Z,8,2,16,1,2,2
119,1059820,12,2019-11-09T15:00:00Z,15,1,17,1,3,4
113,1059814,12,2019-11-09T17:30:00Z,1,0,9,2,4,4
115,1059816,12,2019-11-10T14:00:00Z,4,1,12,3,2,4
120,1059821,12,2019-11-10T14:00:00Z,2,1,20,2,2,3
114,1059815,12,2019-11-10T16:30:00Z,11,1,10,3,4,5
