id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
229,1059930,23,2020-01-18T12:30:00Z,17,0,18,0,4,2
221,1059922,23,2020-01-18T15:00:00Z,15,1,1,1,3,4
222,1059923,23,2020-01-18T15:00:00Z,2,1,4,1,2,3
225,1059926,23,2020-01-18T15:00:00Z,7,2,11,2,3,5
227,1059928,23,2020-01-18T15:00:00Z,3,0,14,1,2,2
228,1059929,23,2020-01-18T15:00:00Z,20,3,16,2,3,2
230,1059931,23,2020-01-18T15:00:00Z,8,1,19,1,2,2
226,1059927,23,2020-01-18T17:30:00Z,6,0,13,1,4,3
223,1059924,23,2020-01-19T14:00:00Z,9,1,5,2,4,3
224,1059925,23,2020-01-19T16:30:00Z,12,0,10,2,4,5
