id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
85,1059786,9,2019-10-19T11:30:00Z,19,0,8,2,2,3
81,1059783,9,2019-10-19T14:00:00Z,4,1,2,2,2,2
82,1059782,9,2019-10-19T14:00:00Z,14,0,3,0,2,3
83,1059784,9,2019-10-19T14:00:00Z,13,0,6,1,2,4
86,1059787,9,2019-10-19T14:00:00Z,5,1,9,2,2,4
89,1059790,9,2019-10-19T14:00:00Z,18,1,17,1,2,4
90,1059791,9,2019-10-19T14:00:00Z,16,1,20,1,2,3
84,1059785,9,2019-10-19T16:30:00Z,11,2,7,0,4,2
87,1059788,9,2019-10-20T15:30:00Z,10,1,12,1,4,4
88,1059789,9,2019-10-21T19:00:00Z,1,0,15,1,4,3
