id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
148,1059849,15,2019-12-03T19:30:00Z,3,0,7,1,2,2
142,1059843,15,2019-12-03T20:15:00Z,11,4,5,1,4,3
147,1059848,15,2019-12-04T19:30:00Z,2,1,6,2,2,4
143,1059844,15,2019-12-04T19:30:00Z,18,0,9,2,2,4
144,1059845,15,2019-12-04T19:30:00Z,17,1,12,2,4,4
150,1059851,15,2019-12-04T19:30:00Z,14,1,16,2,2,2
146,1059847,15,2019-12-04T19:30:00Z,19,0,20,2,2,3
149,1059850,15,2019-12-04T20:15:00Z,8,2,10,5,2,5
145,1059846,15,2019-12-05T19:30:00Z,13,2,15,0,2,3
141,1059842,15,2019-12-05T20:15:00Z,4,2,1,1,2,4
