id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
98,1059799,10,2019-10-25T19:00:00Z,9,9,16,0,4,2
95,1059796,10,2019-10-26T11:30:00Z,2,0,11,3,2,5
92,1059793,10,2019-10-26T14:00:00Z,8,2,4,3,2,3
99,1059800,10,2019-10-26T14:00:00Z,3,0,18,0,2,2
100,1059801,10,2019-10-26T14:00:00Z,15,1,19,1,3,2
93,1059794,10,2019-10-26T16:30:00Z,6,4,5,2,4,3
96,1059797,10,2019-10-27T14:00:00Z,20,1,13,1,3,3
91,1059792,10,2019-10-27T16:30:00Z,7,2,1,2,3,4
94,1059795,10,2019-10-27T16:30:00Z,17,1,10,2,4,5
97,1059798,10,2019-10-27T16:30:00Z,12,3,14,1,4,2
