id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
189,1059890,19,2019-12-26T12:30:00Z,4,1,17,2,2,4
181,1059883,19,2019-12-26T15:00:00Z,14,0,2,1,2,2
182,1059882,19,2019-12-26T15:00:00Z,1,1,3,1,4,3
183,1059884,19,2019-12-26T15:00:00Z,16,2,6,0,2,4
184,1059885,19,2019-12-26T15:00:00Z,19,1,7,2,2,2
185,1059886,19,2019-12-26T15:00:00Z,5,0,8,1,2,3
188,1059889,19,2019-12-26T15:00:00Z,18,1,15,1,2,3
187,1059888,19,2019-12-26T17:30:00Z,13,1,12,4,2,4
186,1059887,19,2019-12-26T20:00:00Z,10,4,9,0,4,4
190,1059891,19,2019-12-27T19:45:00Z,11,2,20,3,4,3
