id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
72,1059773,8,2019-10-05T11:30:00Z,17,0,4,3,4,3
73,1059774,8,2019-10-05T14:00:00Z,8,0,5,1,2,3
74,1059775,8,2019-10-05T14:00:00Z,9,1,10,2,4,5
77,1059778,8,2019-10-05T14:00:00Z,2,5,14,1,2,2
79,1059780,8,2019-10-05T14:00:00Z,15,0,18,0,3,2
80,1059781,8,2019-10-05T16:30:00Z,7,2,19,1,3,2
71,1059772,8,2019-10-06T13:00:00Z,3,0,1,1,2,4
75,1059776,8,2019-10-06T13:00:00Z,20,2,11,0,3,5
78,1059779,8,2019-10-06T13:00:00Z,6,4,16,1,4,2
76,1059777,8,2019-10-06T15:30:00Z,12,0,13,1,4,3
