id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
244,1059945,25,2020-02-01T12:30:00Z,6,2,9,2,4,4
241,1059942,25,2020-02-01T15:00:00Z,2,1,3,2,2,3
243,1059944,25,2020-02-01T15:00:00Z,15,1,7,0,3,2
245,1059946,25,2020-02-01T15:00:00Z,16,0,10,4,2,5
247,1059948,25,2020-02-01T15:00:00Z,14,0,13,0,2,3
249,1059950,25,2020-02-01T15:00:00Z,8,3,18,2,2,2
250,1059951,25,2020-02-01T15:00:00Z,4,3,19,3,2,2
246,1059947,25,2020-02-01T17:30:00Z,20,0,12,0,3,4
242,1059943,25,2020-02-02T14:00:00Z,1,0,5,0,4,3
248,1059949,25,2020-02-02T16:30:00Z,11,0,17,2,4,4
