id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
59,1059760,6,2019-09-20T19:00:00Z,3,3,16,1,2,2
56,1059757,6,2019-09-21T11:30:00Z,17,1,9,2,4,4
52,1059753,6,2019-09-21T14:00:00Z,14,0,5,2,2,3
55,1059756,6,2019-09-21T14:00:00Z,15,2,8,0,3,3
57,1059758,6,2019-09-21T14:00:00Z,18,0,11,8,2,5
58,1059759,6,2019-09-21T16:30:00Z,4,0,13,0,2,3
54,1059755,6,2019-09-22T13:00:00Z,20,1,7,1,3,2
60,1059761,6,2019-09-22T13:00:00Z,12,0,19,2,4,2
51,1059752,6,2019-09-22T15:30:00Z,2,2,1,3,2,4
53,1059754,6,2019-09-22T15:30:00Z,10,2,6,1,4,4
