id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
166,1059867,17,2019-12-14T12:30:00Z,18,0,10,2,2,5
162,1059863,17,2019-12-14T15:00:00Z,13,0,5,1,2,3
163,1059864,17,2019-12-14T15:00:00Z,3,1,6,0,2,4
165,1059866,17,2019-12-14T15:00:00Z,14,1,9,1,2,4
168,1059869,17,2019-12-14T15:00:00Z,2,0,15,2,2,3
169,1059870,17,2019-12-14T17:30:00Z,19,1,16,0,2,2
167,1059868,17,2019-12-15T14:00:00Z,8,1,12,1,2,4
170,1059871,17,2019-12-15T14:00:00Z,17,2,20,1,4,3
161,1059862,17,2019-12-15T16:30:00Z,11,3,1,0,4,4
164,1059865,17,2019-12-16T19:45:00Z,4,1,7,1,2,2
