id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
255,1059956,26,2020-02-08T12:30:00Z,7,1,8,3,3,3
253,1059954,26,2020-02-08T17:30:00Z,18,1,4,1,2,3
258,1059959,26,2020-02-09T14:00:00Z,3,1,15,2,2,3
260,1059961,26,2020-02-14T20:00:00Z,9,0,20,0,4,3
259,1059960,26,2020-02-15T12:30:00Z,5,2,16,1,2,2
257,1059958,26,2020-02-15T17:30:00Z,10,1,14,0,4,2
252,1059953,26,2020-02-16T14:00:00Z,17,3,2,2,4,2
251,1059952,26,2020-02-16T16:30:00Z,13,0,1,4,2,4
254,1059955,26,2020-02-17T20:00:00Z,12,2,6,0,4,4
256,1059957,26,2020-02-19T19:30:00Z,19,0,11,2,2,5
