id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
130,1059831,13,2019-11-23T12:30:00Z,17,3,19,2,4,2
121,1059823,13,2019-11-23T15:00:00Z,16,2,1,2,2,4
123,1059822,13,2019-11-23T15:00:00Z,20,2,3,1,3,3
124,1059825,13,2019-11-23T15:00:00Z,9,2,4,0,4,3
125,1059826,13,2019-11-23T15:00:00Z,10,2,7,1,4,2
126,1059827,13,2019-11-23T15:00:00Z,14,2,8,0,2,3
129,1059830,13,2019-11-23T15:00:00Z,5,3,18,0,2,2
127,1059828,13,2019-11-23T17:30:00Z,6,1,11,2,4,5
128,1059829,13,2019-11-24T16:30:00Z,12,3,15,3,4,3
122,1059824,13,2019-11-25T20:00:00Z,13,0,2,2,2,2
