id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
44,1059745,5,2019-09-14T11:30:00Z,13,1,10,3,2,5
43,1059744,5,2019-09-14T14:00:00Z,5,1,4,1,2,3
45,1059746,5,2019-09-14T14:00:00Z,9,0,12,1,4,4
47,1059748,5,2019-09-14T14:00:00Z,16,1,15,0,2,3
48,1059749,5,2019-09-14T14:00:00Z,7,0,17,4,3,4
50,1059751,5,2019-09-14T14:00:00Z,6,5,20,2,4,3
46,1059747,5,2019-09-14T16:30:00Z,11,2,14,3,4,2
42,1059742,5,2019-09-15T13:00:00Z,8,1,3,3,2,3
49,1059750,5,2019-09-15T15:30:00Z,1,2,18,2,4,2
41,1059743,5,2019-09-16T19:00:00Z,19,0,2,0,2,2
