id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
103,1059802,11,2019-11-02T12:30:00Z,12,0,3,1,4,3
101,1059803,11,2019-11-02T15:00:00Z,20,1,1,1,3,4
102,1059804,11,2019-11-02T15:00:00Z,10,2,2,1,4,2
104,1059805,11,2019-11-02T15:00:00Z,14,0,4,2,2,3
107,1059808,11,2019-11-02T15:00:00Z,16,1,11,2,2,5
108,1059809,11,2019-11-02T15:00:00Z,5,0,15,3,2,3
110,1059811,11,2019-11-02T15:00:00Z,13,3,19,2,2,2
109,1059810,11,2019-11-02T17:30:00Z,6,2,18,1,4,2
105,1059806,11,2019-11-03T14:00:00Z,9,2,7,0,4,2
106,1059807,11,2019-11-03T16:30:00Z,17,1,8,1,4,3
