id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
192,1059893,20,2019-12-28T12:30:00Z,3,0,4,2,2,3
196,1059897,20,2019-12-28T15:00:00Z,8,2,13,1,2,3
198,1059899,20,2019-12-28T15:00:00Z,7,1,16,1,3,2
199,1059900,20,2019-12-28T15:00:00Z,2,0,18,3,2,2
197,1059898,20,2019-12-28T17:30:00Z,17,2,14,2,4,2
200,1059901,20,2019-12-28T17:30:00Z,9,2,19,1,4,2
193,1059894,20,2019-12-28T19:45:00Z,12,2,5,0,4,3
191,1059892,20,2019-12-29T14:00:00Z,6,2,1,1,4,4
194,1059895,20,2019-12-29T16:30:00Z,20,0,10,1,3,5
195,1059896,20,2019-12-29T18:00:00Z,15,0,11,2,3,5
