id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
231,1059933,24,2020-01-21T19:30:00Z,18,1,2,2,2,2
232,1059932,24,2020-01-21T19:30:00Z,4,1,3,3,2,3
239,1059940,24,2020-01-21T19:30:00Z,16,2,7,0,2,2
233,1059934,24,2020-01-21T19:30:00Z,13,2,8,2,2,3
236,1059937,24,2020-01-21T19:30:00Z,11,1,15,0,4,3
238,1059939,24,2020-01-21T20:15:00Z,1,2,6,2,4,4
234,1059935,24,2020-01-22T19:30:00Z,19,1,9,4,2,4
240,1059941,24,2020-01-22T19:30:00Z,14,1,17,2,2,4
235,1059936,24,2020-01-22T20:15:00Z,5,2,12,0,2,4
237,1059938,24,2020-01-23T20:00:00Z,10,2,20,1,4,3
180,1059881,24,2020-01-29T19:45:00Z,10,2,19,0,4,2
