id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
136,1059837,14,2019-11-30T12:30:00Z,11,2,13,2,4,3
131,1059832,14,2019-11-30T15:00:00Z,7,2,5,0,3,3
132,1059833,14,2019-11-30T15:00:00Z,19,1,6,0,2,4
134,1059835,14,2019-11-30T15:00:00Z,4,1,10,2,2,5
139,1059840,14,2019-11-30T15:00:00Z,3,2,17,3,2,4
138,1059839,14,2019-11-30T17:30:00Z,18,1,16,2,2,2
137,1059838,14,2019-12-01T14:00:00Z,1,2,14,2,4,2
140,1059841,14,2019-12-01T14:00:00Z,15,1,20,1,3,3
133,1059834,14,2019-12-01T16:30:00Z,8,1,9,2,2,4
135,1059836,14,2019-12-01T16:30:00Z,2,2,12,2,2,4
