id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
39,1059740,4,2019-08-31T11:30:00Z,12,1,16,1,4,2
33,1059734,4,2019-08-31T14:00:00Z,15,2,6,2,3,4
34,1059735,4,2019-08-31T14:00:00Z,2,0,7,1,2,2
36,1059737,4,2019-08-31T14:00:00Z,3,1,9,3,2,4
37,1059738,4,2019-08-31T14:00:00Z,4,0,11,4,2,5
38,1059739,4,2019-08-31T14:00:00Z,18,1,13,1,2,3
40,1059741,4,2019-08-31T14:00:00Z,14,0,19,2,2,2
32,1059733,4,2019-08-31T16:30:00Z,10,3,5,0,4,3
35,1059736,4,2019-09-01T13:00:00Z,20,2,8,3,3,3
31,1059732,4,2019-09-01T15:30:00Z,17,2,1,2,4,4
