id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
68,1059769,7,2019-09-28T11:30:00Z,10,1,15,0,4,3
61,1059763,7,2019-09-28T14:00:00Z,5,2,2,2,2,2
62,1059762,7,2019-09-28T14:00:00Z,19,2,3,2,2,3
63,1059764,7,2019-09-28T14:00:00Z,4,0,6,2,2,4
64,1059765,7,2019-09-28T14:00:00Z,14,0,7,2,2,2
69,1059770,7,2019-09-28T14:00:00Z,16,1,17,2,2,4
70,1059771,7,2019-09-28T14:00:00Z,18,0,20,2,2,3
65,1059766,7,2019-09-28T16:30:00Z,11,3,8,1,4,3
66,1059767,7,2019-09-29T15:30:00Z,13,0,9,5,2,4
67,1059768,7,2019-09-30T19:00:00Z,1,1,12,1,4,4
