id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
218,1059919,22,2020-01-10T20:00:00Z,19,0,15,1,2,3
214,1059915,22,2020-01-11T12:30:00Z,1,1,7,1,4,2
213,1059914,22,2020-01-11T15:00:00Z,5,0,6,3,2,4
215,1059916,22,2020-01-11T15:00:00Z,4,0,8,1,2,3
216,1059917,22,2020-01-11T15:00:00Z,16,2,9,1,2,4
217,1059918,22,2020-01-11T15:00:00Z,14,0,12,4,2,4
220,1059921,22,2020-01-11T15:00:00Z,13,1,20,1,2,3
219,1059920,22,2020-01-11T17:30:00Z,10,1,17,0,4,4
212,1059912,22,2020-01-12T14:00:00Z,18,3,3,0,2,3
211,1059913,22,2020-01-12T16:30:00Z,11,6,2,1,4,2
