id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
11,1059712,2,2019-08-17T11:30:00Z,5,1,1,2,2,4
12,1059713,2,2019-08-17T14:00:00Z,3,2,2,1,2,2
13,1059714,2,2019-08-17T14:00:00Z,19,1,4,1,2,3
15,1059716,2,2019-08-17T14:00:00Z,18,0,8,1,2,3
17,1059718,2,2019-08-17T14:00:00Z,13,1,14,3,2,2
19,1059720,2,2019-08-17T14:00:00Z,10,2,16,1,4,2
16,1059717,2,2019-08-17T16:30:00Z,17,2,11,2,4,5
18,1059719,2,2019-08-18T13:00:00Z,7,0,15,1,3,3
14,1059715,2,2019-08-18T15:30:00Z,9,1,6,1,4,4
20,1059721,2,2019-08-19T19:00:00Z,12,1,20,1,4,3
