id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
1,1059702,1,2019-08-09T19:00:00Z,14,1,10,4,2,5
8,1059709,1,2019-08-10T11:30:00Z,11,5,19,0,4,2
2,1059703,1,2019-08-10T14:00:00Z,15,1,3,1,3,3
3,1059704,1,2019-08-10T14:00:00Z,16,0,5,3,2,3
4,1059705,1,2019-08-10T14:00:00Z,8,0,7,0,2,2
7,1059708,1,2019-08-10T14:00:00Z,4,3,18,0,2,2
6,1059707,1,2019-08-10T16:30:00Z,2,1,17,3,2,4
5,1059706,1,2019-08-11T13:00:00Z,20,0,9,0,3,4
10,1059711,1,2019-08-11T13:00:00Z,1,1,13,0,4,3
9,1059710,1,2019-08-11T15:30:00Z,6,0,12,4,4,4
