id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
202,1059903,21,2020-01-01T12:30:00Z,6,1,4,1,4,3
203,1059904,21,2020-01-01T12:30:00Z,2,2,5,1,2,3
206,1059907,21,2020-01-01T15:00:00Z,9,3,13,0,4,3
208,1059909,21,2020-01-01T15:00:00Z,17,0,16,1,4,2
209,1059910,21,2020-01-01T15:00:00Z,20,1,18,2,3,2
205,1059906,21,2020-01-01T17:30:00Z,8,1,11,2,2,5
207,1059908,21,2020-01-01T17:30:00Z,7,1,14,1,3,2
210,1059911,21,2020-01-01T17:30:00Z,3,0,19,4,2,2
201,1059902,21,2020-01-01T20:00:00Z,12,0,1,2,4,4
204,1059905,21,2020-01-02T20:00:00Z,15,0,10,2,3,5
