,id,fixture_id,G,A,CS,gw,MP,I,C,T,ICT,team,opp,home,opp_att,opp_def,att,def,Sh90,KP90
33,106.0,11,0.0,0.0,0.0,2.0,90.0,31.8,4.1,0.0,3.6,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,0.0,0.0
34,19.0,11,0.0,0.0,0.0,2.0,7.0,2.6,0.3,17.0,2.0,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,15.0,0.0
35,21.0,11,0.0,0.0,0.0,2.0,90.0,20.8,3.9,17.0,4.2,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,1.0,0.0
36,469.0,11,0.0,2.0,0.0,2.0,82.0,47.8,48.3,20.0,11.6,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,3.21,3.21
37,488.0,11,0.0,0.0,0.0,2.0,45.0,16.6,26.3,9.0,5.2,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,2.09,6.28
38,489.0,11,0.0,0.0,0.0,2.0,45.0,3.2,12.3,37.0,5.3,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,3.83,1.91
39,490.0,11,0.0,0.0,0.0,2.0,90.0,16.6,28.3,22.0,6.7,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,1.0,2.0
40,11.0,11,1.0,0.0,0.0,2.0,90.0,42.2,18.9,33.0,9.4,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,3.0,1.0
41,12.0,11,1.0,0.0,0.0,2.0,70.0,36.2,11.8,58.0,10.6,1.0,5.0,True,1130.0,1050.0,1150.0,1280.0,2.5,1.25
42,14.0,242,0.0,0.0,1.0,25.0,90.0,17.0,0.0,0.0,1.7,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,0.0,0.0
43,1.0,242,0.0,0.0,1.0,25.0,90.0,17.2,0.3,4.0,2.2,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,1.0,0.0
44,2.0,242,0.0,0.0,1.0,25.0,90.0,20.4,3.3,4.0,2.8,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,1.0,0.0
45,106.0,242,0.0,0.0,1.0,25.0,90.0,22.8,13.3,18.0,5.4,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,1.0,1.0
46,15.0,242,0.0,0.0,1.0,25.0,62.0,5.8,27.8,12.0,4.6,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,1.41,2.81
47,18.0,242,0.0,0.0,1.0,25.0,90.0,13.8,13.3,0.0,2.7,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,0.0,1.0
48,19.0,242,0.0,0.0,0.0,25.0,45.0,9.2,21.5,9.0,4.0,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,2.09,4.19
49,21.0,242,0.0,0.0,1.0,25.0,90.0,8.2,3.9,8.0,2.0,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,1.0,0.0
50,490.0,242,0.0,0.0,0.0,25.0,27.0,7.6,11.3,3.0,2.2,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,3.46,3.46
51,11.0,242,0.0,0.0,1.0,25.0,90.0,10.2,31.0,29.0,7.0,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,3.0,2.0
52,12.0,242,0.0,0.0,1.0,25.0,88.0,7.2,16.0,26.0,4.9,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,2.0,1.0
53,13.0,242,0.0,0.0,0.0,25.0,1.0,0.0,0.1,0.0,0.0,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,0.0,0.0
54,504.0,242,0.0,0.0,1.0,25.0,90.0,14.8,11.5,22.0,4.8,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,1.0,1.0
55,541.0,242,0.0,0.0,0.0,25.0,45.0,0.6,1.1,0.0,0.2,1.0,5.0,False,1060.0,1050.0,1190.0,1330.0,0.0,0.0
56,14.0,24,0.0,0.0,0.0,3.0,90.0,19.0,0.0,0.0,1.9,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
57,4.0,24,0.0,0.0,0.0,3.0,90.0,23.4,9.6,0.0,3.3,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
58,5.0,24,0.0,0.0,0.0,3.0,90.0,33.4,0.3,0.0,3.4,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
59,6.0,24,0.0,0.0,0.0,3.0,90.0,10.0,1.2,4.0,1.5,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,1.0,0.0
60,106.0,24,0.0,0.0,0.0,3.0,90.0,25.0,0.7,1.0,2.7,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,1.0,0.0
61,16.0,24,0.0,0.0,0.0,3.0,4.0,1.4,1.5,0.0,0.3,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
62,18.0,24,0.0,0.0,0.0,3.0,90.0,28.8,2.2,0.0,3.1,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
63,19.0,24,1.0,0.0,0.0,3.0,29.0,43.0,14.8,19.0,7.7,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,3.33,3.33
64,21.0,24,0.0,0.0,0.0,3.0,85.0,22.4,1.4,0.0,2.4,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
65,469.0,24,0.0,0.0,0.0,3.0,60.0,7.0,1.4,0.0,0.8,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
66,488.0,24,0.0,0.0,0.0,3.0,90.0,15.0,17.7,39.0,7.2,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,4.0,1.0
