,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,1,Shkodran Mustafi,Arsenal,Shkodran,Mustafi,S,1,68,0,0,0.0,0.0,0.0,0.0,20
1,4,Ainsley Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,D,1,90,0,0,0.0,0.0,0.0,0.0,20
2,11,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,M,1,90,1,0,2.0,1.0,0.44,0.1,20
3,12,Alexandre Lacazette,Arsenal,Alexandre,Lacazette,F,1,90,0,0,0.0,0.0,0.0,0.0,20
4,14,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,20
5,15,Mesut Ozil,Arsenal,Mesut,Ozil,M,1,81,0,0,0.0,2.22,0.0,0.14,20
6,19,Lucas Torreira,Arsenal,Lucas,Torreira,M,1,90,0,0,1.0,0.0,0.05,0.0,20
7,21,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,M,1,90,0,0,0.0,0.0,0.0,0.0,20
8,106,David Luiz,Arsenal,David,Luiz,D,1,90,0,0,2.0,0.0,0.09,0.0,20
9,467,Calum Chambers,Arsenal,Calum,Chambers,D,1,22,0,1,4.09,4.09,0.09,0.36,20
10,486,Cedric Soares,Southampton,Cedric,Soares,D,1,90,0,0,1.0,0.0,0.01,0.0,20
11,488,Nicolas Pepe,Arsenal,Nicolas,Pepe,S,1,1,0,0,0.0,0.0,0.0,0.0,20
12,489,Reiss Nelson,Arsenal,Reiss,Nelson,M,1,90,0,0,0.0,0.0,0.0,0.0,20
13,490,Joe Willock,Arsenal,Joe,Willock,S,1,9,0,0,10.0,10.0,0.1,0.05,20
14,541,Bukayo Saka,Arsenal,Bukayo,Saka,D,1,90,0,0,0.0,1.0,0.0,0.08,20
15,22,Ahmed Elmohamady,Aston Villa,Ahmed,Elmohamady,D,1,90,0,0,0.0,1.0,0.0,0.02,20
16,25,Kortney Hause,Aston Villa,Kortney,Hause,D,1,90,0,0,0.0,0.0,0.0,0.0,20
17,26,Jonathan Kodjia,Aston Villa,Jonathan,Kodjia,S,1,14,0,0,0.0,0.0,0.0,0.0,20
18,28,Conor Hourihane,Aston Villa,Conor,Hourihane,M,1,90,0,0,1.0,3.0,0.01,0.41,20
19,29,Jack Grealish,Aston Villa,Jack,Grealish,M,1,90,0,0,3.0,3.0,0.07,0.1,20
20,30,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,S,1,41,0,0,4.39,0.0,0.04,0.0,20
21,35,Henri Lansbury,Aston Villa,Henri,Lansbury,M,1,76,0,0,1.18,0.0,0.03,0.0,20
22,36,Jota,Aston Villa,Jota,,M,1,49,0,0,1.84,0.0,0.06,0.0,20
23,94,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,20
24,309,Matt Targett,Aston Villa,Matt,Targett,D,1,69,0,0,0.0,0.0,0.0,0.0,20
25,428,Wesley,Aston Villa,Wesley,,F,1,90,0,0,1.0,0.0,0.36,0.0,20
26,452,Ezri Konsa Ngoyo,Aston Villa,Ezri,Konsa Ngoyo,D,1,90,0,0,1.0,0.0,0.01,0.0,20
27,458,Frederic Guilbert,Aston Villa,Frederic,Guilbert,S,1,21,0,0,0.0,4.29,0.0,0.02,20
28,470,Douglas Luiz,Aston Villa,Douglas,Luiz,M,1,90,0,0,1.0,1.0,0.02,0.03,20
29,58,Steve Cook,Bournemouth,Steve,Cook,D,1,90,0,0,1.0,0.0,0.03,0.0,20
30,61,Chris Mepham,Bournemouth,Chris,Mepham,D,1,90,0,0,1.0,1.0,0.02,0.08,20
31,65,Diego Rico,Bournemouth,Diego,Rico,D,1,90,0,0,0.0,1.0,0.0,0.05,20
32,67,Callum Wilson,Bournemouth,Callum,Wilson,S,1,27,0,0,3.33,0.0,0.04,0.0,20
33,68,Joshua King,Bournemouth,Joshua,King,F,1,74,0,0,1.22,1.22,0.05,0.11,20
34,69,Dominic Solanke,Bournemouth,Dominic,Solanke,F,1,90,0,0,2.0,1.0,0.12,0.02,20
35,75,Ryan Fraser,Bournemouth,Ryan,Fraser,S,1,27,0,0,0.0,3.33,0.0,0.04,20
36,77,Junior Stanislas,Bournemouth,Junior,Stanislas,M,1,63,0,0,1.43,2.86,0.08,0.05,20
37,79,Lewis Cook,Bournemouth,Lewis,Cook,S,1,16,0,0,5.63,0.0,0.02,0.0,20
38,81,Dan Gosling,Bournemouth,Dan,Gosling,M,1,90,0,0,0.0,0.0,0.0,0.0,20
39,446,Jack Stacey,Bournemouth,Jack,Stacey,D,1,90,0,0,0.0,0.0,0.0,0.0,20
40,476,Philip Billing,Bournemouth,Philip,Billing,M,1,90,0,0,0.0,0.0,0.0,0.0,20
41,494,Aaron Ramsdale,Bournemouth,Aaron,Ramsdale,GK,1,90,0,0,0.0,0.0,0.0,0.0,20
42,505,Harry Wilson,Bournemouth,Harry,Wilson,M,1,63,0,0,2.86,0.0,0.14,0.0,20
43,37,Shane Duffy,Brighton,Shane,Duffy,D,1,90,0,0,0.0,0.0,0.0,0.0,20
44,38,Martin Montoya,Brighton,Martin,Montoya,D,1,90,0,0,0.0,0.0,0.0,0.0,20
45,42,Lewis Dunk,Brighton,Lewis,Dunk,D,1,90,0,0,0.0,0.0,0.0,0.0,20
46,44,Glenn Murray,Brighton,Glenn,Murray,S,1,1,0,0,90.0,0.0,0.14,0.0,20
47,47,Mat Ryan,Brighton,Mat,Ryan,GK,1,90,0,0,0.0,0.0,0.0,0.0,20
48,50,Alireza Jahanbakhsh,Brighton,Alireza,Jahanbakhsh,M,1,85,1,0,4.24,0.0,0.22,0.0,20
49,53,Yves Bissouma,Brighton,Yves,Bissouma,M,1,90,0,0,1.0,1.0,0.07,0.03,20
50,54,Davy Propper,Brighton,Davy,Propper,M,1,90,0,0,0.0,1.0,0.0,0.02,20
51,57,Dale Stephens,Brighton,Dale,Stephens,S,1,5,0,0,0.0,0.0,0.0,0.0,20
52,421,Leandro Trossard,Brighton,Leandro,Trossard,M,1,90,0,1,1.0,4.0,0.04,0.36,20
53,475,Dan Burn,Brighton,Dan,Burn,D,1,90,0,0,0.0,0.0,0.0,0.0,20
54,502,Neal Maupay,Brighton,Neal,Maupay,F,1,90,0,1,5.0,1.0,0.23,0.1,20
55,516,Aaron Mooy,Brighton,Aaron,Mooy,M,1,85,1,0,4.24,5.29,0.36,0.22,20
56,537,Steven Alzate,Brighton,Steven,Alzate,S,1,5,0,0,0.0,36.0,0.0,0.18,20
57,586,Tariq Lamptey,Chelsea,Tariq,Lamptey,S,1,26,0,0,0.0,3.46,0.0,0.07,20
58,83,Ben Mee,Burnley,Ben,Mee,D,1,90,0,0,0.0,0.0,0.0,0.0,20
59,84,James Tarkowski,Burnley,James,Tarkowski,D,1,90,0,0,0.0,0.0,0.0,0.0,20
60,86,Phil Bardsley,Burnley,Phil,Bardsley,D,1,90,0,0,1.0,1.0,0.01,0.03,20
61,87,Charlie Taylor,Burnley,Charlie,Taylor,D,1,90,0,0,0.0,0.0,0.0,0.0,20
62,90,Ashley Barnes,Burnley,Ashley,Barnes,F,1,71,0,0,1.27,1.27,0.05,0.02,20
63,91,Chris Wood,Burnley,Chris,Wood,F,1,90,0,0,0.0,0.0,0.0,0.0,20
64,93,Nick Pope,Burnley,Nick,Pope,GK,1,90,0,0,0.0,0.0,0.0,0.0,20
65,96,Johann Berg Gudmundsson,Burnley,Johann,Berg Gudmundsson,S,1,19,0,0,4.74,4.74,0.09,0.04,20
66,97,Dwight McNeil,Burnley,Dwight,McNeil,M,1,90,0,0,1.0,1.0,0.03,0.02,20
67,98,Robbie Brady,Burnley,Robbie,Brady,S,1,1,0,0,90.0,0.0,0.13,0.0,20
68,100,Jeff Hendrick,Burnley,Jeff,Hendrick,M,1,62,0,0,2.9,0.0,0.04,0.0,20
69,101,Ashley Westwood,Burnley,Ashley,Westwood,M,1,90,0,0,0.0,2.0,0.0,0.18,20
70,102,Jack Cork,Burnley,Jack,Cork,M,1,90,0,0,0.0,0.0,0.0,0.0,20
71,451,Jay Rodriguez,Burnley,Jay,Rodriguez,S,1,28,0,0,3.21,0.0,0.04,0.0,20
72,104,Antonio Rudiger,Chelsea,Antonio,Rudiger,D,1,90,0,0,0.0,0.0,0.0,0.0,20
73,105,Cesar Azpilicueta,Chelsea,Cesar,Azpilicueta,M,1,90,0,0,2.0,1.0,0.09,0.05,20
74,107,Emerson,Chelsea,Emerson,,M,1,33,0,0,0.0,0.0,0.0,0.0,20
75,111,Kepa,Chelsea,Kepa,,GK,1,90,0,0,0.0,0.0,0.0,0.0,20
76,113,Willian,Chelsea,Willian,,M,1,90,0,1,0.0,7.0,0.0,0.68,20
77,116,Callum Hudson-Odoi,Chelsea,Callum,Hudson-Odoi,S,1,15,0,0,6.0,0.0,0.01,0.0,20
78,118,Jorginho,Chelsea,Jorginho,,S,1,57,1,0,1.58,0.0,0.6,0.0,20
79,119,N'Golo Kante,Chelsea,N'Golo,Kante,M,1,90,0,0,1.0,0.0,0.02,0.0,20
80,432,Mateo Kovacic,Chelsea,Mateo,Kovacic,M,1,75,0,0,1.2,0.0,0.02,0.0,20
81,459,Kurt Zouma,Chelsea,Kurt,Zouma,D,1,90,0,0,0.0,0.0,0.0,0.0,20
82,460,Tammy Abraham,Chelsea,Tammy,Abraham,F,1,90,1,0,5.0,0.0,0.67,0.0,20
83,463,Mason Mount,Chelsea,Mason,Mount,M,1,90,0,1,1.0,1.0,0.05,0.6,20
