,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,1,Shkodran Mustafi,Arsenal,Shkodran,Mustafi,D,1,90,0,0,2.0,0.0,0.17,0.0,14
1,3,Sead Kolasinac,Arsenal,Sead,Kolasinac,D,1,90,0,0,0.0,1.0,0.0,0.02,14
2,11,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,M,1,90,2,0,2.0,1.0,1.18,0.13,14
3,12,Alexandre Lacazette,Arsenal,Alexandre,Lacazette,F,1,90,0,0,3.0,1.0,0.15,0.09,14
4,14,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,14
5,15,Mesut Ozil,Arsenal,Mesut,Ozil,M,1,90,0,0,2.0,4.0,0.19,0.12,14
6,18,Granit Xhaka,Arsenal,Granit,Xhaka,M,1,90,0,0,0.0,0.0,0.0,0.0,14
7,19,Lucas Torreira,Arsenal,Lucas,Torreira,S,1,17,0,0,5.29,0.0,0.07,0.0,14
8,21,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,M,1,81,0,0,2.22,1.11,0.03,0.02,14
9,106,David Luiz,Arsenal,David,Luiz,D,1,90,0,0,1.0,0.0,0.04,0.0,14
10,467,Calum Chambers,Arsenal,Calum,Chambers,D,1,90,0,0,2.0,0.0,0.11,0.0,14
11,486,Cedric Soares,Southampton,Cedric,Soares,D,1,78,0,0,0.0,1.15,0.0,0.08,14
12,490,Joe Willock,Arsenal,Joe,Willock,M,1,73,0,0,1.23,0.0,0.09,0.0,14
13,504,Gabriel Martinelli,Arsenal,Gabriel,Martinelli,S,1,1,0,0,0.0,0.0,0.0,0.0,14
14,541,Bukayo Saka,Arsenal,Bukayo,Saka,S,1,9,0,0,0.0,0.0,0.0,0.0,14
15,28,Conor Hourihane,Aston Villa,Conor,Hourihane,M,1,84,0,0,0.0,0.0,0.0,0.0,14
16,29,Jack Grealish,Aston Villa,Jack,Grealish,F,1,90,1,0,3.0,1.0,0.7,0.02,14
17,30,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,F,1,17,0,1,0.0,5.29,0.0,0.02,14
18,31,John McGinn,Aston Villa,John,McGinn,M,1,90,0,0,0.0,3.0,0.0,0.12,14
19,35,Henri Lansbury,Aston Villa,Henri,Lansbury,S,1,6,0,0,15.0,0.0,0.02,0.0,14
20,94,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,14
21,309,Matt Targett,Aston Villa,Matt,Targett,D,1,90,0,1,0.0,1.0,0.0,0.41,14
22,428,Wesley,Aston Villa,Wesley,,F,1,90,0,0,2.0,0.0,0.11,0.0,14
23,445,Tyrone Mings,Aston Villa,Tyrone,Mings,D,1,90,1,0,1.0,0.0,0.41,0.0,14
24,452,Ezri Konsa Ngoyo,Aston Villa,Ezri,Konsa Ngoyo,D,1,90,0,0,0.0,0.0,0.0,0.0,14
25,458,Frederic Guilbert,Aston Villa,Frederic,Guilbert,D,1,90,0,0,0.0,1.0,0.0,0.02,14
26,465,Trezeguet,Aston Villa,Trezeguet,,S,1,73,0,0,2.47,0.0,0.1,0.0,14
27,470,Douglas Luiz,Aston Villa,Douglas,Luiz,M,1,90,0,0,0.0,0.0,0.0,0.0,14
28,58,Steve Cook,Bournemouth,Steve,Cook,D,1,90,0,0,1.0,0.0,0.03,0.0,14
29,59,Nathan Ake,Bournemouth,Nathan,Ake,D,1,90,0,0,1.0,0.0,0.1,0.0,14
30,65,Diego Rico,Bournemouth,Diego,Rico,D,1,90,0,0,1.0,1.0,0.01,0.01,14
31,67,Callum Wilson,Bournemouth,Callum,Wilson,F,1,90,0,0,3.0,1.0,0.06,0.02,14
32,69,Dominic Solanke,Bournemouth,Dominic,Solanke,F,1,90,0,0,2.0,4.0,0.18,0.25,14
33,75,Ryan Fraser,Bournemouth,Ryan,Fraser,M,1,64,0,0,0.0,1.41,0.0,0.02,14
34,79,Lewis Cook,Bournemouth,Lewis,Cook,M,1,75,0,0,1.2,4.8,0.02,0.21,14
