,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,3,Sead Kolasinac,Arsenal,Sead,Kolasinac,D,1,90,0,1,0.0,2.0,0.0,0.12,5
1,4,Ainsley Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,D,1,90,0,1,0.0,1.0,0.0,0.63,5
2,5,Sokratis,Arsenal,Sokratis,,D,1,90,0,0,0.0,0.0,0.0,0.0,5
3,11,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,F,1,90,2,0,3.0,0.0,0.75,0.0,5
4,14,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,5
5,15,Mesut Ozil,Arsenal,Mesut,Ozil,M,1,73,0,0,0.0,1.23,0.0,0.02,5
6,18,Granit Xhaka,Arsenal,Granit,Xhaka,M,1,90,0,0,1.0,0.0,0.02,0.0,5
7,19,Lucas Torreira,Arsenal,Lucas,Torreira,S,1,21,0,0,4.29,0.0,0.07,0.0,5
8,21,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,M,1,69,0,0,0.0,1.3,0.0,0.08,5
9,106,David Luiz,Arsenal,David,Luiz,D,1,90,0,0,0.0,0.0,0.0,0.0,5
10,469,Dani Ceballos,Arsenal,Dani,Ceballos,M,1,62,0,0,0.0,0.0,0.0,0.0,5
11,486,Cedric Soares,Southampton,Cedric,Soares,M,1,90,0,0,1.0,0.0,0.31,0.0,5
12,488,Nicolas Pepe,Arsenal,Nicolas,Pepe,F,1,90,0,0,1.0,1.0,0.08,0.09,5
13,489,Reiss Nelson,Arsenal,Reiss,Nelson,S,1,17,0,0,5.29,0.0,0.09,0.0,5
14,490,Joe Willock,Arsenal,Joe,Willock,S,1,28,0,0,0.0,0.0,0.0,0.0,5
15,22,Ahmed Elmohamady,Aston Villa,Ahmed,Elmohamady,S,1,22,0,0,0.0,0.0,0.0,0.0,5
16,24,Neil Taylor,Aston Villa,Neil,Taylor,D,1,90,0,0,0.0,0.0,0.0,0.0,5
17,29,Jack Grealish,Aston Villa,Jack,Grealish,M,1,90,0,0,1.0,2.0,0.37,0.76,5
18,30,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,F,1,90,0,0,1.0,3.0,0.06,0.1,5
19,31,John McGinn,Aston Villa,John,McGinn,M,1,90,0,0,3.0,1.0,0.1,0.06,5
20,34,Keinan Davis,Aston Villa,Keinan,Davis,S,1,3,0,0,30.0,0.0,0.07,0.0,5
21,36,Jota,Aston Villa,Jota,,F,1,68,0,0,1.32,0.0,0.03,0.0,5
22,94,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,5
23,428,Wesley,Aston Villa,Wesley,,F,1,90,0,0,2.0,0.0,0.65,0.0,5
24,445,Tyrone Mings,Aston Villa,Tyrone,Mings,D,1,90,0,0,0.0,0.0,0.0,0.0,5
25,455,Bjorn Engels,Aston Villa,Bjorn,Engels,D,1,90,0,0,0.0,0.0,0.0,0.0,5
26,458,Frederic Guilbert,Aston Villa,Frederic,Guilbert,D,1,87,0,0,1.03,1.03,0.13,0.03,5
27,470,Douglas Luiz,Aston Villa,Douglas,Luiz,S,1,7,0,0,0.0,12.86,0.0,0.37,5
28,491,Marvelous Nakamba,Aston Villa,Marvelous,Nakamba,M,1,83,0,0,0.0,0.0,0.0,0.0,5
29,58,Steve Cook,Bournemouth,Steve,Cook,D,1,90,0,0,0.0,1.0,0.0,0.05,5
