,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,4,Ainsley Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,D,1,90,0,0,0.0,0.0,0.0,0.0,3
1,5,Sokratis,Arsenal,Sokratis,,D,1,90,0,0,0.0,0.0,0.0,0.0,3
2,6,Nacho Monreal,Arsenal,Nacho,Monreal,D,1,90,0,0,1.0,0.0,0.04,0.0,3
3,11,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,F,1,90,0,0,2.0,2.0,0.28,0.12,3
4,12,Alexandre Lacazette,Arsenal,Alexandre,Lacazette,S,1,7,0,0,0.0,0.0,0.0,0.0,3
5,14,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,3
6,16,Henrikh Mkhitaryan,Arsenal,Henrikh,Mkhitaryan,S,1,2,0,0,0.0,0.0,0.0,0.0,3
7,18,Granit Xhaka,Arsenal,Granit,Xhaka,M,1,90,0,0,0.0,0.0,0.0,0.0,3
8,19,Lucas Torreira,Arsenal,Lucas,Torreira,S,1,27,1,0,3.33,3.33,0.08,0.04,3
9,21,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,M,1,88,0,0,0.0,0.0,0.0,0.0,3
10,106,David Luiz,Arsenal,David,Luiz,D,1,90,0,0,1.0,0.0,0.05,0.0,3
11,469,Dani Ceballos,Arsenal,Dani,Ceballos,M,1,63,0,0,0.0,0.0,0.0,0.0,3
12,488,Nicolas Pepe,Arsenal,Nicolas,Pepe,F,1,90,0,0,4.0,1.0,0.54,0.26,3
13,490,Joe Willock,Arsenal,Joe,Willock,M,1,83,0,0,0.0,1.08,0.0,0.04,3
14,22,Ahmed Elmohamady,Aston Villa,Ahmed,Elmohamady,S,1,1,0,0,0.0,0.0,0.0,0.0,3
15,24,Neil Taylor,Aston Villa,Neil,Taylor,D,1,90,0,0,0.0,0.0,0.0,0.0,3
16,29,Jack Grealish,Aston Villa,Jack,Grealish,M,1,90,0,0,2.0,1.0,0.06,0.03,3
17,30,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,S,1,10,1,0,18.0,0.0,0.28,0.0,3
18,31,John McGinn,Aston Villa,John,McGinn,M,1,90,0,1,0.0,1.0,0.0,0.26,3
19,36,Jota,Aston Villa,Jota,,M,1,80,0,1,0.0,2.25,0.0,0.48,3
20,94,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,3
21,428,Wesley,Aston Villa,Wesley,,F,1,90,1,0,2.0,2.0,0.48,0.06,3
22,445,Tyrone Mings,Aston Villa,Tyrone,Mings,D,1,90,0,0,0.0,0.0,0.0,0.0,3
23,455,Bjorn Engels,Aston Villa,Bjorn,Engels,D,1,90,0,0,0.0,0.0,0.0,0.0,3
24,458,Frederic Guilbert,Aston Villa,Frederic,Guilbert,D,1,90,0,0,1.0,0.0,0.03,0.0,3
25,465,Trezeguet,Aston Villa,Trezeguet,,M,1,89,0,0,0.0,1.01,0.0,0.02,3
26,470,Douglas Luiz,Aston Villa,Douglas,Luiz,M,1,90,0,0,0.0,0.0,0.0,0.0,3
27,58,Steve Cook,Bournemouth,Steve,Cook,D,1,90,0,0,0.0,1.0,0.0,0.11,3
28,59,Nathan Ake,Bournemouth,Nathan,Ake,D,1,90,0,0,2.0,0.0,0.23,0.0,3
29,60,Charlie Daniels,Bournemouth,Charlie,Daniels,D,1,36,0,0,0.0,0.0,0.0,0.0,3
30,61,Chris Mepham,Bournemouth,Chris,Mepham,D,1,90,0,0,0.0,0.0,0.0,0.0,3
31,63,Adam Smith,Bournemouth,Adam,Smith,D,1,74,0,0,1.22,0.0,0.58,0.0,3
32,67,Callum Wilson,Bournemouth,Callum,Wilson,F,1,75,0,0,1.2,2.4,0.37,0.21,3
33,68,Joshua King,Bournemouth,Joshua,King,M,1,90,0,0,1.0,1.0,0.03,0.08,3
34,69,Dominic Solanke,Bournemouth,Dominic,Solanke,S,1,15,0,0,18.0,0.0,0.5,0.0,3
35,75,Ryan Fraser,Bournemouth,Ryan,Fraser,M,1,90,0,0,0.0,0.0,0.0,0.0,3
36,78,Jordon Ibe,Bournemouth,Jordon,Ibe,S,1,16,0,0,0.0,0.0,0.0,0.0,3
