,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,3,Sead Kolasinac,Arsenal,Sead,Kolasinac,S,1,62,0,1,0.0,1.45,0.0,0.31,16
1,4,Ainsley Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,D,1,90,0,0,0.0,0.0,0.0,0.0,16
2,5,Sokratis,Arsenal,Sokratis,,D,1,90,0,0,0.0,0.0,0.0,0.0,16
3,11,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,F,1,90,1,1,3.0,2.0,0.65,0.59,16
4,14,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,16
5,15,Mesut Ozil,Arsenal,Mesut,Ozil,M,1,90,0,0,1.0,2.0,0.54,0.12,16
6,18,Granit Xhaka,Arsenal,Granit,Xhaka,M,1,90,0,0,1.0,0.0,0.01,0.0,16
7,19,Lucas Torreira,Arsenal,Lucas,Torreira,M,1,90,0,0,2.0,1.0,0.12,0.02,16
8,21,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,S,1,1,0,0,0.0,0.0,0.0,0.0,16
9,467,Calum Chambers,Arsenal,Calum,Chambers,D,1,90,0,0,0.0,0.0,0.0,0.0,16
10,486,Cedric Soares,Southampton,Cedric,Soares,D,1,90,0,0,2.0,1.0,0.07,0.12,16
11,488,Nicolas Pepe,Arsenal,Nicolas,Pepe,M,1,90,1,0,1.0,0.0,0.05,0.0,16
12,489,Reiss Nelson,Arsenal,Reiss,Nelson,S,1,1,0,0,0.0,0.0,0.0,0.0,16
13,504,Gabriel Martinelli,Arsenal,Gabriel,Martinelli,M,1,90,1,0,2.0,1.0,0.42,0.09,16
14,515,Kieran Tierney,Arsenal,Kieran,Tierney,D,1,28,0,0,0.0,0.0,0.0,0.0,16
15,22,Ahmed Elmohamady,Aston Villa,Ahmed,Elmohamady,D,1,90,0,0,2.0,2.0,0.05,0.12,16
16,29,Jack Grealish,Aston Villa,Jack,Grealish,M,1,90,1,0,2.0,3.0,0.09,0.13,16
17,30,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,M,1,90,0,0,5.0,2.0,0.78,0.05,16
18,31,John McGinn,Aston Villa,John,McGinn,M,1,90,0,0,1.0,1.0,0.01,0.05,16
19,94,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,16
20,309,Matt Targett,Aston Villa,Matt,Targett,D,1,81,0,0,0.0,3.33,0.0,0.7,16
21,428,Wesley,Aston Villa,Wesley,,F,1,90,0,0,1.0,2.0,0.1,0.12,16
22,445,Tyrone Mings,Aston Villa,Tyrone,Mings,D,1,22,0,0,0.0,0.0,0.0,0.0,16
23,452,Ezri Konsa Ngoyo,Aston Villa,Ezri,Konsa Ngoyo,D,1,90,0,1,0.0,1.0,0.0,0.04,16
24,455,Bjorn Engels,Aston Villa,Bjorn,Engels,S,1,68,0,0,0.0,0.0,0.0,0.0,16
25,458,Frederic Guilbert,Aston Villa,Frederic,Guilbert,S,1,9,0,0,0.0,0.0,0.0,0.0,16
26,465,Trezeguet,Aston Villa,Trezeguet,,S,1,28,0,0,6.43,0.0,0.16,0.0,16
27,470,Douglas Luiz,Aston Villa,Douglas,Luiz,M,1,90,0,0,2.0,0.0,0.06,0.0,16
28,491,Marvelous Nakamba,Aston Villa,Marvelous,Nakamba,M,1,62,0,0,0.0,0.0,0.0,0.0,16
29,59,Nathan Ake,Bournemouth,Nathan,Ake,D,1,34,0,0,0.0,0.0,0.0,0.0,16
30,61,Chris Mepham,Bournemouth,Chris,Mepham,D,1,90,0,0,0.0,0.0,0.0,0.0,16
31,62,Simon Francis,Bournemouth,Simon,Francis,D,1,90,0,0,0.0,0.0,0.0,0.0,16
32,65,Diego Rico,Bournemouth,Diego,Rico,D,1,90,0,0,0.0,0.0,0.0,0.0,16
33,66,Jack Simpson,Bournemouth,Jack,Simpson,S,1,56,0,0,0.0,0.0,0.0,0.0,16
34,67,Callum Wilson,Bournemouth,Callum,Wilson,F,1,67,0,0,0.0,0.0,0.0,0.0,16
35,69,Dominic Solanke,Bournemouth,Dominic,Solanke,F,1,90,0,0,1.0,0.0,0.04,0.0,16
36,75,Ryan Fraser,Bournemouth,Ryan,Fraser,M,1,90,0,0,0.0,2.0,0.0,0.11,16
37,79,Lewis Cook,Bournemouth,Lewis,Cook,S,1,29,0,0,0.0,3.1,0.0,0.04,16
38,81,Dan Gosling,Bournemouth,Dan,Gosling,S,1,23,0,0,0.0,0.0,0.0,0.0,16
39,82,Jefferson Lerma,Bournemouth,Jefferson,Lerma,M,1,90,0,0,0.0,0.0,0.0,0.0,16
40,476,Philip Billing,Bournemouth,Philip,Billing,M,1,61,0,0,0.0,0.0,0.0,0.0,16
41,492,Arnaut Danjuma Groeneveld,Bournemouth,Arnaut,Danjuma Groeneveld,M,1,90,0,0,2.0,0.0,0.11,0.0,16
42,494,Aaron Ramsdale,Bournemouth,Aaron,Ramsdale,GK,1,90,0,0,0.0,0.0,0.0,0.0,16
43,42,Lewis Dunk,Brighton,Lewis,Dunk,D,1,90,0,0,1.0,0.0,0.05,0.0,16
44,44,Glenn Murray,Brighton,Glenn,Murray,S,1,21,0,0,0.0,0.0,0.0,0.0,16
45,47,Mat Ryan,Brighton,Mat,Ryan,GK,1,90,0,0,0.0,0.0,0.0,0.0,16
46,49,Pascal Gro,Brighton,Pascal,Gro,F,1,69,0,0,1.3,2.61,0.07,0.08,16
47,50,Alireza Jahanbakhsh,Brighton,Alireza,Jahanbakhsh,S,1,21,0,0,0.0,0.0,0.0,0.0,16
48,54,Davy Propper,Brighton,Davy,Propper,M,1,90,1,0,1.0,0.0,0.3,0.0,16
49,57,Dale Stephens,Brighton,Dale,Stephens,M,1,90,0,1,1.0,1.0,0.02,0.05,16
50,421,Leandro Trossard,Brighton,Leandro,Trossard,F,1,69,0,1,1.3,2.61,0.03,0.41,16
51,475,Dan Burn,Brighton,Dan,Burn,D,1,90,0,0,1.0,0.0,0.03,0.0,16
52,493,Adam Webster,Brighton,Adam,Webster,D,1,90,0,0,0.0,0.0,0.0,0.0,16
53,502,Neal Maupay,Brighton,Neal,Maupay,F,1,90,1,0,5.0,0.0,0.31,0.0,16
54,516,Aaron Mooy,Brighton,Aaron,Mooy,M,1,90,0,0,1.0,0.0,0.06,0.0,16
55,537,Steven Alzate,Brighton,Steven,Alzate,D,1,90,0,0,1.0,2.0,0.11,0.11,16
56,83,Ben Mee,Burnley,Ben,Mee,D,1,90,0,0,0.0,0.0,0.0,0.0,16
57,84,James Tarkowski,Burnley,James,Tarkowski,D,1,90,0,0,0.0,1.0,0.0,0.01,16
58,85,Matthew Lowton,Burnley,Matthew,Lowton,D,1,90,0,0,0.0,0.0,0.0,0.0,16
59,91,Chris Wood,Burnley,Chris,Wood,F,1,68,0,0,1.32,0.0,0.27,0.0,16
60,92,Matej Vydra,Burnley,Matej,Vydra,S,1,22,0,0,0.0,0.0,0.0,0.0,16
