,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,3.0,Sead Kolasinac,Arsenal,Sead,Kolasinac,D,1,90,0,0,0.0,0.0,0.0,0.0,7
1,5.0,Sokratis,Arsenal,Sokratis,,D,1,90,0,0,0.0,0.0,0.0,0.0,7
2,11.0,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,F,1,90,1,0,1.0,2.0,0.41,0.41,7
3,14.0,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,7
4,18.0,Granit Xhaka,Arsenal,Granit,Xhaka,M,1,90,0,0,0.0,0.0,0.0,0.0,7
5,19.0,Lucas Torreira,Arsenal,Lucas,Torreira,M,1,57,0,0,1.58,0.0,0.36,0.0,7
6,21.0,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,M,1,90,0,0,1.0,0.0,0.12,0.0,7
7,106.0,David Luiz,Arsenal,David,Luiz,D,1,90,0,0,1.0,0.0,0.04,0.0,7
8,467.0,Calum Chambers,Arsenal,Calum,Chambers,D,1,90,0,0,0.0,1.0,0.0,0.45,7
9,469.0,Dani Ceballos,Arsenal,Dani,Ceballos,S,1,33,0,0,2.73,0.0,0.06,0.0,7
10,488.0,Nicolas Pepe,Arsenal,Nicolas,Pepe,F,1,76,0,0,2.37,0.0,0.11,0.0,7
11,489.0,Reiss Nelson,Arsenal,Reiss,Nelson,S,1,14,0,0,6.43,0.0,0.07,0.0,7
12,490.0,Joe Willock,Arsenal,Joe,Willock,S,1,8,0,0,0.0,22.5,0.0,0.13,7
13,541.0,Bukayo Saka,Arsenal,Bukayo,Saka,F,1,82,0,1,2.2,2.2,0.55,0.47,7
14,24.0,Neil Taylor,Aston Villa,Neil,Taylor,S,1,26,0,0,0.0,0.0,0.0,0.0,7
15,28.0,Conor Hourihane,Aston Villa,Conor,Hourihane,M,1,90,0,0,4.0,1.0,0.19,0.01,7
16,29.0,Jack Grealish,Aston Villa,Jack,Grealish,F,1,90,0,0,4.0,3.0,0.15,0.06,7
17,30.0,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,F,1,72,1,0,5.0,0.0,0.26,0.0,7
18,31.0,John McGinn,Aston Villa,John,McGinn,M,1,90,1,0,4.0,2.0,0.31,0.11,7
19,34.0,Keinan Davis,Aston Villa,Keinan,Davis,S,1,1,0,0,0.0,90.0,0.0,0.02,7
20,94.0,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,7
21,309.0,Matt Targett,Aston Villa,Matt,Targett,D,1,64,0,0,0.0,1.41,0.0,0.24,7
22,428.0,Wesley,Aston Villa,Wesley,,F,1,90,0,0,0.0,1.0,0.0,0.03,7
23,445.0,Tyrone Mings,Aston Villa,Tyrone,Mings,D,1,90,0,0,0.0,0.0,0.0,0.0,7
24,455.0,Bjorn Engels,Aston Villa,Bjorn,Engels,D,1,90,0,0,0.0,0.0,0.0,0.0,7
25,458.0,Frederic Guilbert,Aston Villa,Frederic,Guilbert,D,1,90,0,1,0.0,1.0,0.0,0.13,7
26,465.0,Trezeguet,Aston Villa,Trezeguet,,S,1,18,0,1,0.0,5.0,0.0,0.03,7
27,491.0,Marvelous Nakamba,Aston Villa,Marvelous,Nakamba,M,1,90,0,0,0.0,3.0,0.0,0.13,7
28,58.0,Steve Cook,Bournemouth,Steve,Cook,D,1,90,0,0,0.0,0.0,0.0,0.0,7
29,59.0,Nathan Ake,Bournemouth,Nathan,Ake,D,1,90,0,1,2.0,1.0,0.14,0.41,7
30,62.0,Simon Francis,Bournemouth,Simon,Francis,S,1,1,0,0,0.0,0.0,0.0,0.0,7
31,65.0,Diego Rico,Bournemouth,Diego,Rico,D,1,90,0,0,0.0,6.0,0.0,0.71,7
32,67.0,Callum Wilson,Bournemouth,Callum,Wilson,F,1,90,1,0,6.0,1.0,1.52,0.06,7
33,68.0,Joshua King,Bournemouth,Joshua,King,M,1,90,1,1,1.0,1.0,0.41,0.35,7
34,69.0,Dominic Solanke,Bournemouth,Dominic,Solanke,F,1,90,0,0,3.0,0.0,0.18,0.0,7
35,79.0,Lewis Cook,Bournemouth,Lewis,Cook,S,1,1,0,0,0.0,0.0,0.0,0.0,7
36,82.0,Jefferson Lerma,Bournemouth,Jefferson,Lerma,M,1,90,0,0,0.0,1.0,0.0,0.04,7
37,446.0,Jack Stacey,Bournemouth,Jack,Stacey,D,1,90,0,0,0.0,1.0,0.0,0.09,7
38,476.0,Philip Billing,Bournemouth,Philip,Billing,M,1,90,0,0,1.0,0.0,0.06,0.0,7
39,492.0,Arnaut Danjuma Groeneveld,Bournemouth,Arnaut,Danjuma Groeneveld,S,1,8,0,0,0.0,0.0,0.0,0.0,7
40,494.0,Aaron Ramsdale,Bournemouth,Aaron,Ramsdale,GK,1,90,0,0,0.0,0.0,0.0,0.0,7
41,505.0,Harry Wilson,Bournemouth,Harry,Wilson,M,1,82,0,0,0.0,1.1,0.0,0.55,7
42,38.0,Martin Montoya,Brighton,Martin,Montoya,M,1,90,0,0,0.0,2.0,0.0,0.05,7
43,41.0,Gaetan Bong,Brighton,Gaetan,Bong,S,1,43,0,0,0.0,4.19,0.0,0.12,7
44,42.0,Lewis Dunk,Brighton,Lewis,Dunk,D,1,90,0,0,0.0,0.0,0.0,0.0,7
45,44.0,Glenn Murray,Brighton,Glenn,Murray,S,1,10,0,0,9.0,0.0,0.01,0.0,7
46,47.0,Mat Ryan,Brighton,Mat,Ryan,GK,1,90,0,0,0.0,0.0,0.0,0.0,7
47,49.0,Pascal Gro,Brighton,Pascal,Gro,F,1,90,0,0,2.0,2.0,0.1,0.41,7
48,53.0,Yves Bissouma,Brighton,Yves,Bissouma,M,1,47,0,0,0.0,0.0,0.0,0.0,7
49,57.0,Dale Stephens,Brighton,Dale,Stephens,M,1,90,0,0,1.0,0.0,0.02,0.0,7
50,475.0,Dan Burn,Brighton,Dan,Burn,D,1,90,0,0,2.0,0.0,0.4,0.0,7
51,493.0,Adam Webster,Brighton,Adam,Webster,D,1,90,0,0,1.0,1.0,0.04,0.01,7
52,502.0,Neal Maupay,Brighton,Neal,Maupay,F,1,80,0,0,0.0,0.0,0.0,0.0,7
53,516.0,Aaron Mooy,Brighton,Aaron,Mooy,F,1,66,0,0,0.0,0.0,0.0,0.0,7
54,534.0,Aaron Connolly,Brighton,Aaron,Connolly,S,1,24,0,0,0.0,0.0,0.0,0.0,7
55,537.0,Steven Alzate,Brighton,Steven,Alzate,M,1,90,0,0,1.0,0.0,0.05,0.0,7
56,83.0,Ben Mee,Burnley,Ben,Mee,D,1,90,0,0,1.0,0.0,0.01,0.0,7
57,84.0,James Tarkowski,Burnley,James,Tarkowski,D,1,90,0,0,1.0,0.0,0.12,0.0,7
58,85.0,Matthew Lowton,Burnley,Matthew,Lowton,D,1,90,0,1,0.0,1.0,0.0,0.42,7
59,90.0,Ashley Barnes,Burnley,Ashley,Barnes,F,1,85,0,0,0.0,1.06,0.0,0.08,7
60,91.0,Chris Wood,Burnley,Chris,Wood,F,1,90,1,0,2.0,0.0,0.79,0.0,7
61,93.0,Nick Pope,Burnley,Nick,Pope,GK,1,90,0,0,0.0,0.0,0.0,0.0,7
62,97.0,Dwight McNeil,Burnley,Dwight,McNeil,M,1,90,0,0,2.0,2.0,0.1,0.14,7
63,98.0,Robbie Brady,Burnley,Robbie,Brady,S,1,5,0,0,0.0,0.0,0.0,0.0,7
64,100.0,Jeff Hendrick,Burnley,Jeff,Hendrick,M,1,90,0,0,2.0,0.0,0.17,0.0,7
65,101.0,Ashley Westwood,Burnley,Ashley,Westwood,M,1,90,0,0,0.0,1.0,0.0,0.09,7
66,102.0,Jack Cork,Burnley,Jack,Cork,M,1,48,0,0,1.88,0.0,0.09,0.0,7
67,447.0,Erik Pieters,Burnley,Erik,Pieters,D,1,90,0,1,0.0,2.0,0.0,0.75,7
68,451.0,Jay Rodriguez,Burnley,Jay,Rodriguez,S,1,42,1,0,2.14,2.14,0.39,0.09,7
69,103.0,Marcos Alonso,Chelsea,Marcos,Alonso,D,1,90,0,0,1.0,2.0,0.53,0.5,7
70,105.0,Cesar Azpilicueta,Chelsea,Cesar,Azpilicueta,D,1,90,0,0,0.0,1.0,0.0,0.53,7
