Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Sadio,Mane,F,1,90,2,0,4.00,2.00,0.83,0.11
Liverpool,Mohamed,Salah,F,1,90,1,0,3.00,2.00,0.55,0.53
Liverpool,Joel,Matip,D,1,90,0,0,1.00,0.00,0.02,0.00
Liverpool,Roberto,Firmino,S,1,54,0,1,3.33,6.67,0.10,1.11
Liverpool,Divock,Origi,F,1,36,0,0,2.50,0.00,0.04,0.00
Liverpool,James,Milner,S,1,12,0,0,0.00,0.00,0.00,0.00
Liverpool,Adrian,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Georginio,Wijnaldum,M,1,87,0,0,2.07,0.00,0.15,0.00
Liverpool,Virgil,van Dijk,D,1,90,0,0,3.00,0.00,0.05,0.00
Liverpool,Xherdan,Shaqiri,S,1,3,0,0,0.00,0.00,0.00,0.00
Liverpool,Alex,Oxlade-Chamberlain,M,1,78,0,0,2.31,1.15,0.09,0.02
Liverpool,Andrew,Robertson,D,1,90,0,1,1.00,2.00,0.33,0.16
Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,2.00,7.00,0.77,0.20
Liverpool,Fabinho,,M,1,90,0,0,0.00,1.00,0.00,0.02
Manchester City,Sergio,Aguero,F,1,90,1,0,6.00,1.00,0.96,0.07
Manchester City,Rodri,,M,1,90,1,0,2.00,2.00,0.09,0.18
Manchester City,Ilkay,Gundogan,M,1,58,0,0,0.00,1.55,0.00,0.02
Manchester City,Kevin,De Bruyne,S,1,32,0,0,0.00,8.44,0.00,0.10
Manchester City,John,Stones,D,1,90,0,0,0.00,1.00,0.00,0.04
Manchester City,Nicolas,Otamendi,D,1,90,0,0,3.00,0.00,0.13,0.00
Manchester City,David,Silva,M,1,58,0,0,1.55,0.00,0.02,0.00
Manchester City,Raheem,Sterling,M,1,90,0,0,6.00,4.00,0.81,0.62
Manchester City,Kyle,Walker,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Riyad,Mahrez,S,1,16,0,0,0.00,5.63,0.00,0.09
Manchester City,Oleksandr,Zinchenko,D,1,90,0,0,2.00,0.00,0.04,0.00
Manchester City,Bernardo,Silva,M,1,74,0,1,2.43,2.43,0.09,0.86
Manchester City,Gabriel,Jesus,S,1,32,0,1,8.44,2.81,0.19,0.03
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,1.00,0.00,0.19
Leicester,Jamie,Vardy,F,1,90,0,0,0.00,1.00,0.00,0.02
Leicester,Demarai,Gray,M,1,70,0,0,1.29,2.57,0.02,0.04
Leicester,Ayoze,Perez,S,1,31,0,0,0.00,0.00,0.00,0.00
Leicester,Ben,Chilwell,D,1,90,0,0,1.00,0.00,0.02,0.00
Leicester,Jonny,Evans,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wilfred,Ndidi,M,1,90,0,0,2.00,0.00,0.07,0.00
Leicester,Youri,Tielemans,M,1,90,0,0,1.00,0.00,0.02,0.00
Leicester,Hamza,Choudhury,M,1,59,0,0,1.53,0.00,0.05,0.00
Leicester,Harvey,Barnes,S,1,20,0,0,0.00,0.00,0.00,0.00
Leicester,James,Maddison,M,1,90,0,0,3.00,0.00,0.29,0.00
Chelsea,Tammy,Abraham,F,1,79,3,0,4.56,0.00,0.96,0.00
Chelsea,Fikayo,Tomori,D,1,90,1,0,1.00,0.00,0.02,0.00
Chelsea,Mason,Mount,M,1,90,1,0,2.00,3.00,0.55,0.36
Chelsea,Andreas,Christensen,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Ross,Barkley,S,1,18,0,0,0.00,10.00,0.00,0.98
Chelsea,Cesar,Azpilicueta,M,1,90,0,0,0.00,1.00,0.00,0.07
Chelsea,Willian,,M,1,90,0,0,1.00,0.00,0.07,0.00
Chelsea,Kurt,Zouma,S,1,42,0,0,2.14,0.00,0.07,0.00
Chelsea,Jorginho,,M,1,90,0,1,0.00,3.00,0.00,0.79
Chelsea,Marcos,Alonso,M,1,90,0,1,1.00,1.00,0.04,0.05
Chelsea,Michy,Batshuayi,S,1,11,0,1,32.73,8.18,1.28,0.11
Chelsea,Antonio,Rudiger,D,1,48,0,0,1.88,0.00,0.07,0.00
Chelsea,Mateo,Kovacic,M,1,72,0,0,0.00,0.00,0.00,0.00
Chelsea,Kepa,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Marcus,Rashford,F,1,90,1,0,2.00,1.00,0.81,0.01
Manchester United,David,de Gea,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Juan,Mata,M,1,72,0,0,1.25,1.25,0.10,0.03
Manchester United,Ashley,Young,D,1,90,0,0,0.00,2.00,0.00,0.03
Manchester United,Nemanja,Matic,M,1,69,0,0,0.00,0.00,0.00,0.00
Manchester United,Andreas,Pereira,M,1,90,0,0,3.00,1.00,0.09,0.04
