Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Alex,Oxlade-Chamberlain,F,1,90,1,0,2.00,0.00,0.36,0.00
Liverpool,Mohamed,Salah,F,1,90,1,1,5.00,4.00,1.25,0.64
Liverpool,Naby,Keita,M,1,90,1,1,3.00,3.00,0.66,0.58
Liverpool,Roberto,Firmino,F,1,90,0,0,5.00,2.00,0.35,0.68
Liverpool,James,Milner,M,1,90,0,0,1.00,3.00,0.04,0.24
Liverpool,Dejan,Lovren,D,1,39,0,0,0.00,0.00,0.00,0.00
Liverpool,Jordan,Henderson,M,1,90,0,1,1.00,2.00,0.02,0.43
Liverpool,Virgil,van Dijk,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Xherdan,Shaqiri,S,1,1,0,0,0.00,90.00,0.00,0.08
Liverpool,Joseph,Gomez,D,1,90,0,0,0.00,2.00,0.00,0.08
Liverpool,Alisson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Andrew,Robertson,D,1,79,0,0,0.00,0.00,0.00,0.00
Liverpool,Trent,Alexander-Arnold,S,1,51,0,0,7.06,3.53,0.32,0.15
Liverpool,Curtis,Jones,S,1,11,0,0,8.18,0.00,0.08,0.00
Manchester City,Nicolas,Otamendi,S,1,29,1,0,6.21,0.00,0.48,0.00
Manchester City,Ilkay,Gundogan,S,1,2,0,0,0.00,45.00,0.00,0.07
Manchester City,Kevin,De Bruyne,M,1,90,0,0,4.00,4.00,0.31,0.46
Manchester City,John,Stones,D,1,61,0,0,0.00,0.00,0.00,0.00
Manchester City,Fernandinho,,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,David,Silva,M,1,90,0,0,3.00,4.00,0.21,0.28
Manchester City,Raheem,Sterling,F,1,90,0,0,2.00,2.00,0.09,0.24
Manchester City,Kyle,Walker,D,1,90,0,0,0.00,1.00,0.00,0.02
Manchester City,Riyad,Mahrez,S,1,23,0,1,7.83,3.91,0.23,0.38
Manchester City,Angelino,,D,1,90,0,0,2.00,0.00,0.09,0.00
Manchester City,Rodri,,M,1,88,0,0,1.02,1.02,0.06,0.10
Manchester City,Bernardo,Silva,F,1,67,0,0,2.69,2.69,0.10,0.20
Manchester City,Gabriel,Jesus,F,1,90,0,0,3.00,0.00,0.51,0.00
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
