Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Roberto,Firmino,F,1,90,1,0,2.00,1.00,0.72,0.07
Liverpool,Trent,Alexander-Arnold,D,1,90,1,0,1.00,2.00,0.05,0.32
Liverpool,Joel,Matip,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Adam,Lallana,S,1,3,0,0,0.00,0.00,0.00,0.00
Liverpool,James,Milner,S,1,16,0,0,0.00,0.00,0.00,0.00
Liverpool,Adrian,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Jordan,Henderson,M,1,87,0,0,0.00,0.00,0.00,0.00
Liverpool,Georginio,Wijnaldum,M,1,90,0,0,1.00,0.00,0.07,0.00
Liverpool,Virgil,van Dijk,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Sadio,Mane,F,1,74,0,0,1.22,0.00,0.10,0.00
Liverpool,Joseph,Gomez,S,1,1,0,0,0.00,0.00,0.00,0.00
Liverpool,Mohamed,Salah,F,1,90,0,1,1.00,1.00,0.10,0.05
Liverpool,Andrew,Robertson,D,1,90,0,1,0.00,1.00,0.00,0.50
Liverpool,Fabinho,,M,1,90,0,0,0.00,1.00,0.00,0.10
Manchester City,Bernardo,Silva,F,1,90,3,0,5.00,2.00,1.44,0.13
Manchester City,Kevin,De Bruyne,M,1,90,1,2,4.00,8.00,0.60,1.98
Manchester City,Nicolas,Otamendi,D,1,66,1,0,2.73,0.00,0.71,0.00
Manchester City,David,Silva,M,1,90,1,0,4.00,1.00,0.95,0.03
Manchester City,Sergio,Aguero,F,1,90,1,1,6.00,3.00,2.33,1.21
Manchester City,Riyad,Mahrez,F,1,90,1,1,4.00,4.00,0.54,0.70
Manchester City,Fernandinho,,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Kyle,Walker,D,1,57,0,0,1.58,0.00,0.02,0.00
Manchester City,Angelino,,S,1,41,0,0,0.00,4.39,0.00,0.80
Manchester City,Joao,Cancelo,S,1,33,0,0,0.00,0.00,0.00,0.00
Manchester City,Rodri,,M,1,90,0,0,2.00,1.00,0.04,0.02
Manchester City,Benjamin,Mendy,D,1,49,0,0,0.00,0.00,0.00,0.00
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Eric,Garcia,S,1,24,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,D,1,90,1,0,2.00,1.00,0.47,0.10
Leicester,James,Maddison,M,1,90,1,0,4.00,2.00,0.19,0.24
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Jamie,Vardy,F,1,90,0,0,3.00,1.00,0.26,0.04
Leicester,Demarai,Gray,S,1,5,0,0,0.00,0.00,0.00,0.00
Leicester,Ayoze,Perez,M,1,70,0,0,1.29,1.29,0.05,0.08
Leicester,Ben,Chilwell,D,1,90,0,0,0.00,1.00,0.00,0.02
Leicester,Jonny,Evans,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Dennis,Praet,S,1,20,0,0,0.00,0.00,0.00,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wilfred,Ndidi,M,1,90,0,0,1.00,0.00,0.02,0.00
Leicester,Youri,Tielemans,M,1,87,0,0,2.07,2.07,0.05,0.13
Leicester,Hamza,Choudhury,S,1,3,0,1,0.00,30.00,0.00,0.02
Leicester,Harvey,Barnes,M,1,85,0,0,3.18,2.12,0.25,0.08
Chelsea,N'Golo,Kante,M,1,90,1,0,2.00,0.00,0.10,0.00
Chelsea,Andreas,Christensen,D,1,41,0,0,0.00,2.20,0.00,0.32
Chelsea,Cesar,Azpilicueta,D,1,90,0,1,0.00,4.00,0.00,0.30
Chelsea,Willian,,F,1,90,0,0,1.00,0.00,0.02,0.00
Chelsea,Tammy,Abraham,F,1,80,0,0,3.38,0.00,0.47,0.00
Chelsea,Fikayo,Tomori,D,1,90,0,0,1.00,1.00,0.03,0.02
Chelsea,Kurt,Zouma,S,1,49,0,0,0.00,0.00,0.00,0.00
Chelsea,Emerson,,D,1,14,0,0,0.00,0.00,0.00,0.00
Chelsea,Jorginho,,M,1,90,0,0,1.00,1.00,0.02,0.01
Chelsea,Marcos,Alonso,S,1,76,0,0,1.18,3.55,0.01,0.48
Chelsea,Michy,Batshuayi,S,1,10,0,0,18.00,0.00,0.14,0.00
Chelsea,Mateo,Kovacic,M,1,90,0,0,1.00,0.00,0.03,0.00
Chelsea,Kepa,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Mason,Mount,F,1,90,0,0,1.00,1.00,0.40,0.03
Manchester United,David,de Gea,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Juan,Mata,M,1,82,0,0,2.20,1.10,0.55,0.07
Manchester United,Marcus,Rashford,F,1,62,0,0,0.00,1.45,0.00,0.01
Manchester United,Jesse,Lingard,S,1,28,0,0,3.21,0.00,0.06,0.00
Manchester United,Ashley,Young,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Nemanja,Matic,M,1,72,0,0,1.25,0.00,0.01,0.00
Manchester United,Andreas,Pereira,M,1,90,0,0,2.00,1.00,0.04,0.54
Manchester United,Harry,Maguire,D,1,90,0,0,1.00,0.00,0.45,0.00
Manchester United,Scott,McTominay,M,1,90,0,0,1.00,1.00,0.07,0.45
Manchester United,Aaron,Wan-Bissaka,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Daniel,James,M,1,90,0,0,1.00,1.00,0.09,0.01
Manchester United,Angel,Gomes,S,1,8,0,0,0.00,0.00,0.00,0.00
Manchester United,Victor,Lindelof,D,1,90,0,0,0.00,1.00,0.00,0.02
Manchester United,Fred,,S,1,18,0,0,0.00,10.00,0.00,0.11
Wolverhampton Wanderers,Diogo,Jota,F,1,90,1,0,4.00,1.00,0.65,0.04
Wolverhampton Wanderers,Adama,Traore,F,1,90,0,1,3.00,3.00,0.08,0.53
Wolverhampton Wanderers,Jonny,,M,1,90,0,0,1.00,1.00,0.02,0.08
Wolverhampton Wanderers,Joao,Moutinho,M,1,90,0,0,0.00,1.00,0.00,0.43
Wolverhampton Wanderers,Romain,Saiss,D,1,74,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Raul,Jimenez,F,1,77,0,0,2.34,4.68,0.11,0.62
