Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Georginio,Wijnaldum,M,1,90,1,0,1.00,1.00,0.11,0.02
Liverpool,Sadio,Mane,F,1,90,1,0,3.00,0.00,0.92,0.00
Liverpool,Mohamed,Salah,F,1,90,1,0,5.00,1.00,0.25,0.04
Liverpool,Joel,Matip,S,1,1,0,0,0.00,0.00,0.00,0.00
Liverpool,Roberto,Firmino,F,1,90,0,0,5.00,1.00,0.92,0.05
Liverpool,Virgil,van Dijk,D,1,90,0,0,3.00,0.00,0.17,0.00
Liverpool,Alex,Oxlade-Chamberlain,S,1,32,0,0,2.81,5.63,0.02,0.03
Liverpool,Joseph,Gomez,D,1,90,0,0,1.00,0.00,0.02,0.00
Liverpool,Alisson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Andrew,Robertson,D,1,90,0,1,1.00,6.00,0.04,0.32
Liverpool,Trent,Alexander-Arnold,D,1,90,0,2,4.00,6.00,0.14,1.16
Liverpool,Fabinho,,M,1,90,0,0,1.00,2.00,0.02,0.13
Liverpool,Naby,Keita,M,1,58,0,0,0.00,3.10,0.00,0.08
Manchester City,Gabriel,Jesus,S,1,11,1,0,16.36,0.00,0.49,0.00
Manchester City,Ilkay,Gundogan,M,1,90,0,0,2.00,1.00,0.38,0.06
Manchester City,Kevin,De Bruyne,M,1,90,0,0,3.00,2.00,0.17,0.05
Manchester City,Nicolas,Otamendi,S,1,30,0,0,0.00,0.00,0.00,0.00
Manchester City,Fernandinho,,D,1,90,0,0,1.00,0.00,0.08,0.00
Manchester City,Sergio,Aguero,F,1,79,0,0,2.28,1.14,0.89,0.35
Manchester City,Kyle,Walker,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Riyad,Mahrez,F,1,90,0,1,3.00,5.00,0.13,0.71
Manchester City,Rodri,,M,1,90,0,0,1.00,4.00,0.01,0.20
Manchester City,Aymeric,Laporte,D,1,60,0,0,0.00,0.00,0.00,0.00
Manchester City,Benjamin,Mendy,D,1,90,0,0,2.00,0.00,0.04,0.00
Manchester City,Bernardo,Silva,F,1,90,0,0,2.00,1.00,0.10,0.01
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Kelechi,Iheanacho,F,1,48,0,0,1.88,0.00,0.05,0.00
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Christian,Fuchs,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Jamie,Vardy,F,1,90,0,0,4.00,0.00,0.45,0.00
Leicester,Ayoze,Perez,S,1,1,0,0,0.00,0.00,0.00,0.00
Leicester,Ben,Chilwell,M,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Jonny,Evans,D,1,90,0,0,0.00,1.00,0.00,0.02
Leicester,Dennis,Praet,M,1,87,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,M,1,90,0,0,2.00,2.00,0.08,0.10
Leicester,Matthew,James,S,1,3,0,0,0.00,0.00,0.00,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,1.00,0.00,0.03
Leicester,Youri,Tielemans,M,1,90,0,0,1.00,1.00,0.02,0.32
Leicester,Harvey,Barnes,S,1,42,0,0,0.00,0.00,0.00,0.00
Leicester,James,Maddison,M,1,90,0,0,2.00,1.00,0.11,0.05
Chelsea,Olivier,Giroud,F,1,72,1,0,5.00,0.00,0.26,0.00
Chelsea,Marcos,Alonso,M,1,90,1,0,3.00,2.00,0.16,0.16
Chelsea,Andreas,Christensen,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Ross,Barkley,M,1,78,0,1,4.62,2.31,0.44,0.06
Chelsea,Willy,Caballero,GK,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Cesar,Azpilicueta,D,1,90,0,0,0.00,0.00,0.00,0.00
