Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Manchester City,Ilkay,Gundogan,M,1,81,1,0,2.22,1.11,0.78,0.07
Manchester City,Riyad,Mahrez,F,1,90,1,0,10.00,4.00,0.78,0.75
Manchester City,Gabriel,Jesus,F,1,90,1,0,4.00,0.00,1.56,0.00
Manchester City,Kevin,De Bruyne,M,1,90,0,1,4.00,7.00,0.23,1.10
Manchester City,Nicolas,Otamendi,D,1,90,0,0,1.00,0.00,0.08,0.00
Manchester City,Fernandinho,,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Raheem,Sterling,F,1,90,0,0,2.00,3.00,0.17,0.24
Manchester City,Sergio,Aguero,S,1,1,0,0,0.00,0.00,0.00,0.00
Manchester City,Kyle,Walker,D,1,90,0,0,0.00,1.00,0.00,0.11
Manchester City,Rodri,,S,1,9,0,0,0.00,0.00,0.00,0.00
Manchester City,Benjamin,Mendy,D,1,90,0,1,0.00,4.00,0.00,0.44
Manchester City,Bernardo,Silva,M,1,90,0,0,0.00,1.00,0.00,0.06
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Phil,Foden,S,1,1,0,0,0.00,0.00,0.00,0.00
Leicester,Jamie,Vardy,F,1,90,1,0,2.00,1.00,0.44,0.53
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Marc,Albrighton,S,1,24,0,0,0.00,0.00,0.00,0.00
Leicester,Demarai,Gray,S,1,20,0,0,0.00,0.00,0.00,0.00
Leicester,Ayoze,Perez,M,1,70,0,0,1.29,1.29,0.02,0.03
Leicester,Ben,Chilwell,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Jonny,Evans,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Dennis,Praet,S,1,11,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wilfred,Ndidi,M,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Youri,Tielemans,M,1,79,0,0,0.00,1.14,0.00,0.02
Leicester,Harvey,Barnes,M,1,66,0,1,1.36,1.36,0.53,0.26
Leicester,James,Maddison,M,1,90,0,0,1.00,1.00,0.03,0.18
Chelsea,Willian,,M,1,90,2,0,2.00,5.00,0.81,0.36
Chelsea,Cesar,Azpilicueta,M,1,84,0,0,0.00,0.00,0.00,0.00
Chelsea,Tammy,Abraham,F,1,84,0,0,3.21,0.00,0.18,0.00
Chelsea,Fikayo,Tomori,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,N'Golo,Kante,M,1,90,0,0,1.00,1.00,0.02,0.03
Chelsea,Kurt,Zouma,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Jorginho,,S,1,18,0,0,0.00,5.00,0.00,0.02
Chelsea,Marcos,Alonso,M,1,90,0,0,2.00,1.00,0.09,0.07
Chelsea,Michy,Batshuayi,S,1,6,0,0,15.00,0.00,0.08,0.00
Chelsea,Antonio,Rudiger,D,1,90,0,0,1.00,0.00,0.01,0.00
Chelsea,Mateo,Kovacic,M,1,72,0,1,0.00,1.25,0.00,0.05
Chelsea,Kepa,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Mason,Mount,M,1,90,0,0,2.00,1.00,0.18,0.08
Chelsea,Reece,James,S,1,6,0,0,15.00,0.00,0.12,0.00
Manchester United,David,de Gea,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Anthony,Martial,F,1,90,0,0,3.00,3.00,0.20,0.93
Manchester United,Juan,Mata,S,1,17,0,0,5.29,5.29,0.07,0.04
Manchester United,Marcus,Rashford,M,1,90,0,0,2.00,3.00,0.39,0.09
Manchester United,Jesse,Lingard,M,1,65,0,0,2.77,0.00,0.33,0.00
Manchester United,Luke,Shaw,D,1,90,0,0,0.00,1.00,0.00,0.04
Manchester United,Harry,Maguire,D,1,90,0,0,1.00,0.00,0.04,0.00
Manchester United,Paul,Pogba,S,1,25,0,0,7.20,3.60,0.29,0.05
Manchester United,Scott,McTominay,M,1,73,0,0,4.93,0.00,0.12,0.00
Manchester United,Aaron,Wan-Bissaka,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Daniel,James,M,1,59,0,0,0.00,1.53,0.00,0.08
Manchester United,Victor,Lindelof,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Fred,,M,1,90,0,0,0.00,4.00,0.00,0.16
Manchester United,Mason,Greenwood,S,1,31,0,0,5.81,0.00,0.10,0.00
Wolverhampton Wanderers,Romain,Saiss,D,1,90,1,0,1.00,0.00,0.38,0.00
Wolverhampton Wanderers,Raul,Jimenez,F,1,90,1,0,4.00,2.00,0.53,0.09
Wolverhampton Wanderers,Adama,Traore,F,1,90,0,0,3.00,4.00,0.16,0.31
Wolverhampton Wanderers,Jonny,,M,1,90,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Joao,Moutinho,M,1,90,0,1,1.00,1.00,0.02,0.38
Wolverhampton Wanderers,Patrick,Cutrone,S,1,1,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Pedro,Neto,S,1,12,0,0,7.50,7.50,0.06,0.45
Wolverhampton Wanderers,Rui,Patricio,GK,1,90,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Conor,Coady,D,1,90,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Matt,Doherty,M,1,90,0,0,2.00,2.00,0.53,0.08
Wolverhampton Wanderers,Ruben,Neves,M,1,90,0,0,1.00,1.00,0.01,0.07
Wolverhampton Wanderers,Diogo,Jota,F,1,78,0,0,1.15,0.00,0.12,0.00
Wolverhampton Wanderers,Leander,Dendoncker,D,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,Oliver,McBurnie,F,1,64,1,0,1.41,0.00,0.43,0.00
Sheffield United,Muhamed,Besic,S,1,7,0,0,0.00,0.00,0.00,0.00
Sheffield United,Lys,Mousset,S,1,26,0,0,3.46,0.00,0.05,0.00
Sheffield United,Dean,Henderson,GK,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,John,Egan,D,1,90,0,0,1.00,0.00,0.04,0.00
Sheffield United,Chris,Basham,D,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,Jack,O'Connell,D,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,George,Baldock,M,1,90,0,0,0.00,1.00,0.00,0.05
Sheffield United,Enda,Stevens,M,1,90,0,0,0.00,2.00,0.00,0.17
Sheffield United,John,Lundstram,M,1,90,0,0,1.00,0.00,0.05,0.00
Sheffield United,Oliver,Norwood,M,1,83,0,0,0.00,1.08,0.00,0.04
Sheffield United,David,McGoldrick,F,1,90,0,0,3.00,0.00,1.10,0.00
Sheffield United,Luke,Freeman,M,1,54,0,0,0.00,0.00,0.00,0.00
Sheffield United,Ben,Osborn,S,1,36,0,0,0.00,2.50,0.00,0.40
Burnley,Jay,Rodriguez,S,1,12,1,0,7.50,0.00,0.13,0.00
Burnley,Aaron,Lennon,S,1,22,0,0,0.00,0.00,0.00,0.00
