Team,Player,Pos,Apps,Min,G,NPG,A,Sh90,KP90,xG,xG Change,NPxG,NPxG Change,xA,xA Change,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90 + xA90,NPxG90 + xA90,xGChain90,xGBuildup90,Yellow Flag,Red Flag
Manchester City,Ilkay Gundogan,M,24,1493,2,1,1,1.75,1.81,4.24,+2.24,2.72,+1.72,2.76,+1.76,15.43,11.41,0.26,0.16,0.17,0.42,0.33,0.93,0.69,7,0
Manchester City,Nicolas Otamendi,D,18,1323,2,2,0,0.88,0.27,2.01,+0.01,2.01,+0.01,0.18,+0.18,8.95,8.91,0.14,0.14,0.01,0.15,0.15,0.61,0.61,3,0
Manchester City,David Silva,M,19,1273,2,2,7,2.19,2.40,4.22,+2.22,4.22,+2.22,4.67,-2.33,15.75,8.30,0.30,0.30,0.33,0.63,0.63,1.11,0.59,0,0
Manchester City,Kyle Walker,D M,21,1815,1,1,2,0.64,0.60,1.29,+0.29,1.29,+0.29,1.28,-0.72,12.80,11.25,0.06,0.06,0.06,0.13,0.13,0.63,0.56,4,0
Manchester City,John Stones,D,12,904,0,0,0,0.60,0.20,0.55,+0.55,0.55,+0.55,0.06,+0.06,4.77,4.75,0.05,0.05,0.01,0.06,0.06,0.47,0.47,0,0
Manchester City,Fernandinho,D,22,1912,0,0,0,0.47,0.28,0.45,+0.45,0.45,+0.45,0.29,+0.29,11.38,11.30,0.02,0.02,0.01,0.04,0.04,0.54,0.53,5,1
Manchester City,Angelino,D,6,417,0,0,0,1.08,1.94,0.21,+0.21,0.21,+0.21,1.92,+1.92,2.76,2.37,0.05,0.05,0.42,0.46,0.46,0.60,0.51,1,0
Manchester City,Claudio Bravo,GK,4,347,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0,0
Manchester City,Joao Cancelo,D M,10,686,0,0,0,1.05,1.18,0.23,+0.23,0.23,+0.23,1.68,+1.68,7.94,6.58,0.03,0.03,0.22,0.25,0.25,1.04,0.86,1,0
Manchester City,Aymeric Laporte,D,7,511,0,0,0,0.18,0.35,0.08,+0.08,0.08,+0.08,0.15,+0.15,3.99,3.92,0.01,0.01,0.03,0.04,0.04,0.70,0.69,1,0
Manchester City,Oleksandr Zinchenko,D M,11,828,0,0,0,1.30,1.52,0.39,+0.39,0.39,+0.39,0.74,+0.74,6.88,6.39,0.04,0.04,0.08,0.12,0.12,0.75,0.69,0,1
Manchester City,Benjamin Mendy,D M,13,1111,0,0,3,0.49,1.38,0.19,+0.19,0.19,+0.19,1.38,-1.62,8.78,8.03,0.02,0.02,0.11,0.13,0.13,0.71,0.65,2,0
Manchester City,Ederson,GK,24,2081,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,5.51,5.51,0.00,0.00,0.00,0.00,0.00,0.24,0.24,3,1
Manchester City,Phil Foden,M,13,258,0,0,1,2.79,3.14,0.41,+0.41,0.41,+0.41,0.57,-0.43,2.21,1.70,0.14,0.14,0.20,0.34,0.34,0.77,0.59,0,0
Manchester City,Eric Garcia,D,6,255,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,1.78,1.78,0.00,0.00,0.00,0.00,0.00,0.63,0.63,0,0
Leicester,Jamie Vardy,F,25,2194,17,14,4,2.34,0.66,13.39,-3.61,10.34,-3.66,3.38,-0.62,13.57,1.45,0.55,0.42,0.14,0.69,0.56,0.56,0.06,2,0
Leicester,Ayoze Perez,F M,25,1621,7,6,4,2.05,1.17,6.25,-0.75,5.49,-0.51,3.08,-0.92,10.61,3.22,0.35,0.30,0.17,0.52,0.48,0.59,0.18,0,0
Leicester,James Maddison,M,27,2321,6,6,3,2.33,2.79,4.45,-1.55,4.45,-1.55,4.85,+1.85,12.21,7.02,0.17,0.17,0.19,0.36,0.36,0.47,0.27,4,0
Leicester,Harvey Barnes,M,26,1641,4,4,6,2.58,1.65,6.06,+2.06,6.06,+2.06,3.35,-2.65,12.61,5.04,0.33,0.33,0.18,0.52,0.52,0.69,0.28,0,0
Leicester,Kelechi Iheanacho,F,11,526,3,3,3,2.91,1.88,2.48,-0.52,2.48,-0.52,2.41,-0.59,4.98,0.42,0.42,0.42,0.41,0.84,0.84,0.85,0.07,1,0
Leicester,Ricardo Pereira,D M,27,2430,3,3,2,0.67,0.93,1.26,-1.74,1.26,-1.74,3.69,+1.69,10.56,7.64,0.05,0.05,0.14,0.18,0.18,0.39,0.28,1,0
Leicester,Youri Tielemans,M,27,2149,3,3,5,1.88,1.42,2.14,-0.86,2.14,-0.86,3.47,-1.53,11.95,7.92,0.09,0.09,0.15,0.23,0.23,0.50,0.33,1,0
Leicester,Ben Chilwell,D M,23,2063,2,2,3,0.57,1.13,0.98,-1.02,0.98,-1.02,2.85,-0.15,8.55,6.81,0.04,0.04,0.12,0.17,0.17,0.37,0.30,2,0
Leicester,Wilfred Ndidi,M,22,1806,2,2,1,0.90,0.60,1.47,-0.53,1.47,-0.53,0.54,-0.46,6.77,5.89,0.07,0.07,0.03,0.10,0.10,0.34,0.29,3,0
Leicester,Demarai Gray,M,14,396,1,1,1,2.73,1.59,1.93,+0.93,1.17,+0.17,1.37,+0.37,3.28,1.22,0.44,0.27,0.31,0.75,0.58,0.74,0.28,1,0
Leicester,Jonny Evans,D,28,2490,1,1,1,0.69,0.14,1.83,+0.83,1.83,+0.83,0.18,-0.82,7.11,6.95,0.07,0.07,0.01,0.07,0.07,0.26,0.25,4,0
Leicester,Dennis Praet,M,20,901,1,1,2,1.20,0.60,1.06,+0.06,1.06,+0.06,1.03,-0.97,4.89,3.72,0.11,0.11,0.10,0.21,0.21,0.49,0.37,1,0
Leicester,Caglar Soyuncu,D,27,2430,1,1,1,0.48,0.15,0.80,-0.20,0.80,-0.20,0.28,-0.72,3.81,3.74,0.03,0.03,0.01,0.04,0.04,0.14,0.14,4,0
Leicester,Hamza Choudhury,M,16,773,1,1,1,0.82,0.47,0.34,-0.66,0.34,-0.66,0.11,-0.89,2.71,2.49,0.04,0.04,0.01,0.05,0.05,0.32,0.29,2,1
Leicester,Kasper Schmeichel,GK,28,2520,0,0,0,0.00,0.04,0.00,0,0.00,0,0.19,+0.19,2.64,2.45,0.00,0.00,0.01,0.01,0.01,0.09,0.09,2,0
Leicester,Wes Morgan,D,8,148,0,0,0,1.22,0.00,0.50,+0.50,0.50,+0.50,0.00,0,0.65,0.20,0.31,0.31,0.00,0.31,0.31,0.40,0.12,0,0
Leicester,Christian Fuchs,D,8,631,0,0,0,0.71,0.29,0.18,+0.18,0.18,+0.18,0.10,+0.10,2.60,2.53,0.03,0.03,0.01,0.04,0.04,0.37,0.36,0,0
Leicester,Marc Albrighton,M,13,368,0,0,1,1.47,2.45,0.21,+0.21,0.21,+0.21,1.36,+0.36,2.12,1.13,0.05,0.05,0.33,0.38,0.38,0.52,0.28,1,0
Leicester,Nampalys Mendy,M,4,197,0,0,0,0.46,0.91,0.02,+0.02,0.02,+0.02,0.07,+0.07,1.64,1.55,0.01,0.01,0.03,0.04,0.04,0.75,0.71,0,0
Leicester,Matthew James,S,1,3,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Leicester,James Justin,D,3,105,0,0,1,0.00,1.71,0.00,0,0.00,0,0.48,-0.52,1.15,0.68,0.00,0.00,0.41,0.41,0.41,0.99,0.58,0,0
Chelsea,Tammy Abraham,F,25,1976,13,13,3,3.32,0.91,13.43,+0.43,13.43,+0.43,2.85,-0.15,15.41,0.95,0.61,0.61,0.13,0.74,0.74,0.70,0.04,2,0
Chelsea,Christian Pulisic,F M,16,1083,5,5,2,3.32,1.58,6.16,+1.16,6.16,+1.16,2.26,+0.26,10.00,4.01,0.51,0.51,0.19,0.70,0.70,0.83,0.33,0,0
Chelsea,Mason Mount,F M,28,2251,5,5,4,2.64,1.68,5.69,+0.69,5.69,+0.69,4.38,+0.38,13.01,6.91,0.23,0.23,0.18,0.40,0.40,0.52,0.28,3,0
Chelsea,Willian,F M,27,1857,4,3,4,2.42,2.33,4.23,+0.23,3.46,+0.46,5.08,+1.08,12.95,7.21,0.20,0.17,0.25,0.45,0.41,0.63,0.35,3,0
Chelsea,Jorginho,M,26,2025,4,1,2,0.53,0.98,3.10,-0.90,0.82,-0.18,2.85,+0.85,12.38,11.48,0.14,0.04,0.13,0.26,0.16,0.55,0.51,10,0
Chelsea,Marcos Alonso,D M,10,771,4,4,2,1.98,1.75,1.55,-2.45,1.55,-2.45,2.04,+0.04,6.06,3.89,0.18,0.18,0.24,0.42,0.42,0.71,0.45,3,0
Chelsea,N'Golo Kante,M,18,1382,3,3,0,1.04,1.56,1.51,-1.49,1.51,-1.49,1.46,+1.46,5.66,3.33,0.10,0.10,0.09,0.19,0.19,0.37,0.22,3,0
Chelsea,Cesar Azpilicueta,D M,26,2334,2,2,3,0.77,1.20,2.20,+0.20,2.20,+0.20,4.32,+1.32,11.69,9.65,0.08,0.08,0.17,0.25,0.25,0.45,0.37,0,0
Chelsea,Antonio Rudiger,D,12,1038,2,2,0,0.78,0.17,0.76,-1.24,0.76,-1.24,0.44,+0.44,2.22,2.19,0.07,0.07,0.04,0.10,0.10,0.19,0.19,3,0
Chelsea,Olivier Giroud,F,8,354,1,1,0,2.54,1.27,1.60,+0.60,1.60,+0.60,0.85,+0.85,3.21,0.87,0.41,0.41,0.22,0.62,0.62,0.82,0.22,0,0
Chelsea,Fikayo Tomori,D,15,1299,1,1,0,0.48,0.28,0.56,-0.44,0.56,-0.44,0.12,+0.12,5.06,4.99,0.04,0.04,0.01,0.05,0.05,0.35,0.35,3,0
Chelsea,Michy Batshuayi,F,16,194,1,1,1,6.96,1.39,2.94,+1.94,2.94,+1.94,0.20,-0.80,3.11,0.30,1.36,1.36,0.09,1.46,1.46,1.44,0.14,0,0
Chelsea,Mateo Kovacic,M,25,1687,1,1,3,0.96,1.33,0.88,-0.12,0.88,-0.12,1.66,-1.34,8.40,7.50,0.05,0.05,0.09,0.14,0.14,0.45,0.40,7,0
Chelsea,Callum Hudson-Odoi,F M,17,751,1,1,4,2.52,2.16,2.01,+1.01,2.01,+1.01,2.30,-1.70,5.49,2.48,0.24,0.24,0.28,0.52,0.52,0.66,0.30,1,0
Chelsea,Andreas Christensen,D,15,1260,0,0,0,0.43,0.21,0.48,+0.48,0.48,+0.48,0.43,+0.43,4.01,3.66,0.03,0.03,0.03,0.07,0.07,0.29,0.26,5,0
Chelsea,Ross Barkley,M,12,577,0,0,1,4.06,2.03,2.18,+2.18,2.18,+2.18,1.85,+0.85,7.29,4.55,0.34,0.34,0.29,0.63,0.63,1.14,0.71,0,0
Chelsea,Willy Caballero,GK,4,360,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0,0
Chelsea,Pedro,F M,8,569,0,0,0,2.85,2.37,1.76,+1.76,1.76,+1.76,0.90,+0.90,3.83,1.46,0.28,0.28,0.14,0.42,0.42,0.61,0.23,1,0
