Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Adam,Lallana,S,1,18,1,0,5.00,0.00,0.60,0.00
Liverpool,Joel,Matip,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Roberto,Firmino,F,1,90,0,0,4.00,0.00,0.31,0.00
Liverpool,Divock,Origi,F,1,61,0,0,1.48,0.00,0.01,0.00
Liverpool,Jordan,Henderson,M,1,72,0,0,0.00,0.00,0.00,0.00
Liverpool,Georginio,Wijnaldum,M,1,83,0,0,1.08,0.00,0.02,0.00
Liverpool,Virgil,van Dijk,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Sadio,Mane,F,1,90,0,0,0.00,3.00,0.00,0.21
Liverpool,Alex,Oxlade-Chamberlain,S,1,29,0,0,6.21,0.00,0.06,0.00
Liverpool,Alisson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Andrew,Robertson,D,1,90,0,1,0.00,2.00,0.00,0.62
Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,1.00,2.00,0.03,0.12
Liverpool,Fabinho,,M,1,90,0,0,0.00,2.00,0.00,0.04
Liverpool,Naby,Keita,S,1,7,0,0,0.00,0.00,0.00,0.00
Manchester City,David,Silva,M,1,81,1,0,2.22,2.22,0.55,0.60
Manchester City,Gabriel,Jesus,F,1,90,1,0,8.00,2.00,1.49,0.16
Manchester City,Ilkay,Gundogan,M,1,90,0,0,2.00,3.00,0.04,0.63
Manchester City,Kevin,De Bruyne,M,1,90,0,0,1.00,2.00,0.50,0.08
Manchester City,John,Stones,S,1,9,0,0,0.00,0.00,0.00,0.00
Manchester City,Fernandinho,,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Raheem,Sterling,F,1,90,0,1,4.00,3.00,1.23,1.13
Manchester City,Joao,Cancelo,D,1,90,0,0,2.00,4.00,0.11,0.88
Manchester City,Rodri,,D,1,90,0,0,0.00,1.00,0.00,0.03
Manchester City,Benjamin,Mendy,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Bernardo,Silva,F,1,90,0,1,2.00,3.00,0.10,0.46
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Phil,Foden,S,1,1,0,0,0.00,0.00,0.00,0.00
Leicester,Jamie,Vardy,F,1,90,1,0,2.00,1.00,0.12,0.02
Leicester,Youri,Tielemans,M,1,90,1,0,3.00,3.00,0.14,0.09
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wes,Morgan,S,1,10,0,0,0.00,0.00,0.00,0.00
Leicester,Demarai,Gray,S,1,22,0,0,0.00,4.09,0.00,0.03
Leicester,Ayoze,Perez,M,1,68,0,0,1.32,0.00,0.10,0.00
Leicester,Ben,Chilwell,D,1,90,0,0,1.00,0.00,0.02,0.00
Leicester,Jonny,Evans,D,1,90,0,0,1.00,0.00,0.02,0.00
Leicester,Dennis,Praet,S,1,16,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,D,1,90,0,0,0.00,5.00,0.00,0.22
Leicester,Caglar,Soyuncu,D,1,90,0,0,2.00,0.00,0.07,0.00
Leicester,Wilfred,Ndidi,M,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Harvey,Barnes,M,1,80,0,2,4.50,3.38,0.16,0.18
Leicester,James,Maddison,M,1,74,0,0,6.08,2.43,0.21,0.11
Chelsea,Marcos,Alonso,D,1,90,1,0,2.00,1.00,0.10,0.06
Chelsea,Ross,Barkley,M,1,42,0,0,0.00,0.00,0.00,0.00
Chelsea,Cesar,Azpilicueta,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Willian,,F,1,90,0,0,4.00,3.00,0.54,0.13
