Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Roberto,Firmino,F,1,90,1,0,2.00,0.00,0.45,0.00
Liverpool,Sadio,Mane,F,1,90,1,1,2.00,5.00,0.29,0.88
Liverpool,Joel,Matip,D,1,90,0,0,1.00,0.00,0.10,0.00
Liverpool,Divock,Origi,S,1,9,0,0,0.00,0.00,0.00,0.00
Liverpool,James,Milner,M,1,76,0,1,4.74,2.37,0.12,0.15
Liverpool,Adrian,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Jordan,Henderson,S,1,1,0,0,0.00,0.00,0.00,0.00
Liverpool,Georginio,Wijnaldum,M,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Virgil,van Dijk,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Alex,Oxlade-Chamberlain,M,1,90,0,0,2.00,1.00,0.06,0.04
Liverpool,Mohamed,Salah,F,1,81,0,0,3.33,1.11,0.41,0.04
Liverpool,Andrew,Robertson,D,1,90,0,0,1.00,1.00,0.08,0.03
Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,0.00,2.00,0.00,0.29
Liverpool,Fabinho,,S,1,14,0,0,0.00,0.00,0.00,0.00
Manchester City,Raheem,Sterling,M,1,90,1,0,6.00,2.00,0.88,0.17
Manchester City,Sergio,Aguero,F,1,68,1,0,3.97,1.32,0.69,0.05
Manchester City,Ilkay,Gundogan,M,1,90,0,0,2.00,3.00,0.11,0.09
Manchester City,Kevin,De Bruyne,M,1,90,0,2,4.00,9.00,0.27,1.41
Manchester City,Nicolas,Otamendi,D,1,90,0,0,2.00,1.00,0.06,0.04
Manchester City,David,Silva,S,1,10,0,0,0.00,0.00,0.00,0.00
Manchester City,Kyle,Walker,D,1,90,0,0,0.00,2.00,0.00,0.20
Manchester City,Riyad,Mahrez,S,1,8,0,0,0.00,0.00,0.00,0.00
Manchester City,Rodri,,M,1,80,0,0,1.13,2.25,0.02,0.12
Manchester City,Aymeric,Laporte,D,1,90,0,0,1.00,0.00,0.08,0.00
Manchester City,Oleksandr,Zinchenko,D,1,90,0,0,2.00,1.00,0.06,0.05
Manchester City,Bernardo,Silva,M,1,82,0,0,5.49,1.10,0.54,0.25
Manchester City,Gabriel,Jesus,S,1,22,0,0,16.36,0.00,0.50,0.00
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wilfred,Ndidi,M,1,90,1,0,1.00,0.00,0.26,0.00
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Christian,Fuchs,D,1,90,0,0,1.00,2.00,0.02,0.10
Leicester,Marc,Albrighton,S,1,9,0,0,0.00,10.00,0.00,0.09
Leicester,Jamie,Vardy,F,1,90,0,0,1.00,0.00,0.05,0.00
Leicester,Ayoze,Perez,M,1,81,0,0,2.22,0.00,0.05,0.00
Leicester,Jonny,Evans,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Dennis,Praet,S,1,16,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,D,1,90,0,0,1.00,0.00,0.01,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Youri,Tielemans,M,1,90,0,0,3.00,0.00,0.12,0.00
Leicester,Hamza,Choudhury,M,1,74,0,0,1.22,1.22,0.04,0.03
Leicester,James,Maddison,M,1,90,0,1,2.00,3.00,0.40,0.32
Chelsea,Mason,Mount,M,1,90,1,0,5.00,1.00,0.31,0.04
Chelsea,Andreas,Christensen,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Olivier,Giroud,F,1,63,0,0,1.43,4.29,0.04,0.69
Chelsea,Cesar,Azpilicueta,D,1,90,0,0,0.00,2.00,0.00,0.13
Chelsea,Pedro,,F,1,90,0,0,1.00,2.00,0.09,0.13
Chelsea,Willian,,S,1,18,0,0,5.00,0.00,0.04,0.00
Chelsea,Tammy,Abraham,S,1,27,0,0,6.67,3.33,0.16,0.02
Chelsea,N'Golo,Kante,M,1,90,0,0,1.00,1.00,0.52,0.04
Chelsea,Kurt,Zouma,D,1,90,0,0,2.00,0.00,0.04,0.00
Chelsea,Emerson,,D,1,90,0,0,0.00,1.00,0.00,0.04
Chelsea,Jorginho,,M,1,72,0,0,1.25,0.00,0.01,0.00
Chelsea,Mateo,Kovacic,S,1,18,0,0,0.00,0.00,0.00,0.00
Chelsea,Christian,Pulisic,F,1,72,0,0,0.00,0.00,0.00,0.00
Chelsea,Kepa,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Anthony,Martial,F,1,90,1,0,1.00,0.00,0.11,0.00
Manchester United,David,de Gea,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Juan,Mata,S,1,8,0,0,0.00,0.00,0.00,0.00
Manchester United,Marcus,Rashford,M,1,90,0,1,2.00,1.00,0.10,0.11
