Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Sadio,Mane,F,1,79,1,0,4.56,1.14,1.85,0.11
Liverpool,Mohamed,Salah,F,1,90,1,0,5.00,3.00,0.82,0.81
Liverpool,Roberto,Firmino,F,1,90,0,0,5.00,0.00,0.99,0.00
Liverpool,Divock,Origi,S,1,11,0,0,0.00,0.00,0.00,0.00
Liverpool,Adam,Lallana,S,1,1,0,0,0.00,0.00,0.00,0.00
Liverpool,James,Milner,M,1,90,0,0,0.00,1.00,0.00,0.03
Liverpool,Jordan,Henderson,M,1,90,0,0,1.00,4.00,0.03,0.41
Liverpool,Georginio,Wijnaldum,M,1,90,0,0,1.00,0.00,0.11,0.00
Liverpool,Virgil,van Dijk,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Joseph,Gomez,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Alisson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Andrew,Robertson,D,1,89,0,1,1.01,5.06,0.02,0.90
Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,2.00,2.00,0.07,0.71
Liverpool,Harvey,Elliott,S,1,1,0,0,0.00,0.00,0.00,0.00
Manchester City,Gabriel,Jesus,F,1,90,2,0,8.00,2.00,1.31,0.20
Manchester City,Ilkay,Gundogan,M,1,90,0,1,1.00,1.00,0.02,0.09
Manchester City,Kevin,De Bruyne,M,1,90,0,0,1.00,2.00,0.02,0.13
Manchester City,Fernandinho,,D,1,90,0,0,1.00,0.00,0.05,0.00
Manchester City,David,Silva,S,1,5,0,0,0.00,0.00,0.00,0.00
Manchester City,Raheem,Sterling,S,1,1,0,0,0.00,0.00,0.00,0.00
Manchester City,Riyad,Mahrez,M,1,90,0,1,4.00,3.00,0.34,0.74
Manchester City,Claudio,Bravo,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Joao,Cancelo,M,1,90,0,0,0.00,2.00,0.00,0.26
Manchester City,Rodri,,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Benjamin,Mendy,M,1,90,0,0,0.00,3.00,0.00,0.20
Manchester City,Phil,Foden,M,1,85,0,0,1.06,2.12,0.04,0.15
Manchester City,Eric,Garcia,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Ayoze,Perez,F,1,90,1,1,3.00,4.00,1.22,0.55
Leicester,Hamza,Choudhury,S,1,10,1,0,9.00,0.00,0.04,0.00
Leicester,James,Maddison,M,1,80,1,0,4.50,3.38,0.25,0.22
Leicester,Kelechi,Iheanacho,F,1,66,0,0,1.36,1.36,0.35,0.03
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wes,Morgan,S,1,3,0,0,0.00,0.00,0.00,0.00
Leicester,Christian,Fuchs,D,1,90,0,0,1.00,0.00,0.03,0.00
Leicester,Demarai,Gray,S,1,24,0,0,7.50,0.00,0.24,0.00
Leicester,Ben,Chilwell,M,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Jonny,Evans,D,1,87,0,0,2.07,0.00,0.17,0.00
Leicester,Ricardo,Pereira,M,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Wilfred,Ndidi,M,1,90,0,1,1.00,1.00,0.08,0.04
Leicester,Youri,Tielemans,M,1,90,0,0,1.00,2.00,0.03,0.24
Chelsea,Cesar,Azpilicueta,D,1,90,1,0,1.00,0.00,0.80,0.00
Chelsea,Willian,,M,1,90,0,0,0.00,1.00,0.00,0.05
Chelsea,Tammy,Abraham,F,1,90,0,0,2.00,1.00,0.21,0.10
Chelsea,N'Golo,Kante,M,1,90,0,0,1.00,4.00,0.07,0.20
Chelsea,Kurt,Zouma,D,1,90,0,0,0.00,1.00,0.00,0.12
Chelsea,Jorginho,,M,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Antonio,Rudiger,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Mateo,Kovacic,S,1,14,0,0,0.00,6.43,0.00,0.05
Chelsea,Christian,Pulisic,M,1,69,0,0,6.52,1.30,0.25,0.03
Chelsea,Kepa,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Callum,Hudson-Odoi,S,1,21,0,0,12.86,0.00,0.19,0.00
Chelsea,Mason,Mount,M,1,76,0,0,2.37,1.18,0.05,0.06
Chelsea,Reece,James,D,1,90,0,0,2.00,1.00,0.10,0.05
Manchester United,David,de Gea,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Anthony,Martial,F,1,90,0,0,0.00,2.00,0.00,0.08
Manchester United,Juan,Mata,S,1,8,0,0,0.00,11.25,0.00,0.12
Manchester United,Marcus,Rashford,M,1,90,0,0,3.00,0.00,0.19,0.00
Manchester United,Jesse,Lingard,M,1,59,0,0,1.53,1.53,0.03,0.02
Manchester United,Nemanja,Matic,M,1,82,0,0,0.00,1.10,0.00,0.09
Manchester United,Andreas,Pereira,S,1,31,0,0,2.90,2.90,0.09,0.05
Manchester United,Luke,Shaw,D,1,90,0,0,0.00,1.00,0.00,0.01
Manchester United,Harry,Maguire,D,1,90,0,0,1.00,0.00,0.26,0.00
Manchester United,Aaron,Wan-Bissaka,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Daniel,James,M,1,59,0,0,0.00,0.00,0.00,0.00
Manchester United,Victor,Lindelof,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Fred,,M,1,90,0,0,3.00,1.00,0.10,0.26
Manchester United,Mason,Greenwood,S,1,31,0,0,2.90,0.00,0.05,0.00
Wolverhampton Wanderers,Pedro,Neto,F,1,70,1,0,2.57,1.29,0.06,0.01
Wolverhampton Wanderers,Ryan,Bennett,D,1,58,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Adama,Traore,F,1,90,0,0,0.00,2.00,0.00,0.08
Wolverhampton Wanderers,Jonny,,M,1,58,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Joao,Moutinho,M,1,90,0,1,2.00,3.00,0.10,0.08
Wolverhampton Wanderers,Romain,Saiss,D,1,90,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Raul,Jimenez,F,1,90,0,0,4.00,0.00,0.16,0.00
Wolverhampton Wanderers,Rui,Patricio,GK,1,90,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Conor,Coady,D,1,90,0,0,0.00,1.00,0.00,0.35
Wolverhampton Wanderers,Matt,Doherty,M,1,90,0,0,2.00,0.00,0.71,0.00
Wolverhampton Wanderers,Ruben,Neves,S,1,32,0,0,8.44,0.00,0.06,0.00
Wolverhampton Wanderers,Diogo,Jota,S,1,20,0,0,4.50,4.50,0.05,0.07
Wolverhampton Wanderers,Ruben,Vinagre,S,1,32,0,0,2.81,2.81,0.07,0.36
Wolverhampton Wanderers,Leander,Dendoncker,M,1,90,0,0,0.00,2.00,0.00,0.14
Sheffield United,Muhamed,Besic,S,1,11,0,0,0.00,0.00,0.00,0.00
Sheffield United,Oliver,McBurnie,S,1,24,0,0,3.75,0.00,0.56,0.00
Sheffield United,Lys,Mousset,F,1,66,0,0,0.00,0.00,0.00,0.00
Sheffield United,Dean,Henderson,GK,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,John,Egan,D,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,Chris,Basham,D,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,Jack,O'Connell,D,1,90,0,0,0.00,1.00,0.00,0.56
Sheffield United,George,Baldock,M,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,Enda,Stevens,M,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,John,Lundstram,M,1,90,0,0,1.00,0.00,0.04,0.00
Sheffield United,John,Fleck,M,1,90,0,0,0.00,0.00,0.00,0.00
Sheffield United,Oliver,Norwood,M,1,79,0,0,0.00,1.14,0.00,0.03
Sheffield United,David,McGoldrick,F,1,67,0,0,1.34,0.00,0.03,0.00
Sheffield United,Billy,Sharp,S,1,23,0,0,0.00,0.00,0.00,0.00
Burnley,Chris,Wood,F,1,90,1,0,5.00,2.00,0.94,0.07
Burnley,Ashley,Westwood,M,1,90,0,1,1.00,4.00,0.09,0.60
Burnley,Jack,Cork,M,1,90,0,0,2.00,2.00,0.10,0.18
Burnley,Robbie,Brady,M,1,48,0,0,0.00,0.00,0.00,0.00
Burnley,Jay,Rodriguez,S,1,42,0,0,10.71,0.00,0.96,0.00
Burnley,Phil,Bardsley,D,1,90,0,0,1.00,1.00,0.02,0.06
Burnley,Ben,Mee,D,1,90,0,0,0.00,0.00,0.00,0.00
Burnley,Johann,Berg Gudmundsson,S,1,42,0,0,4.29,4.29,0.10,0.11
Burnley,James,Tarkowski,D,1,90,0,0,2.00,1.00,0.10,0.81
Burnley,Ashley,Barnes,F,1,48,0,0,1.88,0.00,0.02,0.00
Burnley,Nick,Pope,GK,1,90,0,0,0.00,0.00,0.00,0.00
Burnley,Charlie,Taylor,D,1,90,0,0,1.00,3.00,0.01,0.16
Burnley,Dwight,McNeil,M,1,90,0,0,1.00,1.00,0.02,0.18
Arsenal,Sokratis,,D,1,90,1,0,1.00,0.00,0.79,0.00
Arsenal,Nicolas,Pepe,M,1,63,1,0,2.86,5.71,0.42,0.39
Arsenal,Bernd,Leno,GK,1,90,0,0,0.00,0.00,0.00,0.00
Arsenal,Granit,Xhaka,M,1,90,0,0,0.00,0.00,0.00,0.00
Arsenal,Pierre-Emerick,Aubameyang,M,1,90,0,0,1.00,1.00,0.09,0.07
Arsenal,Sead,Kolasinac,D,1,70,0,0,0.00,0.00,0.00,0.00
Arsenal,Mesut,Ozil,M,1,90,0,0,0.00,1.00,0.00,0.11
Arsenal,Lucas,Torreira,M,1,90,0,0,1.00,0.00,0.11,0.00
Arsenal,David,Luiz,D,1,90,0,0,0.00,0.00,0.00,0.00
Arsenal,Ainsley,Maitland-Niles,D,1,90,0,0,0.00,0.00,0.00,0.00
Arsenal,Alexandre,Lacazette,F,1,83,0,0,3.25,2.17,0.25,0.15
Arsenal,Matteo,Guendouzi,S,1,7,0,0,0.00,0.00,0.00,0.00
Arsenal,Reiss,Nelson,S,1,27,0,0,3.33,0.00,0.11,0.00
Arsenal,Bukayo,Saka,S,1,20,0,0,4.50,0.00,0.11,0.00
Everton,Richarlison,,F,1,90,1,0,1.00,0.00,0.63,0.00
Everton,Theo,Walcott,S,1,29,0,0,3.10,0.00,0.02,0.00
Everton,Seamus,Coleman,D,1,61,0,0,1.48,0.00,0.07,0.00
Everton,Gylfi,Sigurdsson,M,1,68,0,0,0.00,3.97,0.00,0.11
Everton,Jordan,Pickford,GK,1,90,0,0,0.00,0.00,0.00,0.00
Everton,Fabian,Delph,M,1,90,0,0,0.00,0.00,0.00,0.00
Everton,Mason,Holgate,D,1,90,0,0,0.00,0.00,0.00,0.00
Everton,Tom,Davies,M,1,90,0,0,1.00,0.00,0.02,0.00
Everton,Moise,Kean,S,1,22,0,0,4.09,0.00,0.07,0.00
Everton,Lucas,Digne,M,1,90,0,0,0.00,1.00,0.00,0.02
Everton,Djibril,Sidibe,M,1,90,0,0,0.00,1.00,0.00,0.07
Everton,Dominic,Calvert-Lewin,F,1,90,0,0,1.00,0.00,0.02,0.00
Everton,Yerry,Mina,D,1,90,0,0,1.00,0.00,0.03,0.00
Crystal Palace,Connor,Wickham,S,1,29,1,0,3.10,3.10,0.63,0.02
Crystal Palace,Max,Meyer,M,1,61,0,0,1.48,0.00,0.07,0.00
Crystal Palace,Mamadou,Sakho,D,1,47,0,0,0.00,0.00,0.00,0.00
Crystal Palace,Wilfried,Zaha,M,1,90,0,1,3.00,1.00,0.14,0.63
Crystal Palace,Martin,Kelly,D,1,84,0,0,0.00,1.07,0.00,0.06
Crystal Palace,James,Tomkins,D,1,90,0,0,0.00,0.00,0.00,0.00
Crystal Palace,Cheikhou,Kouyate,S,1,43,0,0,0.00,0.00,0.00,0.00
Crystal Palace,James,McCarthy,M,1,90,0,0,1.00,2.00,0.02,0.12
Crystal Palace,James,McArthur,M,1,90,0,0,2.00,0.00,0.43,0.00
Crystal Palace,Jordan,Ayew,F,1,90,0,0,2.00,1.00,0.11,0.02
Crystal Palace,Vicente,Guaita,GK,1,90,0,0,0.00,0.00,0.00,0.00
Crystal Palace,Luka,Milivojevic,M,1,90,0,0,1.00,0.00,0.02,0.00
Crystal Palace,Jairo,Riedewald,D,1,90,0,0,1.00,1.00,0.02,0.40
Crystal Palace,Brandon,Pierrick,S,1,6,0,0,0.00,30.00,0.00,0.10
Southampton,Danny,Ings,F,1,79,1,0,2.28,0.00,0.52,0.00
Southampton,Pierre-Emile,Hjbjerg,M,1,90,0,0,0.00,1.00,0.00,0.02
Southampton,Alex,McCarthy,GK,1,90,0,0,0.00,0.00,0.00,0.00
Southampton,Nathan,Redmond,F,1,90,0,0,3.00,2.00,0.32,0.17
Southampton,Ryan,Bertrand,D,1,90,0,0,1.00,1.00,0.02,0.03
Southampton,Shane,Long,S,1,29,0,0,3.10,0.00,0.08,0.00
Southampton,Oriol,Romeu,S,1,1,0,0,0.00,0.00,0.00,0.00
Southampton,James,Ward-Prowse,M,1,90,0,0,0.00,2.00,0.00,0.18
Southampton,Cedric,Soares,D,1,90,0,0,0.00,1.00,0.00,0.08
Southampton,Jack,Stephens,D,1,90,0,1,0.00,1.00,0.00,0.44
Southampton,Jan,Bednarek,D,1,90,0,0,0.00,0.00,0.00,0.00
Southampton,Michael,Obafemi,S,1,11,0,0,0.00,0.00,0.00,0.00
Southampton,Stuart,Armstrong,M,1,90,0,0,3.00,2.00,0.20,0.24
Southampton,Moussa,Djenepo,M,1,61,0,0,2.95,0.00,0.14,0.00
Newcastle United,Yoshinori,Muto,M,1,90,0,0,0.00,1.00,0.00,0.01
Newcastle United,Fabian,Schar,D,1,90,0,0,1.00,0.00,0.02,0.00
Newcastle United,Joelinton,,F,1,90,0,0,2.00,0.00,0.64,0.00
