id,fixture_id,stats.minutes,stats.goals_scored,stats.assists,stats.clean_sheets,stats.goals_conceded,stats.own_goals,stats.penalties_saved,stats.penalties_missed,stats.yellow_cards,stats.red_cards,stats.saves,stats.bonus,stats.bps,stats.influence,stats.creativity,stats.threat,stats.ict_index,stats.total_points,stats.in_dreamteam,gw
14,182,90,0,0,0,1,0,0,0,0,0,3,0,16,31.0,0.0,0.0,3.1,3,False,19
27,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
47,189,90,0,0,0,2,0,0,0,0,0,3,0,14,27.6,0.0,0.0,2.8,2,False,19
48,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
72,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
73,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
74,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
93,185,90,0,0,0,1,0,0,0,0,0,4,0,18,33.8,0.0,0.0,3.4,3,False,19
94,181,90,0,0,1,0,0,0,0,0,0,5,3,30,38.2,0.0,0.0,3.8,10,True,19
95,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
111,183,90,0,0,0,2,0,0,0,0,0,1,0,16,14.0,0.0,0.0,1.4,1,False,19
112,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
131,184,90,0,0,0,1,0,0,0,0,0,1,0,9,6.2,0.0,0.0,0.6,2,False,19
132,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
148,185,90,0,0,1,0,0,0,0,0,0,0,0,19,3.4,0.0,0.0,0.3,6,False,19
149,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
168,186,90,0,0,0,4,0,0,0,0,0,2,0,15,16.8,0.0,0.0,1.7,0,False,19
169,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
170,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
189,186,90,0,0,1,0,0,0,0,0,0,0,0,20,3.6,0.0,0.0,0.4,6,False,19
190,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
212,190,11,0,0,0,3,0,0,0,0,1,0,0,-7,0.0,0.0,0.0,0.0,-3,False,19
213,190,76,0,0,0,3,0,0,0,0,0,5,0,20,25.8,0.0,0.0,2.6,2,False,19
235,187,90,0,0,0,1,0,0,0,0,0,1,0,8,11.4,0.0,0.0,1.1,2,False,19
236,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
237,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
262,187,90,0,0,0,4,0,0,0,0,0,6,0,17,29.6,0.0,0.0,3.0,2,False,19
263,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
264,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
280,181,90,0,0,0,1,0,0,0,0,0,1,0,11,8.6,0.0,0.0,0.9,2,False,19
281,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
299,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
317,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
318,183,90,0,0,1,0,0,0,0,0,0,3,0,26,29.2,0.0,0.0,2.9,7,False,19
319,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
340,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
341,189,90,0,0,0,1,0,0,0,0,0,4,0,15,22.0,0.0,0.0,2.2,3,False,19
366,188,90,0,0,0,1,0,0,0,0,0,3,0,15,26.6,0.0,0.0,2.7,3,False,19
367,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
388,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
411,190,90,0,0,0,2,0,1,0,0,0,1,0,24,29.6,0.0,0.0,3.0,6,False,19
412,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
413,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
427,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
429,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
436,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
449,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
450,184,90,0,0,0,2,0,0,0,0,0,2,0,14,18.6,0.0,0.0,1.9,1,False,19
471,188,90,0,0,0,1,0,0,0,0,0,1,0,10,9.2,0.0,0.0,0.9,2,False,19
474,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
479,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
494,182,90,0,0,0,1,0,0,0,0,0,1,0,10,7.0,0.0,0.0,0.7,2,False,19
495,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
513,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
521,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
526,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
530,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
531,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
543,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
548,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
551,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
553,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
555,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
556,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
558,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
562,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
573,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
582,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
1,182,13,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0.2,0.0,0.3,1,False,19
2,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
3,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
4,182,90,0,0,0,1,0,0,0,1,0,0,0,9,13.0,3.2,0.0,1.6,1,False,19
5,182,76,0,0,0,1,0,0,0,0,0,0,0,16,19.0,0.7,0.0,2.0,2,False,19
6,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
7,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
8,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
9,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
10,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
22,181,90,0,0,1,0,0,0,0,0,0,0,0,22,12.2,17.1,20.0,4.9,6,False,19
23,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
24,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
25,181,90,0,0,1,0,0,0,0,0,0,0,0,25,36.6,0.3,12.0,4.9,6,False,19
37,189,90,0,0,0,2,0,0,0,0,0,0,0,12,22.8,0.0,2.0,2.5,1,False,19
38,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
39,189,75,0,0,0,2,0,0,0,0,0,0,0,19,27.0,15.6,21.0,6.4,1,False,19
40,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
41,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
42,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
43,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
58,182,90,0,0,0,1,0,0,0,0,0,0,0,12,23.2,0.8,2.0,2.6,2,False,19
59,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
60,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
61,182,90,0,0,0,1,0,0,0,1,0,0,0,10,29.2,0.7,4.0,3.4,1,False,19
62,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
63,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
64,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
65,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
66,182,90,0,0,0,1,0,0,0,0,0,0,0,14,13.2,12.0,18.0,4.3,2,False,19
83,185,90,0,0,0,1,0,0,0,0,0,0,0,18,35.6,0.3,2.0,3.8,2,False,19
84,185,90,0,0,0,1,0,0,0,0,0,0,0,13,33.2,0.2,0.0,3.3,2,False,19
85,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
86,185,90,0,0,0,1,0,0,0,0,0,0,0,7,18.8,0.5,0.0,1.9,2,False,19
87,185,90,0,0,0,1,0,0,0,0,0,0,0,13,18.4,10.3,0.0,2.9,2,False,19
88,185,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,1,False,19
89,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
103,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
104,183,90,0,0,0,2,0,0,0,0,0,0,0,17,11.4,1.9,2.0,1.5,1,False,19
105,183,90,0,0,0,2,0,0,0,0,0,0,0,8,8.4,5.3,19.0,3.3,1,False,19
106,182,90,0,0,0,1,0,0,0,0,0,0,0,11,18.0,18.4,5.0,4.1,2,False,19
107,183,90,0,0,0,2,0,0,0,0,0,0,0,11,9.2,29.5,6.0,4.5,1,False,19
108,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
109,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
122,187,90,0,1,0,1,0,0,0,0,0,0,1,30,35.6,22.9,0.0,5.9,6,False,19
123,184,64,0,0,0,1,0,0,0,0,0,0,0,17,14.4,17.4,10.0,4.2,2,False,19
124,184,90,0,0,0,1,0,0,0,0,0,0,0,14,11.0,0.3,4.0,1.5,2,False,19
125,184,90,0,0,0,1,0,0,0,0,0,0,0,17,22.4,0.6,0.0,2.3,2,False,19
126,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
127,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
128,184,90,0,0,0,1,0,0,0,0,0,0,0,14,19.0,1.0,0.0,2.0,2,False,19
141,185,90,0,0,1,0,0,0,0,0,0,0,0,23,9.2,27.5,20.0,5.7,6,False,19
142,185,90,0,0,1,0,0,0,0,0,0,0,1,26,12.0,10.2,26.0,4.8,7,False,19
143,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
144,185,90,0,0,1,0,0,0,0,0,0,0,0,25,10.4,1.5,9.0,2.1,6,False,19
145,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
159,186,90,0,0,0,4,0,0,0,0,0,0,0,21,28.6,1.6,4.0,3.4,0,False,19
160,187,90,0,0,0,1,0,0,0,0,0,0,0,20,27.2,3.2,25.0,5.5,2,False,19
161,186,90,0,0,0,4,0,0,0,0,0,0,0,13,16.6,2.8,2.0,2.1,0,False,19
162,186,90,0,0,0,4,0,0,0,0,0,0,0,13,15.2,0.4,0.0,1.6,0,False,19
163,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
164,186,90,0,0,0,4,0,0,0,0,0,0,0,19,21.2,10.7,0.0,3.2,0,False,19
165,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,19
