id,fixture_id,stats.minutes,stats.goals_scored,stats.assists,stats.clean_sheets,stats.goals_conceded,stats.own_goals,stats.penalties_saved,stats.penalties_missed,stats.yellow_cards,stats.red_cards,stats.saves,stats.bonus,stats.bps,stats.influence,stats.creativity,stats.threat,stats.ict_index,stats.total_points,stats.in_dreamteam,gw
14,137,90,0,0,0,2,0,0,0,0,0,6,0,20,48.8,0.0,0.0,4.9,3,False,14
27,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
47,134,90,0,0,0,2,0,0,0,0,0,5,0,19,44.8,0.0,0.0,4.5,2,False,14
48,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
72,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
73,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
74,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
93,131,90,0,0,0,2,0,0,0,0,0,1,0,11,5.8,0.0,0.0,0.6,1,False,14
94,135,90,0,0,0,2,1,0,0,0,0,5,0,15,38.2,0.0,0.0,3.8,0,False,14
95,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
111,132,90,0,0,0,1,0,0,0,0,0,3,0,13,27.4,0.0,0.0,2.7,3,False,14
112,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
131,131,90,0,0,1,0,0,0,0,0,0,3,1,28,23.8,0.0,0.0,2.4,8,False,14
132,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
148,133,90,0,0,0,2,0,0,0,0,0,4,0,20,35.2,0.0,0.0,3.5,2,False,14
149,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
168,133,90,0,0,0,1,0,0,0,0,0,2,0,13,20.0,0.0,0.0,2.0,2,False,14
169,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
170,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
189,134,75,0,0,0,1,0,0,0,0,1,2,0,7,12.2,0.0,0.0,1.2,-1,False,14
190,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
212,136,90,0,0,0,2,0,0,0,0,0,1,0,11,9.2,0.0,0.0,0.9,1,False,14
213,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
235,135,90,0,0,0,2,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,1,False,14
236,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
237,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
262,136,90,0,0,0,2,0,0,0,0,0,7,1,24,50.8,0.0,0.0,5.1,4,False,14
263,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
264,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,14
