id,fixture_id,stats.minutes,stats.goals_scored,stats.assists,stats.clean_sheets,stats.goals_conceded,stats.own_goals,stats.penalties_saved,stats.penalties_missed,stats.yellow_cards,stats.red_cards,stats.saves,stats.bonus,stats.bps,stats.influence,stats.creativity,stats.threat,stats.ict_index,stats.total_points,stats.in_dreamteam,gw
14,88,90,0,0,0,1,0,0,0,0,0,1,0,14,9.2,0.0,0.0,0.9,2,False,9
27,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
47,81,90,0,0,0,2,0,0,0,0,0,6,0,23,45.0,0.0,0.0,4.5,3,False,9
48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
72,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
73,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
74,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
93,86,90,0,0,0,2,0,0,0,0,0,1,0,8,6.0,0.0,0.0,0.6,1,False,9
94,81,90,0,0,0,1,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,3,False,9
95,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
111,83,90,0,0,1,0,0,0,0,0,0,0,0,20,2.8,0.0,0.0,0.3,6,False,9
112,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
131,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
132,84,90,0,0,0,2,0,0,0,0,0,9,0,27,55.2,0.0,0.0,5.5,4,False,9
148,85,90,0,0,1,0,0,0,0,0,0,4,1,28,31.4,0.0,0.0,3.1,8,True,9
149,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
168,86,90,0,0,0,1,0,0,0,0,0,3,0,16,27.4,0.0,0.0,2.7,3,False,9
169,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
170,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
189,87,90,0,0,0,1,0,0,0,0,0,1,0,15,9.0,0.0,0.0,0.9,2,False,9
190,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
212,84,90,0,0,1,0,0,0,0,0,0,2,0,23,19.6,0.0,0.0,2.0,6,False,9
213,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
235,87,90,0,0,0,1,0,0,0,0,0,3,0,16,21.2,0.0,0.0,2.1,3,False,9
236,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
262,83,90,0,0,0,1,0,0,0,0,0,6,0,21,50.4,0.0,0.0,5.0,4,False,9
263,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
264,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
280,82,90,0,0,1,0,0,0,0,0,0,2,0,23,21.4,0.0,0.0,2.1,6,False,9
281,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
299,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,9
