,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Georginio,Wijnaldum,M,1,90,1,0,4.0,0.0,0.1,0.0,Georginio Wijnaldum,7
1,Liverpool,Joel,Matip,D,1,90,0,0,0.0,0.0,0.0,0.0,Joel Matip,7
2,Liverpool,Roberto,Firmino,F,1,88,0,0,0.0,1.02,0.0,0.61,Roberto Firmino,7
3,Liverpool,Divock,Origi,S,1,25,0,0,3.6,3.6,0.09,0.02,Divock Origi,7
4,Liverpool,James,Milner,S,1,2,0,0,0.0,0.0,0.0,0.0,James Milner,7
5,Liverpool,Adrian,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Adrian,7
6,Liverpool,Jordan,Henderson,M,1,65,0,0,0.0,0.0,0.0,0.0,Jordan Henderson,7
7,Liverpool,Virgil,van Dijk,D,1,90,0,0,0.0,1.0,0.0,0.29,Virgil van Dijk,7
8,Liverpool,Sadio,Mane,F,1,90,0,0,4.0,0.0,0.97,0.0,Sadio Mane,7
9,Liverpool,Alex,Oxlade-Chamberlain,S,1,1,0,0,0.0,0.0,0.0,0.0,Alex Oxlade-Chamberlain,7
10,Liverpool,Mohamed,Salah,F,1,90,0,0,4.0,1.0,0.74,0.0,Mohamed Salah,7
11,Liverpool,Andrew,Robertson,D,1,90,0,0,1.0,1.0,0.01,0.09,Andrew Robertson,7
12,Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,1.0,0.0,0.04,0.0,Trent Alexander-Arnold,7
13,Liverpool,Fabinho,,M,1,90,0,0,1.0,1.0,0.02,0.16,Fabinho,7
14,Manchester City,Raheem,Sterling,F,1,90,1,0,4.0,4.0,0.74,0.36,Raheem Sterling,7
15,Manchester City,Riyad,Mahrez,F,1,90,1,0,5.0,5.0,0.38,1.44,Riyad Mahrez,7
16,Manchester City,Gabriel,Jesus,F,1,72,1,0,5.0,0.0,0.8,0.0,Gabriel Jesus,7
17,Manchester City,Ilkay,Gundogan,M,1,90,0,0,3.0,0.0,0.95,0.0,Ilkay Gundogan,7
18,Manchester City,Kevin,De Bruyne,M,1,86,0,1,2.09,2.09,0.13,0.7,Kevin De Bruyne,7
19,Manchester City,Nicolas,Otamendi,D,1,90,0,0,0.0,1.0,0.0,0.01,Nicolas Otamendi,7
20,Manchester City,Fernandinho,,D,1,90,0,0,0.0,1.0,0.0,0.04,Fernandinho,7
21,Manchester City,David,Silva,S,1,1,0,0,0.0,0.0,0.0,0.0,David Silva,7
22,Manchester City,Sergio,Aguero,S,1,18,0,0,10.0,0.0,0.11,0.0,Sergio Aguero,7
23,Manchester City,Kyle,Walker,D,1,90,0,0,0.0,1.0,0.0,0.11,Kyle Walker,7
24,Manchester City,Rodri,,M,1,90,0,0,0.0,2.0,0.0,0.09,Rodri,7
25,Manchester City,Oleksandr,Zinchenko,D,1,90,0,0,0.0,1.0,0.0,0.09,Oleksandr Zinchenko,7
26,Manchester City,Bernardo,Silva,S,1,4,0,0,0.0,0.0,0.0,0.0,Bernardo Silva,7
27,Manchester City,Ederson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Ederson,7
28,Leicester,Jamie,Vardy,F,1,90,2,0,4.0,1.0,0.81,0.06,Jamie Vardy,7
29,Leicester,Ricardo,Pereira,D,1,90,1,0,1.0,1.0,0.04,0.06,Ricardo Pereira,7
30,Leicester,Wilfred,Ndidi,M,1,90,1,0,1.0,1.0,0.13,0.04,Wilfred Ndidi,7
31,Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.0,0.0,0.0,0.0,Kasper Schmeichel,7
32,Leicester,Marc,Albrighton,S,1,29,0,1,0.0,6.21,0.0,0.63,Marc Albrighton,7
33,Leicester,Demarai,Gray,S,1,3,0,0,0.0,0.0,0.0,0.0,Demarai Gray,7
34,Leicester,Ayoze,Perez,M,1,87,0,0,1.03,1.03,0.55,0.02,Ayoze Perez,7
35,Leicester,Ben,Chilwell,D,1,90,0,0,0.0,1.0,0.0,0.06,Ben Chilwell,7
36,Leicester,Jonny,Evans,D,1,90,0,1,0.0,1.0,0.0,0.13,Jonny Evans,7
37,Leicester,Dennis,Praet,M,1,82,0,0,1.1,0.0,0.07,0.0,Dennis Praet,7
38,Leicester,Caglar,Soyuncu,D,1,90,0,0,0.0,0.0,0.0,0.0,Caglar Soyuncu,7
39,Leicester,Youri,Tielemans,M,1,90,0,0,4.0,1.0,0.18,0.11,Youri Tielemans,7
40,Leicester,Hamza,Choudhury,S,1,8,0,0,0.0,0.0,0.0,0.0,Hamza Choudhury,7
41,Leicester,Harvey,Barnes,M,1,61,0,1,1.48,2.95,0.06,0.61,Harvey Barnes,7
42,Chelsea,Willian,,F,1,90,1,0,6.0,1.0,0.29,0.02,Willian,7
43,Chelsea,Jorginho,,M,1,90,1,0,2.0,3.0,0.79,0.46,Jorginho,7
