,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Roberto,Firmino,F,1,90,1,0,4.0,0.0,0.97,0.0,Roberto Firmino,13
1,Liverpool,Sadio,Mane,F,1,90,1,0,3.0,2.0,0.35,0.11,Sadio Mane,13
2,Liverpool,Divock,Origi,S,1,24,0,0,0.0,0.0,0.0,0.0,Divock Origi,13
3,Liverpool,James,Milner,S,1,9,0,0,0.0,0.0,0.0,0.0,James Milner,13
4,Liverpool,Dejan,Lovren,D,1,90,0,0,0.0,0.0,0.0,0.0,Dejan Lovren,13
5,Liverpool,Jordan,Henderson,M,1,81,0,0,0.0,1.11,0.0,0.12,Jordan Henderson,13
6,Liverpool,Georginio,Wijnaldum,M,1,90,0,0,1.0,1.0,0.09,0.04,Georginio Wijnaldum,13
7,Liverpool,Virgil,van Dijk,D,1,90,0,0,3.0,0.0,0.25,0.0,Virgil van Dijk,13
8,Liverpool,Alex,Oxlade-Chamberlain,F,1,66,0,0,1.36,0.0,0.04,0.0,Alex Oxlade-Chamberlain,13
9,Liverpool,Joseph,Gomez,S,1,1,0,0,0.0,0.0,0.0,0.0,Joseph Gomez,13
10,Liverpool,Alisson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Alisson,13
11,Liverpool,Andrew,Robertson,D,1,90,0,1,0.0,2.0,0.0,0.42,Andrew Robertson,13
12,Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,0.0,4.0,0.0,0.3,Trent Alexander-Arnold,13
13,Liverpool,Fabinho,,M,1,90,0,0,0.0,0.0,0.0,0.0,Fabinho,13
14,Manchester City,Kevin,De Bruyne,M,1,90,1,0,3.0,3.0,0.24,0.13,Kevin De Bruyne,13
15,Manchester City,Riyad,Mahrez,F,1,90,1,0,5.0,1.0,0.36,0.03,Riyad Mahrez,13
16,Manchester City,Ilkay,Gundogan,S,1,36,0,0,0.0,2.5,0.0,0.06,Ilkay Gundogan,13
17,Manchester City,John,Stones,D,1,90,0,0,1.0,0.0,0.01,0.0,John Stones,13
18,Manchester City,Fernandinho,,D,1,90,0,0,1.0,0.0,0.1,0.0,Fernandinho,13
19,Manchester City,David,Silva,M,1,69,0,0,0.0,1.3,0.0,0.06,David Silva,13
20,Manchester City,Raheem,Sterling,F,1,90,0,0,0.0,0.0,0.0,0.0,Raheem Sterling,13
21,Manchester City,Sergio,Aguero,F,1,79,0,0,2.28,2.28,0.41,0.17,Sergio Aguero,13
22,Manchester City,Joao,Cancelo,D,1,90,0,0,1.0,0.0,0.04,0.0,Joao Cancelo,13
23,Manchester City,Rodri,,M,1,54,0,1,0.0,1.67,0.0,0.11,Rodri,13
24,Manchester City,Benjamin,Mendy,D,1,90,0,0,0.0,0.0,0.0,0.0,Benjamin Mendy,13
25,Manchester City,Gabriel,Jesus,S,1,11,0,0,0.0,0.0,0.0,0.0,Gabriel Jesus,13
26,Manchester City,Ederson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Ederson,13
27,Manchester City,Phil,Foden,S,1,21,0,0,8.57,0.0,0.08,0.0,Phil Foden,13
28,Leicester,Jamie,Vardy,F,1,90,1,1,6.0,1.0,1.77,0.67,Jamie Vardy,13
29,Leicester,Ayoze,Perez,M,1,71,1,0,5.07,2.54,1.14,0.08,Ayoze Perez,13
