,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Georginio,Wijnaldum,M,1,90,1,0,1.0,1.0,0.11,0.02,Georginio Wijnaldum,27
1,Liverpool,Sadio,Mane,F,1,90,1,0,3.0,0.0,0.92,0.0,Sadio Mane,27
2,Liverpool,Mohamed,Salah,F,1,90,1,0,5.0,1.0,0.25,0.04,Mohamed Salah,27
3,Liverpool,Joel,Matip,S,1,1,0,0,0.0,0.0,0.0,0.0,Joel Matip,27
4,Liverpool,Roberto,Firmino,F,1,90,0,0,5.0,1.0,0.92,0.05,Roberto Firmino,27
5,Liverpool,Virgil,van Dijk,D,1,90,0,0,3.0,0.0,0.17,0.0,Virgil van Dijk,27
6,Liverpool,Alex,Oxlade-Chamberlain,S,1,32,0,0,2.81,5.63,0.02,0.03,Alex Oxlade-Chamberlain,27
7,Liverpool,Joseph,Gomez,D,1,90,0,0,1.0,0.0,0.02,0.0,Joseph Gomez,27
8,Liverpool,Alisson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Alisson,27
9,Liverpool,Andrew,Robertson,D,1,90,0,1,1.0,6.0,0.04,0.32,Andrew Robertson,27
10,Liverpool,Trent,Alexander-Arnold,D,1,90,0,2,4.0,6.0,0.14,1.16,Trent Alexander-Arnold,27
11,Liverpool,Fabinho,,M,1,90,0,0,1.0,2.0,0.02,0.13,Fabinho,27
12,Liverpool,Naby,Keita,M,1,58,0,0,0.0,3.1,0.0,0.08,Naby Keita,27
13,Manchester City,Gabriel,Jesus,S,1,11,1,0,16.36,0.0,0.49,0.0,Gabriel Jesus,27
14,Manchester City,Ilkay,Gundogan,M,1,90,0,0,2.0,1.0,0.38,0.06,Ilkay Gundogan,27
15,Manchester City,Kevin,De Bruyne,M,1,90,0,0,3.0,2.0,0.17,0.05,Kevin De Bruyne,27
16,Manchester City,Nicolas,Otamendi,S,1,30,0,0,0.0,0.0,0.0,0.0,Nicolas Otamendi,27
17,Manchester City,Fernandinho,,D,1,90,0,0,1.0,0.0,0.08,0.0,Fernandinho,27
18,Manchester City,Sergio,Aguero,F,1,79,0,0,2.28,1.14,0.89,0.35,Sergio Aguero,27
19,Manchester City,Kyle,Walker,D,1,90,0,0,0.0,0.0,0.0,0.0,Kyle Walker,27
20,Manchester City,Riyad,Mahrez,F,1,90,0,1,3.0,5.0,0.13,0.71,Riyad Mahrez,27
21,Manchester City,Rodri,,M,1,90,0,0,1.0,4.0,0.01,0.2,Rodri,27
