,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Divock,Origi,F,1,76,2,0,3.55,0.0,1.18,0.0,Divock Origi,15
1,Liverpool,Georginio,Wijnaldum,M,1,90,1,0,2.0,1.0,0.15,0.06,Georginio Wijnaldum,15
2,Liverpool,Sadio,Mane,M,1,90,1,2,3.0,2.0,0.6,1.18,Sadio Mane,15
3,Liverpool,Xherdan,Shaqiri,M,1,90,1,0,2.0,1.0,0.47,0.04,Xherdan Shaqiri,15
4,Liverpool,Roberto,Firmino,S,1,14,0,1,0.0,6.43,0.0,0.11,Roberto Firmino,15
5,Liverpool,Adam,Lallana,M,1,75,0,0,0.0,0.0,0.0,0.0,Adam Lallana,15
6,Liverpool,James,Milner,M,1,90,0,0,1.0,0.0,0.02,0.0,James Milner,15
7,Liverpool,Adrian,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Adrian,15
8,Liverpool,Dejan,Lovren,D,1,90,0,1,0.0,1.0,0.0,0.3,Dejan Lovren,15
9,Liverpool,Jordan,Henderson,S,1,15,0,0,0.0,12.0,0.0,0.45,Jordan Henderson,15
10,Liverpool,Virgil,van Dijk,D,1,90,0,0,0.0,0.0,0.0,0.0,Virgil van Dijk,15
11,Liverpool,Joseph,Gomez,S,1,4,0,0,0.0,0.0,0.0,0.0,Joseph Gomez,15
12,Liverpool,Andrew,Robertson,D,1,90,0,0,0.0,2.0,0.0,0.15,Andrew Robertson,15
13,Liverpool,Trent,Alexander-Arnold,D,1,86,0,1,0.0,1.05,0.0,0.11,Trent Alexander-Arnold,15
14,Manchester City,Gabriel,Jesus,F,1,90,2,0,3.0,0.0,0.81,0.0,Gabriel Jesus,15
15,Manchester City,Riyad,Mahrez,S,1,16,1,0,5.63,5.63,0.09,0.04,Riyad Mahrez,15
16,Manchester City,Rodri,,M,1,90,1,0,1.0,0.0,0.03,0.0,Rodri,15
17,Manchester City,Kevin,De Bruyne,M,1,82,0,0,3.29,3.29,0.14,0.73,Kevin De Bruyne,15
18,Manchester City,Nicolas,Otamendi,D,1,90,0,0,0.0,0.0,0.0,0.0,Nicolas Otamendi,15
19,Manchester City,Fernandinho,,D,1,87,0,0,0.0,0.0,0.0,0.0,Fernandinho,15
20,Manchester City,David,Silva,M,1,90,0,1,1.0,4.0,0.06,0.21,David Silva,15
21,Manchester City,Raheem,Sterling,F,1,74,0,0,3.65,0.0,0.81,0.0,Raheem Sterling,15
22,Manchester City,Kyle,Walker,D,1,90,0,0,1.0,0.0,0.02,0.0,Kyle Walker,15
23,Manchester City,Angelino,,D,1,90,0,0,2.0,3.0,0.06,0.3,Angelino,15
24,Manchester City,Bernardo,Silva,F,1,90,0,2,2.0,3.0,0.55,0.7,Bernardo Silva,15
25,Manchester City,Ederson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Ederson,15
26,Manchester City,Phil,Foden,S,1,8,0,0,0.0,0.0,0.0,0.0,Phil Foden,15
27,Manchester City,Eric,Garcia,S,1,3,0,0,0.0,0.0,0.0,0.0,Eric Garcia,15
28,Leicester,Jamie,Vardy,F,1,90,1,0,2.0,0.0,0.89,0.0,Jamie Vardy,15
29,Leicester,James,Maddison,M,1,90,1,0,1.0,3.0,0.41,0.16,James Maddison,15
30,Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.0,0.0,0.0,0.0,Kasper Schmeichel,15
