,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Virgil,van Dijk,D,1,90,1,0,1.0,0.0,0.06,0.0,Virgil van Dijk,23
1,Liverpool,Mohamed,Salah,F,1,90,1,0,4.0,3.0,0.8,0.49,Mohamed Salah,23
2,Liverpool,Roberto,Firmino,F,1,85,0,0,3.18,3.18,0.33,0.26,Roberto Firmino,23
3,Liverpool,Divock,Origi,S,1,5,0,0,0.0,0.0,0.0,0.0,Divock Origi,23
4,Liverpool,Adam,Lallana,S,1,22,0,0,0.0,0.0,0.0,0.0,Adam Lallana,23
5,Liverpool,Jordan,Henderson,M,1,90,0,0,2.0,1.0,0.11,0.09,Jordan Henderson,23
6,Liverpool,Georginio,Wijnaldum,M,1,90,0,0,0.0,1.0,0.0,0.15,Georginio Wijnaldum,23
7,Liverpool,Sadio,Mane,F,1,85,0,0,4.24,2.12,0.63,0.21,Sadio Mane,23
8,Liverpool,Alex,Oxlade-Chamberlain,M,1,68,0,0,2.65,0.0,0.07,0.0,Alex Oxlade-Chamberlain,23
9,Liverpool,Joseph,Gomez,D,1,90,0,0,0.0,0.0,0.0,0.0,Joseph Gomez,23
10,Liverpool,Alisson,,GK,1,90,0,1,0.0,1.0,0.0,0.26,Alisson,23
11,Liverpool,Andrew,Robertson,D,1,90,0,0,0.0,1.0,0.0,0.4,Andrew Robertson,23
12,Liverpool,Trent,Alexander-Arnold,D,1,90,0,1,0.0,2.0,0.0,0.1,Trent Alexander-Arnold,23
13,Liverpool,Fabinho,,S,1,5,0,0,0.0,0.0,0.0,0.0,Fabinho,23
14,Manchester City,Sergio,Aguero,F,1,90,2,0,6.0,0.0,1.47,0.0,Sergio Aguero,23
15,Manchester City,Ilkay,Gundogan,M,1,90,0,0,1.0,3.0,0.02,0.05,Ilkay Gundogan,23
16,Manchester City,Kevin,De Bruyne,M,1,90,0,0,6.0,6.0,0.16,0.69,Kevin De Bruyne,23
17,Manchester City,John,Stones,D,1,90,0,0,1.0,1.0,0.02,0.02,John Stones,23
18,Manchester City,Fernandinho,,D,1,90,0,0,1.0,0.0,0.02,0.0,Fernandinho,23
19,Manchester City,David,Silva,M,1,64,0,0,2.81,1.41,0.1,0.09,David Silva,23
20,Manchester City,Raheem,Sterling,F,1,90,0,0,4.0,0.0,0.41,0.0,Raheem Sterling,23
21,Manchester City,Riyad,Mahrez,S,1,15,0,0,6.0,0.0,0.05,0.0,Riyad Mahrez,23
22,Manchester City,Joao,Cancelo,D,1,90,0,0,0.0,1.0,0.0,0.03,Joao Cancelo,23
23,Manchester City,Rodri,,S,1,1,0,0,0.0,0.0,0.0,0.0,Rodri,23
24,Manchester City,Benjamin,Mendy,D,1,90,0,1,0.0,4.0,0.0,0.47,Benjamin Mendy,23
25,Manchester City,Bernardo,Silva,F,1,75,0,0,2.4,2.4,0.16,0.24,Bernardo Silva,23
26,Manchester City,Gabriel,Jesus,S,1,26,0,1,3.46,3.46,0.06,0.59,Gabriel Jesus,23
27,Manchester City,Ederson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Ederson,23
28,Leicester,Harvey,Barnes,M,1,90,1,0,3.0,3.0,0.27,0.22,Harvey Barnes,23
29,Leicester,Kelechi,Iheanacho,S,1,15,0,0,6.0,12.0,0.04,0.36,Kelechi Iheanacho,23
30,Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.0,0.0,0.0,0.0,Kasper Schmeichel,23
31,Leicester,Christian,Fuchs,D,1,90,0,0,0.0,0.0,0.0,0.0,Christian Fuchs,23
32,Leicester,Jamie,Vardy,F,1,90,0,0,2.0,1.0,1.1,0.0,Jamie Vardy,23
33,Leicester,Ayoze,Perez,M,1,75,0,0,2.4,1.2,0.17,0.1,Ayoze Perez,23
34,Leicester,Jonny,Evans,D,1,90,0,0,2.0,0.0,0.1,0.0,Jonny Evans,23
35,Leicester,Dennis,Praet,M,1,75,0,1,1.2,1.2,0.1,0.1,Dennis Praet,23
36,Leicester,Nampalys,Mendy,M,1,90,0,0,1.0,0.0,0.02,0.0,Nampalys Mendy,23
37,Leicester,Ricardo,Pereira,D,1,90,0,0,1.0,2.0,0.06,0.15,Ricardo Pereira,23
38,Leicester,Caglar,Soyuncu,D,1,90,0,0,1.0,0.0,0.01,0.0,Caglar Soyuncu,23
39,Leicester,Youri,Tielemans,S,1,15,0,0,0.0,0.0,0.0,0.0,Youri Tielemans,23
40,Leicester,James,Maddison,M,1,90,0,0,4.0,5.0,0.24,0.23,James Maddison,23
41,Chelsea,Andreas,Christensen,D,1,90,0,0,0.0,0.0,0.0,0.0,Andreas Christensen,23
42,Chelsea,Ross,Barkley,S,1,17,0,0,0.0,0.0,0.0,0.0,Ross Barkley,23
43,Chelsea,Cesar,Azpilicueta,D,1,90,0,0,3.0,1.0,0.07,0.62,Cesar Azpilicueta,23
44,Chelsea,Willian,,F,1,90,0,0,4.0,4.0,0.26,0.09,Willian,23
45,Chelsea,Tammy,Abraham,F,1,85,0,0,4.24,0.0,1.13,0.0,Tammy Abraham,23
46,Chelsea,N'Golo,Kante,M,1,90,0,0,2.0,1.0,0.06,0.06,N'Golo Kante,23
47,Chelsea,Emerson,,S,1,10,0,0,9.0,0.0,0.02,0.0,Emerson,23
48,Chelsea,Jorginho,,M,1,90,0,0,1.0,1.0,0.02,0.02,Jorginho,23
49,Chelsea,Michy,Batshuayi,S,1,5,0,0,0.0,0.0,0.0,0.0,Michy Batshuayi,23
50,Chelsea,Antonio,Rudiger,D,1,90,0,0,1.0,0.0,0.08,0.0,Antonio Rudiger,23
51,Chelsea,Kepa,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Kepa,23
52,Chelsea,Callum,Hudson-Odoi,F,1,90,0,0,1.0,2.0,0.03,0.24,Callum Hudson-Odoi,23
53,Chelsea,Mason,Mount,M,1,73,0,0,2.47,4.93,0.15,0.22,Mason Mount,23
54,Chelsea,Reece,James,D,1,80,0,0,0.0,2.25,0.0,0.07,Reece James,23
55,Manchester United,David,de Gea,GK,1,90,0,0,0.0,0.0,0.0,0.0,David de Gea,23
56,Manchester United,Anthony,Martial,F,1,90,0,0,3.0,0.0,0.36,0.0,Anthony Martial,23
57,Manchester United,Juan,Mata,S,1,14,0,0,6.43,0.0,0.13,0.0,Juan Mata,23
58,Manchester United,Nemanja,Matic,M,1,90,0,0,0.0,0.0,0.0,0.0,Nemanja Matic,23
59,Manchester United,Andreas,Pereira,M,1,76,0,0,2.37,1.18,0.8,0.3,Andreas Pereira,23
60,Manchester United,Luke,Shaw,D,1,89,0,0,0.0,0.0,0.0,0.0,Luke Shaw,23
61,Manchester United,Harry,Maguire,D,1,90,0,0,0.0,0.0,0.0,0.0,Harry Maguire,23
62,Manchester United,Aaron,Wan-Bissaka,M,1,90,0,0,1.0,2.0,0.02,0.92,Aaron Wan-Bissaka,23
63,Manchester United,Daniel,James,F,1,90,0,0,0.0,0.0,0.0,0.0,Daniel James,23
64,Manchester United,Victor,Lindelof,D,1,90,0,0,0.0,0.0,0.0,0.0,Victor Lindelof,23
65,Manchester United,Fred,,M,1,90,0,0,2.0,2.0,0.11,0.05,Fred,23
66,Manchester United,Diogo,Dalot,S,1,1,0,0,0.0,0.0,0.0,0.0,Diogo Dalot,23
67,Manchester United,Mason,Greenwood,S,1,13,0,0,0.0,0.0,0.0,0.0,Mason Greenwood,23
