,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Roberto,Firmino,F,1,90,1,0,2.0,0.0,0.45,0.0,Roberto Firmino,2
1,Liverpool,Sadio,Mane,F,1,90,1,1,2.0,5.0,0.29,0.88,Sadio Mane,2
2,Liverpool,Joel,Matip,D,1,90,0,0,1.0,0.0,0.1,0.0,Joel Matip,2
3,Liverpool,Divock,Origi,S,1,9,0,0,0.0,0.0,0.0,0.0,Divock Origi,2
4,Liverpool,James,Milner,M,1,76,0,1,4.74,2.37,0.12,0.15,James Milner,2
5,Liverpool,Adrian,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Adrian,2
6,Liverpool,Jordan,Henderson,S,1,1,0,0,0.0,0.0,0.0,0.0,Jordan Henderson,2
7,Liverpool,Georginio,Wijnaldum,M,1,90,0,0,0.0,0.0,0.0,0.0,Georginio Wijnaldum,2
8,Liverpool,Virgil,van Dijk,D,1,90,0,0,0.0,0.0,0.0,0.0,Virgil van Dijk,2
9,Liverpool,Alex,Oxlade-Chamberlain,M,1,90,0,0,2.0,1.0,0.06,0.04,Alex Oxlade-Chamberlain,2
10,Liverpool,Mohamed,Salah,F,1,81,0,0,3.33,1.11,0.41,0.04,Mohamed Salah,2
11,Liverpool,Andrew,Robertson,D,1,90,0,0,1.0,1.0,0.08,0.03,Andrew Robertson,2
12,Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,0.0,2.0,0.0,0.29,Trent Alexander-Arnold,2
13,Liverpool,Fabinho,,S,1,14,0,0,0.0,0.0,0.0,0.0,Fabinho,2
14,Manchester City,Raheem,Sterling,M,1,90,1,0,6.0,2.0,0.88,0.17,Raheem Sterling,2
15,Manchester City,Sergio,Aguero,F,1,68,1,0,3.97,1.32,0.69,0.05,Sergio Aguero,2
16,Manchester City,Ilkay,Gundogan,M,1,90,0,0,2.0,3.0,0.11,0.09,Ilkay Gundogan,2
17,Manchester City,Kevin,De Bruyne,M,1,90,0,2,4.0,9.0,0.27,1.41,Kevin De Bruyne,2
18,Manchester City,Nicolas,Otamendi,D,1,90,0,0,2.0,1.0,0.06,0.04,Nicolas Otamendi,2
19,Manchester City,David,Silva,S,1,10,0,0,0.0,0.0,0.0,0.0,David Silva,2
20,Manchester City,Kyle,Walker,D,1,90,0,0,0.0,2.0,0.0,0.2,Kyle Walker,2
21,Manchester City,Riyad,Mahrez,S,1,8,0,0,0.0,0.0,0.0,0.0,Riyad Mahrez,2
22,Manchester City,Rodri,,M,1,80,0,0,1.13,2.25,0.02,0.12,Rodri,2
23,Manchester City,Aymeric,Laporte,D,1,90,0,0,1.0,0.0,0.08,0.0,Aymeric Laporte,2
24,Manchester City,Oleksandr,Zinchenko,D,1,90,0,0,2.0,1.0,0.06,0.05,Oleksandr Zinchenko,2
25,Manchester City,Bernardo,Silva,M,1,82,0,0,5.49,1.1,0.54,0.25,Bernardo Silva,2
26,Manchester City,Gabriel,Jesus,S,1,22,0,0,16.36,0.0,0.5,0.0,Gabriel Jesus,2
27,Manchester City,Ederson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Ederson,2
28,Leicester,Wilfred,Ndidi,M,1,90,1,0,1.0,0.0,0.26,0.0,Wilfred Ndidi,2
29,Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.0,0.0,0.0,0.0,Kasper Schmeichel,2
30,Leicester,Christian,Fuchs,D,1,90,0,0,1.0,2.0,0.02,0.1,Christian Fuchs,2
