,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Sadio,Mane,F,1,90,1,1,6.0,3.0,0.91,0.54,Sadio Mane,11
1,Liverpool,Andrew,Robertson,D,1,90,1,0,1.0,1.0,0.33,0.08,Andrew Robertson,11
2,Liverpool,Roberto,Firmino,F,1,90,0,0,2.0,4.0,0.1,0.26,Roberto Firmino,11
3,Liverpool,Divock,Origi,S,1,21,0,0,4.29,4.29,0.06,0.03,Divock Origi,11
4,Liverpool,Adam,Lallana,M,1,88,0,0,2.05,3.07,0.16,0.12,Adam Lallana,11
5,Liverpool,Dejan,Lovren,D,1,90,0,0,1.0,0.0,0.06,0.0,Dejan Lovren,11
6,Liverpool,Jordan,Henderson,M,1,90,0,0,0.0,2.0,0.0,0.43,Jordan Henderson,11
7,Liverpool,Georginio,Wijnaldum,M,1,69,0,0,1.3,1.3,0.02,0.03,Georginio Wijnaldum,11
8,Liverpool,Virgil,van Dijk,D,1,90,0,0,0.0,1.0,0.0,0.06,Virgil van Dijk,11
9,Liverpool,Alex,Oxlade-Chamberlain,S,1,21,0,0,17.14,4.29,0.27,0.06,Alex Oxlade-Chamberlain,11
10,Liverpool,Mohamed,Salah,F,1,69,0,0,5.22,0.0,0.3,0.0,Mohamed Salah,11
11,Liverpool,Alisson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Alisson,11
12,Liverpool,Trent,Alexander-Arnold,D,1,90,0,1,3.0,3.0,0.2,0.41,Trent Alexander-Arnold,11
13,Liverpool,Naby,Keita,S,1,2,0,0,0.0,0.0,0.0,0.0,Naby Keita,11
14,Manchester City,Sergio,Aguero,F,1,90,1,0,7.0,0.0,1.08,0.0,Sergio Aguero,11
15,Manchester City,Kyle,Walker,D,1,90,1,1,1.0,1.0,0.44,0.41,Kyle Walker,11
16,Manchester City,Ilkay,Gundogan,M,1,90,0,0,6.0,3.0,0.23,0.56,Ilkay Gundogan,11
17,Manchester City,Kevin,De Bruyne,M,1,90,0,0,4.0,4.0,0.18,0.7,Kevin De Bruyne,11
18,Manchester City,John,Stones,D,1,90,0,0,1.0,0.0,0.46,0.0,John Stones,11
19,Manchester City,Nicolas,Otamendi,S,1,1,0,0,0.0,0.0,0.0,0.0,Nicolas Otamendi,11
20,Manchester City,Fernandinho,,D,1,90,0,0,0.0,1.0,0.0,0.04,Fernandinho,11
