,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Roberto,Firmino,F,1,90,1,0,2.0,1.0,0.72,0.07,Roberto Firmino,6
1,Liverpool,Trent,Alexander-Arnold,D,1,90,1,0,1.0,2.0,0.05,0.32,Trent Alexander-Arnold,6
2,Liverpool,Joel,Matip,D,1,90,0,0,0.0,0.0,0.0,0.0,Joel Matip,6
3,Liverpool,Adam,Lallana,S,1,3,0,0,0.0,0.0,0.0,0.0,Adam Lallana,6
4,Liverpool,James,Milner,S,1,16,0,0,0.0,0.0,0.0,0.0,James Milner,6
5,Liverpool,Adrian,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Adrian,6
6,Liverpool,Jordan,Henderson,M,1,87,0,0,0.0,0.0,0.0,0.0,Jordan Henderson,6
7,Liverpool,Georginio,Wijnaldum,M,1,90,0,0,1.0,0.0,0.07,0.0,Georginio Wijnaldum,6
8,Liverpool,Virgil,van Dijk,D,1,90,0,0,0.0,0.0,0.0,0.0,Virgil van Dijk,6
9,Liverpool,Sadio,Mane,F,1,74,0,0,1.22,0.0,0.1,0.0,Sadio Mane,6
10,Liverpool,Joseph,Gomez,S,1,1,0,0,0.0,0.0,0.0,0.0,Joseph Gomez,6
11,Liverpool,Mohamed,Salah,F,1,90,0,1,1.0,1.0,0.1,0.05,Mohamed Salah,6
12,Liverpool,Andrew,Robertson,D,1,90,0,1,0.0,1.0,0.0,0.5,Andrew Robertson,6
13,Liverpool,Fabinho,,M,1,90,0,0,0.0,1.0,0.0,0.1,Fabinho,6
14,Manchester City,Bernardo,Silva,F,1,90,3,0,5.0,2.0,1.44,0.13,Bernardo Silva,6
15,Manchester City,Kevin,De Bruyne,M,1,90,1,2,4.0,8.0,0.6,1.98,Kevin De Bruyne,6
16,Manchester City,Nicolas,Otamendi,D,1,66,1,0,2.73,0.0,0.71,0.0,Nicolas Otamendi,6
17,Manchester City,David,Silva,M,1,90,1,0,4.0,1.0,0.95,0.03,David Silva,6
18,Manchester City,Sergio,Aguero,F,1,90,1,1,6.0,3.0,2.33,1.21,Sergio Aguero,6
19,Manchester City,Riyad,Mahrez,F,1,90,1,1,4.0,4.0,0.54,0.7,Riyad Mahrez,6
20,Manchester City,Fernandinho,,D,1,90,0,0,0.0,0.0,0.0,0.0,Fernandinho,6
21,Manchester City,Kyle,Walker,D,1,57,0,0,1.58,0.0,0.02,0.0,Kyle Walker,6
22,Manchester City,Angelino,,S,1,41,0,0,0.0,4.39,0.0,0.8,Angelino,6
23,Manchester City,Joao,Cancelo,S,1,33,0,0,0.0,0.0,0.0,0.0,Joao Cancelo,6
24,Manchester City,Rodri,,M,1,90,0,0,2.0,1.0,0.04,0.02,Rodri,6
25,Manchester City,Benjamin,Mendy,D,1,49,0,0,0.0,0.0,0.0,0.0,Benjamin Mendy,6
