,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
191,100.0,100.0,54861,0,0,-3,3,0,4,3.7,3.7,2,Christian,3.7,129,False,,2019-12-26T17:00:15.649503Z,57,54861.jpg,1.6,Benteke,0.5,False,,a,7,31,28,36533,800,78341,722,0.6,4.9,Benteke,740,1,0,2,11,0,0,0,2,0,0,1,87,140.2,150.1,389.0,67.8
192,0.0,0.0,59125,0,0,-1,1,0,4,0.0,0.0,0,Connor,0.0,130,False,Joined Sheffield Wednesday on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T23:00:19.843392Z,44,59125.jpg,2.5,Wickham,2.0,False,,n,7,31,15,268938,223,484028,1381,0.0,3.4,Wickham,90,1,1,0,2,0,0,0,0,0,0,2,48,59.8,34.5,64.0,15.8
193,100.0,100.0,40836,0,0,1,-1,2,1,3.0,3.0,6,Vicente,3.0,131,False,,2019-10-20T11:30:19.312033Z,51,40836.jpg,3.8,Guaita,2.0,False,,a,7,31,95,333772,2330,245923,2599,0.6,18.6,Guaita,2250,0,0,7,28,1,0,0,1,0,77,10,454,587.8,0.0,0.0,58.7
194,,,20066,0,0,-3,3,0,1,0.0,0.0,0,Wayne,0.0,132,False,,,42,20066.jpg,3.0,Hennessey,0.6,False,,a,7,31,6,18431,212,52608,351,0.0,1.4,Hennessey,180,0,0,0,4,0,0,0,0,0,13,0,42,87.4,0.0,0.0,8.7
195,100.0,100.0,82403,0,0,-2,2,1,3,3.3,3.3,3,Wilfried,3.3,133,False,,2020-01-06T01:00:17.820409Z,68,82403.jpg,3.3,Zaha,9.8,False,,a,7,31,90,1100379,13919,1670978,12986,0.5,13.2,Zaha,2365,3,5,6,32,0,0,0,3,0,0,4,272,448.0,441.0,750.0,164.1
196,75.0,100.0,66975,0,0,-3,3,1,3,0.8,1.0,0,Luka,1.0,134,False,Illness - 75% chance of playing,2020-02-22T17:30:19.523436Z,67,66975.jpg,2.8,Milivojevic,1.9,False,,d,7,31,61,61844,58,445746,1405,0.1,9.1,Milivojevic,1965,2,1,6,26,0,0,0,9,0,0,7,296,357.6,436.3,151.0,94.5
197,100.0,100.0,60252,0,0,-4,4,0,3,0.3,0.3,0,Andros,0.3,135,False,,2019-12-16T20:00:21.552659Z,56,60252.jpg,2.3,Townsend,1.0,False,,a,7,31,34,49108,242,220338,279,0.1,6.1,Townsend,791,1,1,3,12,0,0,0,0,0,0,0,141,167.8,132.8,70.0,37.1
198,100.0,100.0,141020,0,0,-3,3,0,3,0.7,0.7,0,Max,0.7,136,False,,2020-01-11T20:30:19.086626Z,52,141020.jpg,1.4,Meyer,0.1,False,,a,7,31,18,4380,26,11228,28,0.1,3.5,Meyer,541,0,0,1,7,0,0,0,1,0,0,0,43,49.8,27.4,94.0,16.9
199,0.0,0.0,86417,0,0,-1,1,1,3,0.0,0.0,0,Jeffrey,0.0,137,False,Muscle injury - Unknown return date,2019-12-07T20:00:14.825615Z,54,86417.jpg,2.9,Schlupp,0.1,False,,i,7,31,40,19999,23,26131,40,0.0,7.4,Schlupp,856,2,1,4,12,0,0,0,2,0,0,3,121,198.0,95.3,233.0,52.7
200,100.0,100.0,50471,0,0,-3,3,0,3,2.0,2.0,2,James,2.0,138,False,,2019-11-03T16:30:17.881657Z,52,50471.jpg,2.5,McArthur,0.6,False,,a,7,31,66,41219,478,116932,568,0.4,12.7,McArthur,2267,0,3,8,25,0,0,0,5,0,0,2,311,437.2,308.1,339.0,108.6
